Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2019-12-08,3,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,3,0
2020-01-12,4,0
2020-01-19,3,0
2020-01-26,4,3
2020-02-02,5,0
2020-02-09,6,0
2020-02-16,9,3
2020-02-23,9,0
2020-03-01,9,2
2020-03-08,12,2
2020-03-15,15,4
2020-03-22,13,4
2020-03-29,9,0
2020-04-05,10,2
2020-04-12,7,2
2020-04-19,9,0
2020-04-26,10,3
2020-05-03,10,2
2020-05-10,9,3
2020-05-17,8,3
2020-05-24,9,3
2020-05-31,10,2
2020-06-07,6,2
2020-06-14,8,4
2020-06-21,9,2
2020-06-28,6,3
2020-07-05,6,2
2020-07-12,6,0
2020-07-19,4,0
2020-07-26,2,0
2020-08-02,3,0
2020-08-09,4,0
2020-08-16,2,0
2020-08-23,3,0
2020-08-30,3,0
2020-09-06,3,0
2020-09-13,3,0
2020-09-20,2,0
2020-09-27,2,0
2020-10-04,2,0
2020-10-11,3,0
2020-10-18,2,0
2020-10-25,2,0
2020-11-01,2,0
2020-11-08,3,0
2020-11-15,2,0
2020-11-22,4,0
2020-11-29,4,0
2020-12-06,5,0
2020-12-13,0,0
2020-12-20,3,0
2020-12-27,2,0
2021-01-03,2,0
2021-01-10,2,0
2021-01-17,2,0
2021-01-24,2,0
2021-01-31,4,0
2021-02-07,4,0
2021-02-14,4,0
2021-02-21,3,0
2021-02-28,5,0
2021-03-07,7,2
2021-03-14,5,2
2021-03-21,7,2
2021-03-28,6,0
2021-04-04,8,2
2021-04-11,7,2
2021-04-18,8,2
2021-04-25,7,3
2021-05-02,7,3
2021-05-09,10,2
2021-05-16,10,2
2021-05-23,9,0
2021-05-30,9,3
2021-06-06,10,3
2021-06-13,9,2
2021-06-20,9,0
2021-06-27,6,0
2021-07-04,7,2
2021-07-11,6,0
2021-07-18,5,0
2021-07-25,5,2
2021-08-01,4,0
2021-08-08,6,0
2021-08-15,7,2
2021-08-22,6,0
2021-08-29,5,0
2021-09-05,4,0
2021-09-12,3,0
2021-09-19,4,0
2021-09-26,4,0
2021-10-03,5,0
2021-10-10,5,0
2021-10-17,3,0
2021-10-24,2,0
2021-10-31,2,0
2021-11-07,4,2
2021-11-14,5,0
2021-11-21,4,0
2021-11-28,3,0
2021-12-05,4,0
2021-12-12,6,0
2021-12-19,5,0
2021-12-26,5,0
2022-01-02,8,4
2022-01-09,9,2
2022-01-16,10,3
2022-01-23,10,3
2022-01-30,10,3
2022-02-06,13,5
2022-02-13,18,6
2022-02-20,19,6
2022-02-27,25,7
2022-03-06,29,8
2022-03-13,34,9
2022-03-20,42,12
2022-03-27,62,16
2022-04-03,68,21
2022-04-10,75,21
2022-04-17,100,28
2022-04-24,100,26
2022-05-01,87,23
2022-05-08,73,20
2022-05-15,70,19
2022-05-22,49,15
2022-05-29,44,13
2022-06-05,42,11
2022-06-12,34,11
2022-06-19,26,8
2022-06-26,28,10
2022-07-03,22,8
2022-07-10,16,4
2022-07-17,10,4
2022-07-24,6,2
2022-07-31,9,3
2022-08-07,7,2
