Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte)
2019-12-08,6,0
2019-12-15,3,0
2019-12-22,4,0
2019-12-29,4,0
2020-01-05,7,0
2020-01-12,5,0
2020-01-19,9,3
2020-01-26,7,0
2020-02-02,11,0
2020-02-09,8,3
2020-02-16,11,3
2020-02-23,11,3
2020-03-01,16,4
2020-03-08,23,3
2020-03-15,25,4
2020-03-22,23,4
2020-03-29,17,3
2020-04-05,17,3
2020-04-12,14,3
2020-04-19,14,3
2020-04-26,16,4
2020-05-03,14,4
2020-05-10,21,7
2020-05-17,20,7
2020-05-24,21,7
2020-05-31,20,6
2020-06-07,20,5
2020-06-14,18,6
2020-06-21,18,5
2020-06-28,15,5
2020-07-05,17,3
2020-07-12,15,4
2020-07-19,10,3
2020-07-26,10,3
2020-08-02,10,3
2020-08-09,8,3
2020-08-16,4,2
2020-08-23,6,0
2020-08-30,5,0
2020-09-06,6,0
2020-09-13,5,0
2020-09-20,2,0
2020-09-27,4,0
2020-10-04,4,0
2020-10-11,6,0
2020-10-18,4,0
2020-10-25,5,0
2020-11-01,3,0
2020-11-08,5,0
2020-11-15,4,0
2020-11-22,5,0
2020-11-29,6,0
2020-12-06,7,2
2020-12-13,6,2
2020-12-20,4,0
2020-12-27,4,0
2021-01-03,5,0
2021-01-10,3,0
2021-01-17,3,0
2021-01-24,4,0
2021-01-31,6,0
2021-02-07,5,0
2021-02-14,4,0
2021-02-21,8,0
2021-02-28,6,2
2021-03-07,7,0
2021-03-14,7,0
2021-03-21,9,0
2021-03-28,8,3
2021-04-04,9,3
2021-04-11,7,3
2021-04-18,12,3
2021-04-25,10,2
2021-05-02,8,0
2021-05-09,11,3
2021-05-16,11,3
2021-05-23,14,2
2021-05-30,11,4
2021-06-06,11,3
2021-06-13,11,0
2021-06-20,8,0
2021-06-27,7,0
2021-07-04,6,3
2021-07-11,7,0
2021-07-18,6,0
2021-07-25,5,0
2021-08-01,6,0
2021-08-08,6,0
2021-08-15,5,0
2021-08-22,6,0
2021-08-29,4,0
2021-09-05,4,4
2021-09-12,6,0
2021-09-19,5,0
2021-09-26,5,0
2021-10-03,6,0
2021-10-10,4,0
2021-10-17,5,0
2021-10-24,5,0
2021-10-31,5,0
2021-11-07,6,0
2021-11-14,5,0
2021-11-21,4,0
2021-11-28,5,0
2021-12-05,5,0
2021-12-12,4,0
2021-12-19,0,0
2021-12-26,4,0
2022-01-02,8,3
2022-01-09,9,3
2022-01-16,9,4
2022-01-23,7,0
2022-01-30,7,0
2022-02-06,6,0
2022-02-13,6,0
2022-02-20,9,0
2022-02-27,8,3
2022-03-06,12,2
2022-03-13,17,4
2022-03-20,23,5
2022-03-27,27,8
2022-04-03,35,10
2022-04-10,41,13
2022-04-17,64,24
2022-04-24,84,24
2022-05-01,78,21
2022-05-08,80,26
2022-05-15,100,32
2022-05-22,97,28
2022-05-29,90,30
2022-06-05,86,27
2022-06-12,86,31
2022-06-19,72,24
2022-06-26,64,18
2022-07-03,57,20
2022-07-10,48,14
2022-07-17,43,12
