Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte)
2019-06-09,31,8
2019-06-16,33,10
2019-06-23,32,10
2019-06-30,30,7
2019-07-07,30,9
2019-07-14,29,5
2019-07-21,28,9
2019-07-28,20,6
2019-08-04,21,0
2019-08-11,17,0
2019-08-18,19,0
2019-08-25,13,0
2019-09-01,5,0
2019-09-08,13,0
2019-09-15,17,0
2019-09-22,11,0
2019-09-29,9,0
2019-10-06,7,0
2019-10-13,9,0
2019-10-20,8,0
2019-10-27,7,0
2019-11-03,7,0
2019-11-10,7,0
2019-11-17,0,0
2019-11-24,7,0
2019-12-01,4,0
2019-12-08,4,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,5,0
2020-01-05,9,5
2020-01-12,7,0
2020-01-19,8,0
2020-01-26,9,0
2020-02-02,10,0
2020-02-09,8,0
2020-02-16,11,0
2020-02-23,15,5
2020-03-01,12,0
2020-03-08,24,4
2020-03-15,24,5
2020-03-22,23,7
2020-03-29,14,0
2020-04-05,18,0
2020-04-12,15,0
2020-04-19,14,0
2020-04-26,17,6
2020-05-03,13,0
2020-05-10,20,9
2020-05-17,20,9
2020-05-24,20,6
2020-05-31,19,4
2020-06-07,20,7
2020-06-14,19,6
2020-06-21,19,0
2020-06-28,14,4
2020-07-05,13,5
2020-07-12,15,0
2020-07-19,13,0
2020-07-26,10,0
2020-08-02,9,0
2020-08-09,8,0
2020-08-16,6,0
2020-08-23,6,0
2020-08-30,5,0
2020-09-06,7,0
2020-09-13,0,0
2020-09-20,4,0
2020-09-27,5,0
2020-10-04,0,0
2020-10-11,4,0
2020-10-18,4,0
2020-10-25,0,5
2020-11-01,0,0
2020-11-08,4,0
2020-11-15,5,0
2020-11-22,4,0
2020-11-29,9,0
2020-12-06,5,0
2020-12-13,5,0
2020-12-20,4,0
2020-12-27,6,0
2021-01-03,4,0
2021-01-10,0,0
2021-01-17,5,0
2021-01-24,0,0
2021-01-31,6,0
2021-02-07,4,0
2021-02-14,6,0
2021-02-21,6,0
2021-02-28,4,0
2021-03-07,14,0
2021-03-14,7,0
2021-03-21,8,0
2021-03-28,8,0
2021-04-04,9,0
2021-04-11,8,0
2021-04-18,10,4
2021-04-25,10,0
2021-05-02,9,0
2021-05-09,9,5
2021-05-16,8,0
2021-05-23,13,0
2021-05-30,9,0
2021-06-06,10,0
2021-06-13,12,0
2021-06-20,8,0
2021-06-27,9,0
2021-07-04,6,0
2021-07-11,8,0
2021-07-18,7,0
2021-07-25,6,0
2021-08-01,5,0
2021-08-08,7,0
2021-08-15,6,0
2021-08-22,4,0
2021-08-29,6,0
2021-09-05,6,0
2021-09-12,5,0
2021-09-19,5,0
2021-09-26,6,0
2021-10-03,6,0
2021-10-10,0,0
2021-10-17,7,0
2021-10-24,5,0
2021-10-31,0,0
2021-11-07,6,0
2021-11-14,6,0
2021-11-21,0,0
2021-11-28,6,0
2021-12-05,6,0
2021-12-12,5,0
2021-12-19,0,0
2021-12-26,0,0
2022-01-02,10,5
2022-01-09,6,0
2022-01-16,8,0
2022-01-23,7,0
2022-01-30,6,0
2022-02-06,7,0
2022-02-13,5,0
2022-02-20,10,0
2022-02-27,7,0
2022-03-06,12,0
2022-03-13,16,4
2022-03-20,21,7
2022-03-27,28,9
2022-04-03,36,10
2022-04-10,42,14
2022-04-17,65,23
2022-04-24,86,26
2022-05-01,77,20
2022-05-08,82,29
2022-05-15,100,32
2022-05-22,93,27
2022-05-29,98,28
2022-06-05,89,26
2022-06-12,86,29
2022-06-19,68,22
2022-06-26,65,22
2022-07-03,55,20
2022-07-10,50,11
2022-07-17,43,11
2022-07-24,40,12
2022-07-31,35,8
2022-08-07,24,8
2022-08-14,30,10
2022-08-21,19,6
2022-08-28,20,4
2022-09-04,14,5
2022-09-11,11,4
2022-09-18,13,3
2022-09-25,9,0
2022-10-02,7,0
2022-10-09,9,0
2022-10-16,8,0
2022-10-23,6,4
2022-10-30,7,0
2022-11-06,7,0
2022-11-13,7,0
2022-11-20,9,0
2022-11-27,5,0
2022-12-04,8,0
2022-12-11,5,3
2022-12-18,0,0
2022-12-25,6,0
2023-01-01,5,0
2023-01-08,4,4
2023-01-15,7,0
2023-01-22,4,0
2023-01-29,5,0
2023-02-05,5,0
2023-02-12,5,0
2023-02-19,6,0
2023-02-26,10,0
2023-03-05,9,0
2023-03-12,10,0
2023-03-19,14,0
2023-03-26,22,3
2023-04-02,17,7
2023-04-09,19,4
2023-04-16,22,10
2023-04-23,20,7
2023-04-30,14,4
2023-05-07,13,4
2023-05-14,14,0
2023-05-21,14,3
2023-05-28,10,0
2023-06-04,9,0
2023-06-11,7,0
2023-06-18,10,0
2023-06-25,10,0
2023-07-02,11,0
2023-07-09,10,0
2023-07-16,10,0
2023-07-23,6,0
2023-07-30,4,0
2023-08-06,5,0
2023-08-13,5,0
2023-08-20,7,0
2023-08-27,7,0
2023-09-03,5,0
2023-09-10,5,0
2023-09-17,5,0
2023-09-24,7,0
2023-10-01,6,0
2023-10-08,9,0
2023-10-15,6,0
2023-10-22,6,0
