Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2019-06-09,16,6
2019-06-16,11,0
2019-06-23,9,3
2019-06-30,10,0
2019-07-07,5,0
2019-07-14,4,0
2019-07-21,7,0
2019-07-28,4,0
2019-08-04,5,0
2019-08-11,5,0
2019-08-18,4,0
2019-08-25,5,0
2019-09-01,5,0
2019-09-08,4,0
2019-09-15,5,0
2019-09-22,4,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,0,0
2019-10-27,0,0
2019-11-03,4,0
2019-11-10,5,0
2019-11-17,3,0
2019-11-24,5,0
2019-12-01,0,0
2019-12-08,0,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,3,0
2020-01-12,4,0
2020-01-19,0,0
2020-01-26,4,0
2020-02-02,5,0
2020-02-09,6,0
2020-02-16,9,0
2020-02-23,7,0
2020-03-01,7,0
2020-03-08,11,0
2020-03-15,14,3
2020-03-22,12,3
2020-03-29,8,0
2020-04-05,9,0
2020-04-12,6,3
2020-04-19,8,0
2020-04-26,9,3
2020-05-03,11,3
2020-05-10,8,3
2020-05-17,9,0
2020-05-24,10,0
2020-05-31,10,3
2020-06-07,8,0
2020-06-14,8,3
2020-06-21,9,3
2020-06-28,6,0
2020-07-05,5,0
2020-07-12,5,0
2020-07-19,3,0
2020-07-26,0,0
2020-08-02,3,0
2020-08-09,3,0
2020-08-16,0,0
2020-08-23,0,0
2020-08-30,3,0
2020-09-06,0,0
2020-09-13,3,0
2020-09-20,0,0
2020-09-27,3,0
2020-10-04,3,0
2020-10-11,4,0
2020-10-18,0,0
2020-10-25,3,0
2020-11-01,0,0
2020-11-08,5,0
2020-11-15,0,0
2020-11-22,3,0
2020-11-29,3,0
2020-12-06,5,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,3,0
2021-01-17,0,0
2021-01-24,3,0
2021-01-31,3,0
2021-02-07,4,3
2021-02-14,5,0
2021-02-21,3,0
2021-02-28,3,0
2021-03-07,7,0
2021-03-14,5,0
2021-03-21,6,0
2021-03-28,7,0
2021-04-04,8,4
2021-04-11,6,0
2021-04-18,9,3
2021-04-25,7,2
2021-05-02,7,0
