Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2019-06-09,9,0
2019-06-16,12,0
2019-06-23,0,0
2019-06-30,9,0
2019-07-07,7,0
2019-07-14,8,0
2019-07-21,8,0
2019-07-28,11,0
2019-08-04,7,0
2019-08-11,0,0
2019-08-18,10,0
2019-08-25,10,0
2019-09-01,7,0
2019-09-08,0,0
2019-09-15,6,0
2019-09-22,10,0
2019-09-29,9,0
2019-10-06,8,0
2019-10-13,0,0
2019-10-20,6,0
2019-10-27,8,0
2019-11-03,14,0
2019-11-10,9,0
2019-11-17,9,0
2019-11-24,11,0
2019-12-01,11,0
2019-12-08,6,0
2019-12-15,11,0
2019-12-22,7,0
2019-12-29,11,0
2020-01-05,13,5
2020-01-12,9,0
2020-01-19,7,0
2020-01-26,12,0
2020-02-02,16,6
2020-02-09,15,0
2020-02-16,13,0
2020-02-23,15,5
2020-03-01,14,0
2020-03-08,18,0
2020-03-15,27,5
2020-03-22,18,5
2020-03-29,21,5
2020-04-05,28,11
2020-04-12,25,9
2020-04-19,21,9
2020-04-26,19,7
2020-05-03,10,0
2020-05-10,8,0
2020-05-17,8,0
2020-05-24,12,0
2020-05-31,15,0
2020-06-07,9,0
2020-06-14,11,0
2020-06-21,13,5
2020-06-28,8,0
2020-07-05,11,0
2020-07-12,8,0
2020-07-19,11,0
2020-07-26,7,0
2020-08-02,8,0
2020-08-09,6,0
2020-08-16,5,0
2020-08-23,5,0
2020-08-30,9,0
2020-09-06,8,0
2020-09-13,6,0
2020-09-20,8,0
2020-09-27,5,0
2020-10-04,7,0
2020-10-11,7,0
2020-10-18,7,0
2020-10-25,6,0
2020-11-01,6,0
2020-11-08,7,0
2020-11-15,9,0
2020-11-22,11,0
2020-11-29,9,0
2020-12-06,12,0
2020-12-13,11,6
2020-12-20,10,0
2020-12-27,18,7
2021-01-03,27,9
2021-01-10,17,7
2021-01-17,20,0
2021-01-24,23,5
2021-01-31,16,6
2021-02-07,13,0
2021-02-14,22,7
2021-02-21,23,8
2021-02-28,25,11
2021-03-07,14,6
2021-03-14,20,4
2021-03-21,24,6
2021-03-28,17,0
2021-04-04,19,10
2021-04-11,17,0
2021-04-18,23,5
2021-04-25,19,6
2021-05-02,18,4
2021-05-09,15,0
2021-05-16,19,0
