Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul)
2019-06-09,32,8
2019-06-16,30,8
2019-06-23,21,5
2019-06-30,20,5
2019-07-07,12,0
2019-07-14,10,0
2019-07-21,13,0
2019-07-28,11,0
2019-08-04,7,0
2019-08-11,11,0
2019-08-18,12,0
2019-08-25,7,0
2019-09-01,5,0
2019-09-08,9,0
2019-09-15,9,0
2019-09-22,13,0
2019-09-29,10,4
2019-10-06,6,0
2019-10-13,6,0
2019-10-20,9,0
2019-10-27,7,0
2019-11-03,8,0
2019-11-10,12,0
2019-11-17,13,0
2019-11-24,11,0
2019-12-01,12,4
2019-12-08,18,5
2019-12-15,16,0
2019-12-22,19,6
2019-12-29,21,0
2020-01-05,29,10
2020-01-12,41,11
2020-01-19,62,13
2020-01-26,63,16
2020-02-02,66,14
2020-02-09,79,17
2020-02-16,75,18
2020-02-23,83,25
2020-03-01,88,21
2020-03-08,100,24
2020-03-15,90,23
2020-03-22,84,17
2020-03-29,67,16
2020-04-05,62,17
2020-04-12,54,10
2020-04-19,47,9
2020-04-26,49,12
2020-05-03,32,0
2020-05-10,21,5
2020-05-17,28,8
2020-05-24,20,5
2020-05-31,17,4
2020-06-07,20,5
2020-06-14,20,5
2020-06-21,22,4
2020-06-28,14,5
2020-07-05,17,4
2020-07-12,15,5
2020-07-19,16,4
2020-07-26,15,4
2020-08-02,13,4
2020-08-09,15,4
2020-08-16,10,4
2020-08-23,8,0
2020-08-30,9,3
2020-09-06,10,0
2020-09-13,8,0
2020-09-20,14,3
2020-09-27,6,0
2020-10-04,7,0
2020-10-11,6,0
2020-10-18,10,0
2020-10-25,9,8
2020-11-01,11,0
2020-11-08,9,0
2020-11-15,11,5
2020-11-22,11,4
2020-11-29,11,5
2020-12-06,13,4
2020-12-13,12,6
2020-12-20,13,0
2020-12-27,17,5
2021-01-03,13,5
2021-01-10,16,4
2021-01-17,14,5
2021-01-24,18,0
2021-01-31,24,9
2021-02-07,25,10
2021-02-14,26,8
2021-02-21,24,5
2021-02-28,29,11
2021-03-07,27,11
2021-03-14,31,8
2021-03-21,33,10
2021-03-28,29,9
2021-04-04,28,9
2021-04-11,22,4
2021-04-18,24,5
2021-04-25,23,6
2021-05-02,19,6
2021-05-09,19,0
2021-05-16,18,6
2021-05-23,16,3
2021-05-30,19,4
2021-06-06,11,4
2021-06-13,15,5
2021-06-20,12,0
2021-06-27,6,0
2021-07-04,6,0
2021-07-11,5,0
2021-07-18,7,0
2021-07-25,0,0
2021-08-01,5,0
2021-08-08,6,0
2021-08-15,0,0
2021-08-22,4,0
2021-08-29,6,0
2021-09-05,4,0
2021-09-12,7,0
2021-09-19,12,0
2021-09-26,10,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,6,0
2021-10-24,7,0
2021-10-31,9,0
2021-11-07,8,0
2021-11-14,5,0
2021-11-21,8,0
2021-11-28,9,0
2021-12-05,9,5
2021-12-12,10,0
2021-12-19,8,0
2021-12-26,11,0
2022-01-02,10,0
2022-01-09,17,7
2022-01-16,18,9
2022-01-23,14,8
2022-01-30,9,0
2022-02-06,14,0
2022-02-13,11,0
2022-02-20,10,0
2022-02-27,14,5
2022-03-06,12,0
2022-03-13,21,5
2022-03-20,20,5
2022-03-27,22,7
2022-04-03,30,9
2022-04-10,29,7
2022-04-17,42,13
2022-04-24,57,13
2022-05-01,49,14
2022-05-08,60,15
2022-05-15,36,10
2022-05-22,45,13
2022-05-29,31,8
2022-06-05,34,9
2022-06-12,28,8
2022-06-19,24,7
2022-06-26,25,8
2022-07-03,21,7
2022-07-10,22,7
2022-07-17,16,6
2022-07-24,13,4
2022-07-31,14,0
2022-08-07,13,6
2022-08-14,11,4
2022-08-21,11,3
2022-08-28,11,0
2022-09-04,10,0
2022-09-11,12,0
2022-09-18,8,0
2022-09-25,9,0
2022-10-02,9,0
2022-10-09,10,4
2022-10-16,13,4
2022-10-23,16,6
2022-10-30,11,4
2022-11-06,17,6
2022-11-13,17,6
2022-11-20,19,7
2022-11-27,20,0
2022-12-04,19,6
2022-12-11,19,8
2022-12-18,24,8
2022-12-25,21,5
2023-01-01,20,5
2023-01-08,23,6
2023-01-15,19,5
2023-01-22,25,6
2023-01-29,29,9
2023-02-05,34,9
2023-02-12,46,13
2023-02-19,48,13
2023-02-26,51,13
2023-03-05,57,15
2023-03-12,61,18
2023-03-19,75,19
2023-03-26,90,25
2023-04-02,86,21
2023-04-09,89,27
2023-04-16,85,23
2023-04-23,85,16
2023-04-30,69,18
2023-05-07,68,17
2023-05-14,52,11
2023-05-21,54,16
2023-05-28,35,8
2023-06-04,25,5
2023-06-11,21,7
2023-06-18,23,0
2023-06-25,15,5
2023-07-02,21,3
2023-07-09,14,4
2023-07-16,10,4
2023-07-23,11,0
2023-07-30,8,3
2023-08-06,8,0
2023-08-13,13,0
2023-08-20,8,0
2023-08-27,9,0
2023-09-03,9,0
2023-09-10,9,0
2023-09-17,11,0
2023-09-24,9,0
2023-10-01,10,0
2023-10-08,8,5
2023-10-15,16,0
2023-10-22,9,0
2023-10-29,11,4
2023-11-05,12,3
2023-11-12,10,4
2023-11-19,11,0
2023-11-26,12,4
2023-12-03,10,0
2023-12-10,11,3
2023-12-17,11,0
2023-12-24,9,0
2023-12-31,23,4
2024-01-07,18,5
2024-01-14,22,6
2024-01-21,30,7
2024-01-28,36,6
2024-02-04,47,8
2024-02-11,67,12
2024-02-18,77,14
2024-02-25,79,14
2024-03-03,68,12
2024-03-10,68,18
2024-03-17,68,13
2024-03-24,56,9
2024-03-31,73,14
2024-04-07,80,11
2024-04-14,62,11
2024-04-21,71,16
2024-04-28,72,14
2024-05-05,52,8
2024-05-12,43,14
2024-05-19,35,9
2024-05-26,19,3
2024-06-02,24,4
2024-06-09,18,2
