Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2019-12-29,4,0
2020-01-05,4,0
2020-01-12,5,0
2020-01-19,5,0
2020-01-26,6,0
2020-02-02,7,0
2020-02-09,8,0
2020-02-16,13,0
2020-02-23,8,0
2020-03-01,7,0
2020-03-08,14,0
2020-03-15,18,0
2020-03-22,15,4
2020-03-29,15,4
2020-04-05,17,4
2020-04-12,16,4
2020-04-19,15,4
2020-04-26,21,7
2020-05-03,24,8
2020-05-10,23,9
2020-05-17,24,7
2020-05-24,28,7
2020-05-31,27,7
2020-06-07,19,6
2020-06-14,14,4
2020-06-21,14,4
2020-06-28,13,0
2020-07-05,16,3
2020-07-12,13,3
2020-07-19,13,0
2020-07-26,9,0
2020-08-02,12,0
2020-08-09,11,0
2020-08-16,7,0
2020-08-23,10,0
2020-08-30,6,0
2020-09-06,6,0
2020-09-13,6,0
2020-09-20,8,0
2020-09-27,6,0
2020-10-04,6,0
2020-10-11,6,0
2020-10-18,5,0
2020-10-25,5,0
2020-11-01,6,0
2020-11-08,7,0
2020-11-15,4,0
2020-11-22,7,0
2020-11-29,7,0
2020-12-06,4,0
2020-12-13,4,0
2020-12-20,4,0
2020-12-27,5,0
2021-01-03,5,0
2021-01-10,0,0
2021-01-17,5,0
2021-01-24,3,0
2021-01-31,0,0
2021-02-07,3,0
2021-02-14,4,0
2021-02-21,4,0
2021-02-28,6,0
2021-03-07,6,3
2021-03-14,7,0
2021-03-21,6,0
2021-03-28,7,4
2021-04-04,8,0
2021-04-11,7,0
2021-04-18,6,0
2021-04-25,9,0
2021-05-02,9,0
2021-05-09,14,0
2021-05-16,15,0
2021-05-23,18,3
2021-05-30,21,4
2021-06-06,17,5
2021-06-13,18,6
2021-06-20,16,3
2021-06-27,14,0
2021-07-04,20,4
2021-07-11,22,4
2021-07-18,21,6
2021-07-25,21,6
2021-08-01,23,5
2021-08-08,19,5
2021-08-15,22,6
2021-08-22,20,7
2021-08-29,22,4
2021-09-05,17,0
2021-09-12,13,0
2021-09-19,15,4
2021-09-26,11,4
2021-10-03,12,0
2021-10-10,9,3
2021-10-17,14,4
2021-10-24,11,0
2021-10-31,10,4
2021-11-07,12,0
2021-11-14,11,0
2021-11-21,11,3
2021-11-28,7,0
2021-12-05,9,0
2021-12-12,8,4
2021-12-19,8,0
2021-12-26,8,0
2022-01-02,12,0
2022-01-09,9,4
2022-01-16,11,5
2022-01-23,6,0
2022-01-30,10,0
2022-02-06,7,4
2022-02-13,6,2
2022-02-20,8,2
2022-02-27,6,0
2022-03-06,7,0
2022-03-13,10,0
2022-03-20,12,3
2022-03-27,17,5
2022-04-03,21,5
2022-04-10,19,5
2022-04-17,27,9
2022-04-24,49,15
2022-05-01,53,16
2022-05-08,79,22
2022-05-15,95,31
2022-05-22,96,29
2022-05-29,95,28
2022-06-05,87,27
2022-06-12,83,29
2022-06-19,97,37
2022-06-26,89,36
2022-07-03,72,27
2022-07-10,66,18
2022-07-17,60,18
2022-07-24,46,16
2022-07-31,33,11
2022-08-07,35,10
2022-08-14,29,11
2022-08-21,19,5
2022-08-28,19,6
2022-09-04,12,3
2022-09-11,16,4
2022-09-18,18,4
2022-09-25,13,0
2022-10-02,7,2
2022-10-09,9,0
2022-10-16,10,2
2022-10-23,10,0
2022-10-30,8,0
2022-11-06,9,2
2022-11-13,9,0
2022-11-20,10,3
2022-11-27,9,4
2022-12-04,5,0
2022-12-11,8,0
2022-12-18,7,0
2022-12-25,7,3
2023-01-01,8,0
2023-01-08,5,0
2023-01-15,8,0
2023-01-22,5,0
2023-01-29,4,0
2023-02-05,6,0
2023-02-12,10,0
2023-02-19,7,3
2023-02-26,9,0
2023-03-05,9,0
2023-03-12,7,0
2023-03-19,15,5
2023-03-26,17,5
2023-04-02,13,3
2023-04-09,14,3
2023-04-16,11,3
2023-04-23,13,5
2023-04-30,13,3
2023-05-07,12,4
2023-05-14,15,3
2023-05-21,15,3
2023-05-28,17,4
2023-06-04,12,3
2023-06-11,12,3
2023-06-18,10,5
2023-06-25,12,2
2023-07-02,16,3
2023-07-09,14,3
2023-07-16,13,3
2023-07-23,10,3
2023-07-30,8,0
2023-08-06,10,3
2023-08-13,7,0
2023-08-20,8,0
2023-08-27,9,0
2023-09-03,8,0
2023-09-10,10,4
2023-09-17,9,0
2023-09-24,10,0
2023-10-01,9,0
2023-10-08,8,0
2023-10-15,8,0
2023-10-22,6,0
2023-10-29,7,3
2023-11-05,6,0
2023-11-12,6,0
2023-11-19,6,0
2023-11-26,7,0
2023-12-03,9,3
2023-12-10,6,0
2023-12-17,7,0
2023-12-24,8,0
2023-12-31,9,0
