Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão)
2019-07-14,6,0
2019-07-21,6,0
2019-07-28,4,0
2019-08-04,5,0
2019-08-11,5,0
2019-08-18,4,0
2019-08-25,8,0
2019-09-01,5,0
2019-09-08,9,0
2019-09-15,8,0
2019-09-22,3,0
2019-09-29,7,0
2019-10-06,4,0
2019-10-13,8,0
2019-10-20,5,0
2019-10-27,4,0
2019-11-03,6,0
2019-11-10,6,0
2019-11-17,5,0
2019-11-24,4,0
2019-12-01,5,0
2019-12-08,4,0
2019-12-15,5,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,7,4
2020-01-12,8,0
2020-01-19,9,3
2020-01-26,10,3
2020-02-02,8,3
2020-02-09,12,5
2020-02-16,21,5
2020-02-23,16,5
2020-03-01,21,4
2020-03-08,20,5
2020-03-15,23,5
2020-03-22,20,4
2020-03-29,17,3
2020-04-05,15,4
2020-04-12,20,7
2020-04-19,18,8
2020-04-26,19,7
2020-05-03,15,6
2020-05-10,13,5
2020-05-17,9,5
2020-05-24,9,0
2020-05-31,7,0
2020-06-07,6,2
2020-06-14,10,0
2020-06-21,5,3
2020-06-28,6,0
2020-07-05,5,0
2020-07-12,4,0
2020-07-19,3,0
2020-07-26,3,0
2020-08-02,2,0
2020-08-09,4,0
2020-08-16,4,0
2020-08-23,5,0
2020-08-30,5,0
2020-09-06,5,0
2020-09-13,4,0
2020-09-20,6,0
2020-09-27,5,0
2020-10-04,7,0
2020-10-11,4,0
2020-10-18,5,0
2020-10-25,5,0
2020-11-01,3,0
2020-11-08,5,0
2020-11-15,4,0
2020-11-22,3,0
2020-11-29,4,0
2020-12-06,5,0
2020-12-13,4,0
2020-12-20,3,0
2020-12-27,5,0
2021-01-03,5,0
2021-01-10,4,0
2021-01-17,5,0
2021-01-24,5,0
2021-01-31,6,0
2021-02-07,7,0
2021-02-14,5,0
2021-02-21,5,0
2021-02-28,8,0
2021-03-07,7,2
2021-03-14,9,3
2021-03-21,7,2
2021-03-28,6,2
2021-04-04,8,3
2021-04-11,8,0
2021-04-18,6,0
2021-04-25,9,0
2021-05-02,8,2
2021-05-09,7,0
2021-05-16,7,0
2021-05-23,6,2
2021-05-30,5,0
2021-06-06,8,3
2021-06-13,9,0
2021-06-20,8,0
2021-06-27,5,0
2021-07-04,4,0
2021-07-11,4,0
2021-07-18,3,0
2021-07-25,3,0
2021-08-01,4,0
2021-08-08,4,0
2021-08-15,4,0
2021-08-22,5,0
2021-08-29,6,0
2021-09-05,4,0
2021-09-12,4,0
2021-09-19,4,0
2021-09-26,3,0
2021-10-03,4,0
2021-10-10,4,0
2021-10-17,3,0
2021-10-24,4,0
2021-10-31,4,0
2021-11-07,6,0
2021-11-14,6,0
2021-11-21,5,0
2021-11-28,5,0
2021-12-05,5,0
2021-12-12,7,0
2021-12-19,5,0
2021-12-26,7,0
2022-01-02,8,0
2022-01-09,15,5
2022-01-16,14,3
2022-01-23,10,4
2022-01-30,7,0
2022-02-06,10,2
2022-02-13,11,2
2022-02-20,13,3
2022-02-27,13,3
2022-03-06,13,3
