Categoria: Todas as categorias

Semana,dengue: (Minas Gerais),sintomas dengue: (Minas Gerais)
2019-10-27,2,<1
2019-11-03,2,<1
2019-11-10,2,<1
2019-11-17,2,<1
2019-11-24,2,<1
2019-12-01,2,<1
2019-12-08,2,<1
2019-12-15,3,1
2019-12-22,2,1
2019-12-29,2,1
2020-01-05,3,1
2020-01-12,3,1
2020-01-19,3,1
2020-01-26,4,1
2020-02-02,4,1
2020-02-09,4,1
2020-02-16,6,1
2020-02-23,6,2
2020-03-01,6,1
2020-03-08,9,2
2020-03-15,11,3
2020-03-22,8,1
2020-03-29,7,1
2020-04-05,6,1
2020-04-12,6,1
2020-04-19,5,1
2020-04-26,5,1
2020-05-03,4,1
2020-05-10,4,1
2020-05-17,4,1
2020-05-24,3,1
2020-05-31,4,1
2020-06-07,4,1
2020-06-14,4,1
2020-06-21,4,1
2020-06-28,4,1
2020-07-05,3,1
2020-07-12,2,1
2020-07-19,2,1
2020-07-26,2,<1
2020-08-02,2,<1
2020-08-09,1,<1
2020-08-16,2,<1
2020-08-23,1,<1
2020-08-30,1,<1
2020-09-06,1,<1
2020-09-13,2,<1
2020-09-20,2,<1
2020-09-27,2,<1
2020-10-04,2,<1
2020-10-11,1,<1
2020-10-18,1,<1
2020-10-25,1,<1
2020-11-01,1,<1
2020-11-08,1,<1
2020-11-15,1,<1
2020-11-22,2,1
2020-11-29,2,1
2020-12-06,2,1
2020-12-13,2,1
2020-12-20,2,1
2020-12-27,2,1
2021-01-03,2,1
2021-01-10,2,1
2021-01-17,2,1
2021-01-24,2,1
2021-01-31,2,1
2021-02-07,2,1
2021-02-14,2,1
2021-02-21,2,1
2021-02-28,3,1
2021-03-07,3,1
2021-03-14,3,1
2021-03-21,3,1
2021-03-28,3,1
2021-04-04,3,1
2021-04-11,3,1
2021-04-18,2,1
2021-04-25,2,1
2021-05-02,2,<1
2021-05-09,2,<1
2021-05-16,2,<1
2021-05-23,2,1
2021-05-30,2,<1
2021-06-06,2,<1
2021-06-13,1,<1
2021-06-20,1,<1
2021-06-27,1,<1
2021-07-04,1,<1
2021-07-11,1,<1
2021-07-18,1,<1
2021-07-25,1,<1
2021-08-01,1,<1
2021-08-08,1,<1
2021-08-15,1,<1
2021-08-22,1,<1
2021-08-29,1,<1
2021-09-05,1,<1
2021-09-12,1,<1
2021-09-19,1,<1
2021-09-26,1,<1
2021-10-03,1,<1
2021-10-10,1,<1
2021-10-17,1,<1
2021-10-24,1,<1
2021-10-31,1,<1
2021-11-07,1,<1
2021-11-14,1,<1
2021-11-21,1,<1
2021-11-28,1,<1
2021-12-05,1,<1
2021-12-12,1,<1
2021-12-19,1,<1
2021-12-26,1,1
2022-01-02,2,1
2022-01-09,3,1
2022-01-16,3,1
2022-01-23,3,1
2022-01-30,2,1
2022-02-06,2,1
2022-02-13,3,1
2022-02-20,2,1
2022-02-27,3,1
2022-03-06,3,1
2022-03-13,4,1
2022-03-20,4,1
2022-03-27,5,1
2022-04-03,5,1
2022-04-10,6,2
2022-04-17,7,2
2022-04-24,6,2
2022-05-01,8,2
2022-05-08,9,2
2022-05-15,7,2
2022-05-22,6,2
2022-05-29,6,2
2022-06-05,5,2
2022-06-12,4,1
2022-06-19,4,1
2022-06-26,3,1
2022-07-03,3,1
2022-07-10,2,1
2022-07-17,2,1
2022-07-24,2,1
2022-07-31,2,1
2022-08-07,2,<1
2022-08-14,1,<1
2022-08-21,2,<1
2022-08-28,2,<1
2022-09-04,2,<1
2022-09-11,2,<1
2022-09-18,2,1
2022-09-25,2,<1
2022-10-02,1,<1
2022-10-09,2,1
2022-10-16,2,1
2022-10-23,2,<1
2022-10-30,2,<1
2022-11-06,2,1
2022-11-13,2,1
2022-11-20,2,1
2022-11-27,2,1
2022-12-04,2,1
2022-12-11,3,1
2022-12-18,3,1
2022-12-25,4,1
2023-01-01,3,1
2023-01-08,4,1
2023-01-15,5,1
2023-01-22,5,1
2023-01-29,6,2
2023-02-05,8,2
2023-02-12,9,3
2023-02-19,11,3
2023-02-26,13,4
2023-03-05,14,4
2023-03-12,18,5
2023-03-19,22,7
2023-03-26,28,8
2023-04-02,23,7
2023-04-09,25,7
2023-04-16,25,7
2023-04-23,23,6
2023-04-30,21,7
2023-05-07,20,6
2023-05-14,16,5
2023-05-21,13,4
2023-05-28,11,3
2023-06-04,8,2
2023-06-11,8,2
2023-06-18,6,2
2023-06-25,5,1
2023-07-02,5,1
2023-07-09,4,1
2023-07-16,3,1
2023-07-23,2,1
2023-07-30,2,1
2023-08-06,2,1
2023-08-13,2,1
2023-08-20,2,<1
2023-08-27,2,1
2023-09-03,2,1
2023-09-10,2,1
2023-09-17,2,1
2023-09-24,2,1
2023-10-01,2,1
2023-10-08,2,1
2023-10-15,3,1
2023-10-22,3,1
2023-10-29,2,1
2023-11-05,3,1
2023-11-12,3,1
2023-11-19,4,1
2023-11-26,4,1
2023-12-03,5,1
2023-12-10,6,1
2023-12-17,7,2
2023-12-24,9,2
2023-12-31,11,3
2024-01-07,17,4
2024-01-14,21,5
2024-01-21,32,7
