Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2019-10-27,9,0
2019-11-03,11,0
2019-11-10,12,0
2019-11-17,11,0
2019-11-24,13,0
2019-12-01,7,0
2019-12-08,8,0
2019-12-15,8,0
2019-12-22,8,0
2019-12-29,14,0
2020-01-05,11,5
2020-01-12,12,0
2020-01-19,7,0
2020-01-26,14,3
2020-02-02,14,0
2020-02-09,15,4
2020-02-16,15,0
2020-02-23,15,0
2020-03-01,18,0
2020-03-08,20,4
2020-03-15,27,7
2020-03-22,25,6
2020-03-29,22,7
2020-04-05,27,10
2020-04-12,27,9
2020-04-19,27,12
2020-04-26,19,10
2020-05-03,12,5
2020-05-10,11,3
2020-05-17,10,0
2020-05-24,14,0
2020-05-31,13,4
2020-06-07,11,3
2020-06-14,11,0
2020-06-21,11,0
2020-06-28,7,0
2020-07-05,10,0
2020-07-12,10,0
2020-07-19,10,0
2020-07-26,8,0
2020-08-02,8,0
2020-08-09,8,0
2020-08-16,5,0
2020-08-23,7,0
2020-08-30,7,0
2020-09-06,6,0
2020-09-13,7,3
2020-09-20,8,0
2020-09-27,6,0
2020-10-04,8,0
2020-10-11,7,0
2020-10-18,12,0
2020-10-25,8,0
2020-11-01,6,0
2020-11-08,9,0
2020-11-15,10,0
2020-11-22,12,0
2020-11-29,9,0
2020-12-06,13,0
2020-12-13,14,3
2020-12-20,13,4
2020-12-27,18,6
2021-01-03,24,11
2021-01-10,19,7
2021-01-17,22,7
2021-01-24,21,9
2021-01-31,17,5
2021-02-07,17,6
2021-02-14,21,7
2021-02-21,24,9
2021-02-28,26,8
2021-03-07,18,7
2021-03-14,20,5
2021-03-21,23,6
2021-03-28,22,6
2021-04-04,20,4
2021-04-11,20,3
2021-04-18,24,5
2021-04-25,19,6
2021-05-02,21,5
2021-05-09,18,4
2021-05-16,22,6
2021-05-23,18,5
2021-05-30,13,0
2021-06-06,15,4
2021-06-13,17,0
2021-06-20,13,5
2021-06-27,12,0
2021-07-04,12,3
2021-07-11,11,0
2021-07-18,11,0
2021-07-25,10,0
2021-08-01,14,0
2021-08-08,8,3
2021-08-15,13,0
2021-08-22,9,0
2021-08-29,8,0
2021-09-05,8,0
2021-09-12,11,3
2021-09-19,9,0
2021-09-26,11,0
2021-10-03,5,0
2021-10-10,5,0
2021-10-17,8,0
2021-10-24,7,0
2021-10-31,5,0
2021-11-07,6,0
2021-11-14,9,0
2021-11-21,8,0
2021-11-28,9,0
2021-12-05,6,0
2021-12-12,9,0
2021-12-19,8,0
2021-12-26,5,0
2022-01-02,7,0
2022-01-09,8,0
2022-01-16,11,0
2022-01-23,9,0
2022-01-30,8,0
2022-02-06,7,0
2022-02-13,11,2
2022-02-20,13,3
2022-02-27,10,0
2022-03-06,11,0
2022-03-13,15,2
2022-03-20,21,4
2022-03-27,17,3
2022-04-03,16,0
2022-04-10,16,4
2022-04-17,15,3
2022-04-24,15,2
2022-05-01,18,3
2022-05-08,17,5
