Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2020-04-12,16,3
2020-04-19,13,3
2020-04-26,21,6
2020-05-03,25,8
2020-05-10,24,8
2020-05-17,23,7
2020-05-24,27,7
2020-05-31,27,7
2020-06-07,20,5
2020-06-14,15,5
2020-06-21,15,4
2020-06-28,13,0
2020-07-05,16,3
2020-07-12,10,3
2020-07-19,12,0
2020-07-26,10,0
2020-08-02,13,0
2020-08-09,9,0
2020-08-16,10,0
2020-08-23,9,0
2020-08-30,8,0
2020-09-06,7,0
2020-09-13,6,0
2020-09-20,7,0
2020-09-27,6,0
2020-10-04,5,0
2020-10-11,7,0
2020-10-18,5,0
2020-10-25,6,0
2020-11-01,7,0
2020-11-08,4,0
2020-11-15,3,0
2020-11-22,8,0
2020-11-29,6,0
2020-12-06,5,0
2020-12-13,3,0
2020-12-20,4,0
2020-12-27,4,0
2021-01-03,6,0
2021-01-10,4,0
2021-01-17,5,0
2021-01-24,4,0
2021-01-31,0,0
2021-02-07,3,0
2021-02-14,3,0
2021-02-21,4,0
2021-02-28,4,0
2021-03-07,6,0
2021-03-14,5,0
2021-03-21,6,0
2021-03-28,7,0
2021-04-04,6,3
2021-04-11,7,0
2021-04-18,6,0
2021-04-25,9,3
2021-05-02,10,0
2021-05-09,12,0
2021-05-16,15,3
2021-05-23,18,3
2021-05-30,19,4
2021-06-06,15,4
2021-06-13,18,6
2021-06-20,13,4
2021-06-27,13,0
2021-07-04,18,4
2021-07-11,21,5
2021-07-18,23,5
2021-07-25,21,5
2021-08-01,25,5
2021-08-08,20,6
2021-08-15,23,5
2021-08-22,19,5
2021-08-29,23,4
2021-09-05,17,4
2021-09-12,14,3
2021-09-19,14,0
2021-09-26,13,6
2021-10-03,12,3
2021-10-10,8,0
2021-10-17,14,3
2021-10-24,12,5
2021-10-31,10,0
2021-11-07,12,3
2021-11-14,10,0
2021-11-21,10,0
2021-11-28,6,0
2021-12-05,8,0
2021-12-12,7,0
2021-12-19,10,0
2021-12-26,6,0
2022-01-02,10,0
2022-01-09,8,0
2022-01-16,11,4
2022-01-23,8,0
2022-01-30,8,0
2022-02-06,7,5
2022-02-13,8,0
2022-02-20,8,0
2022-02-27,6,2
2022-03-06,8,2
2022-03-13,11,0
2022-03-20,12,4
2022-03-27,18,5
2022-04-03,22,5
2022-04-10,19,6
2022-04-17,27,8
2022-04-24,48,15
2022-05-01,54,16
2022-05-08,78,24
2022-05-15,94,31
2022-05-22,93,29
2022-05-29,95,28
2022-06-05,87,26
2022-06-12,81,29
2022-06-19,94,39
2022-06-26,90,35
2022-07-03,74,26
2022-07-10,65,18
2022-07-17,60,19
2022-07-24,47,14
2022-07-31,33,8
2022-08-07,33,11
2022-08-14,29,10
2022-08-21,20,6
2022-08-28,18,7
2022-09-04,14,0
2022-09-11,16,4
