Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará)
2019-06-30,13,3
2019-07-07,6,0
2019-07-14,7,2
2019-07-21,10,3
2019-07-28,7,2
2019-08-04,9,3
2019-08-11,7,0
2019-08-18,9,0
2019-08-25,7,0
2019-09-01,7,0
2019-09-08,8,0
2019-09-15,9,0
2019-09-22,8,0
2019-09-29,6,0
2019-10-06,9,0
2019-10-13,6,0
2019-10-20,7,2
2019-10-27,5,0
2019-11-03,7,0
2019-11-10,6,0
2019-11-17,8,0
2019-11-24,5,0
2019-12-01,5,0
2019-12-08,4,0
2019-12-15,4,0
2019-12-22,2,0
2019-12-29,4,0
2020-01-05,7,0
2020-01-12,7,0
2020-01-19,9,0
2020-01-26,9,0
2020-02-02,16,4
2020-02-09,22,5
2020-02-16,23,5
2020-02-23,27,7
2020-03-01,31,8
2020-03-08,38,8
2020-03-15,39,9
2020-03-22,32,8
2020-03-29,30,7
2020-04-05,27,8
2020-04-12,34,9
2020-04-19,38,11
2020-04-26,42,14
2020-05-03,47,18
2020-05-10,37,14
2020-05-17,33,8
2020-05-24,30,7
2020-05-31,24,6
2020-06-07,18,5
2020-06-14,19,6
2020-06-21,20,6
2020-06-28,22,6
2020-07-05,16,4
2020-07-12,14,3
2020-07-19,14,3
2020-07-26,10,3
2020-08-02,12,3
2020-08-09,12,3
2020-08-16,9,3
2020-08-23,9,3
2020-08-30,8,1
2020-09-06,8,2
2020-09-13,7,2
2020-09-20,9,0
2020-09-27,8,2
2020-10-04,6,0
2020-10-11,6,0
2020-10-18,7,2
2020-10-25,6,0
2020-11-01,5,0
2020-11-08,7,0
2020-11-15,5,0
2020-11-22,5,0
2020-11-29,5,0
2020-12-06,7,0
2020-12-13,7,2
2020-12-20,3,0
2020-12-27,6,0
2021-01-03,5,2
2021-01-10,5,2
2021-01-17,7,0
2021-01-24,6,2
2021-01-31,11,2
2021-02-07,10,3
2021-02-14,11,2
2021-02-21,12,3
2021-02-28,14,4
2021-03-07,20,5
2021-03-14,20,5
2021-03-21,23,6
2021-03-28,22,7
2021-04-04,24,5
2021-04-11,29,7
2021-04-18,28,8
2021-04-25,30,7
2021-05-02,29,8
2021-05-09,37,11
2021-05-16,45,12
2021-05-23,46,11
2021-05-30,45,13
2021-06-06,44,12
2021-06-13,43,11
2021-06-20,38,11
2021-06-27,33,7
2021-07-04,33,10
2021-07-11,26,6
2021-07-18,26,7
2021-07-25,21,5
2021-08-01,20,4
2021-08-08,20,6
2021-08-15,19,3
2021-08-22,16,3
2021-08-29,16,3
2021-09-05,10,2
2021-09-12,11,0
2021-09-19,14,4
2021-09-26,11,2
2021-10-03,11,2
2021-10-10,7,0
2021-10-17,7,2
2021-10-24,5,2
2021-10-31,5,0
2021-11-07,6,0
2021-11-14,7,0
2021-11-21,6,0
2021-11-28,6,0
2021-12-05,6,2
2021-12-12,8,2
2021-12-19,6,2
2021-12-26,7,0
2022-01-02,10,3
2022-01-09,15,5
2022-01-16,15,6
2022-01-23,13,3
2022-01-30,13,3
2022-02-06,17,4
2022-02-13,20,5
2022-02-20,20,4
2022-02-27,22,6
2022-03-06,27,5
2022-03-13,27,8
2022-03-20,32,7
2022-03-27,35,9
2022-04-03,34,9
2022-04-10,32,10
2022-04-17,46,13
2022-04-24,58,15
2022-05-01,59,16
2022-05-08,58,15
2022-05-15,57,18
2022-05-22,52,17
2022-05-29,56,17
2022-06-05,55,16
2022-06-12,53,17
2022-06-19,49,17
2022-06-26,47,15
2022-07-03,42,14
2022-07-10,33,10
2022-07-17,27,7
2022-07-24,25,8
2022-07-31,24,7
2022-08-07,20,6
2022-08-14,17,4
2022-08-21,16,4
2022-08-28,16,5
2022-09-04,12,3
