Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2020-05-17,27,5
2020-05-24,30,8
2020-05-31,30,10
2020-06-07,30,11
2020-06-14,33,13
2020-06-21,34,11
2020-06-28,29,9
2020-07-05,24,8
2020-07-12,18,4
2020-07-19,18,5
2020-07-26,15,6
2020-08-02,15,5
2020-08-09,13,3
2020-08-16,12,3
2020-08-23,9,0
2020-08-30,7,0
2020-09-06,8,0
2020-09-13,6,0
2020-09-20,11,0
2020-09-27,9,0
2020-10-04,7,0
2020-10-11,6,0
2020-10-18,6,0
2020-10-25,7,0
2020-11-01,10,0
2020-11-08,8,0
2020-11-15,5,0
2020-11-22,10,3
2020-11-29,12,3
2020-12-06,9,3
2020-12-13,13,5
2020-12-20,11,4
2020-12-27,16,5
2021-01-03,18,8
2021-01-10,20,7
2021-01-17,19,6
2021-01-24,16,6
2021-01-31,21,6
2021-02-07,22,6
2021-02-14,19,5
2021-02-21,23,8
2021-02-28,23,8
2021-03-07,27,9
2021-03-14,31,8
2021-03-21,29,10
2021-03-28,24,6
2021-04-04,29,9
2021-04-11,26,8
2021-04-18,26,7
2021-04-25,21,5
2021-05-02,21,5
2021-05-09,22,5
2021-05-16,22,4
2021-05-23,22,7
2021-05-30,24,5
2021-06-06,23,4
2021-06-13,15,4
2021-06-20,17,3
2021-06-27,10,0
2021-07-04,13,3
2021-07-11,12,3
2021-07-18,7,3
2021-07-25,9,3
2021-08-01,8,0
2021-08-08,10,3
2021-08-15,7,0
2021-08-22,9,0
2021-08-29,10,0
2021-09-05,7,0
2021-09-12,8,0
2021-09-19,9,0
2021-09-26,8,0
2021-10-03,7,0
2021-10-10,7,0
2021-10-17,11,3
2021-10-24,10,0
2021-10-31,8,3
2021-11-07,10,3
2021-11-14,13,0
2021-11-21,17,3
2021-11-28,20,5
2021-12-05,22,6
2021-12-12,31,9
2021-12-19,39,9
2021-12-26,42,15
2022-01-02,45,16
2022-01-09,40,12
2022-01-16,50,15
2022-01-23,48,13
2022-01-30,36,8
2022-02-06,32,10
2022-02-13,32,8
2022-02-20,33,8
2022-02-27,33,7
2022-03-06,30,7
2022-03-13,35,8
2022-03-20,37,9
2022-03-27,36,8
2022-04-03,41,10
2022-04-10,38,9
2022-04-17,44,11
2022-04-24,44,9
2022-05-01,36,8
2022-05-08,38,10
2022-05-15,31,8
2022-05-22,31,8
2022-05-29,26,8
2022-06-05,24,7
2022-06-12,21,8
2022-06-19,24,9
2022-06-26,27,8
2022-07-03,19,8
2022-07-10,21,6
2022-07-17,15,5
2022-07-24,12,5
2022-07-31,13,4
2022-08-07,7,3
2022-08-14,10,0
2022-08-21,12,3
2022-08-28,11,3
2022-09-04,12,3
2022-09-11,9,2
2022-09-18,9,2
2022-09-25,10,2
2022-10-02,11,2
2022-10-09,9,2
2022-10-16,11,4
2022-10-23,13,3
2022-10-30,10,3
2022-11-06,13,3
2022-11-13,15,4
2022-11-20,12,4
2022-11-27,13,3
2022-12-04,14,5
2022-12-11,23,7
2022-12-18,15,4
2022-12-25,23,7
2023-01-01,21,7
2023-01-08,22,7
2023-01-15,24,5
2023-01-22,23,6
2023-01-29,28,8
2023-02-05,28,7
2023-02-12,32,8
2023-02-19,38,12
2023-02-26,39,11
2023-03-05,33,10
2023-03-12,41,11
2023-03-19,43,13
2023-03-26,67,21
2023-04-02,55,19
2023-04-09,55,17
2023-04-16,50,15
2023-04-23,49,15
2023-04-30,42,13
2023-05-07,36,8
2023-05-14,36,11
