Categoria: Todas as categorias

Semana,dengue: (Amapá),sintomas dengue: (Amapá)
2022-03-13,0,0
2022-03-20,5,0
2022-03-27,0,0
2022-04-03,0,0
2022-04-10,0,0
2022-04-17,0,0
2022-04-24,6,0
2022-05-01,7,0
2022-05-08,0,0
2022-05-15,7,0
2022-05-22,6,0
2022-05-29,0,0
2022-06-05,0,0
2022-06-12,6,0
2022-06-19,7,0
2022-06-26,0,0
2022-07-03,8,0
2022-07-10,0,0
2022-07-17,0,0
2022-07-24,0,0
2022-07-31,0,0
2022-08-07,0,0
2022-08-14,0,0
2022-08-21,0,0
2022-08-28,0,0
2022-09-04,0,0
2022-09-11,0,0
2022-09-18,0,0
2022-09-25,0,0
2022-10-02,0,0
2022-10-09,0,0
2022-10-16,0,0
2022-10-23,0,0
2022-10-30,0,0
2022-11-06,0,0
2022-11-13,0,0
2022-11-20,0,0
2022-11-27,0,0
2022-12-04,0,0
2022-12-11,7,0
2022-12-18,0,0
2022-12-25,7,0
2023-01-01,0,0
2023-01-08,0,0
2023-01-15,0,0
2023-01-22,6,6
2023-01-29,6,0
2023-02-05,6,0
2023-02-12,0,0
2023-02-19,0,0
2023-02-26,6,0
2023-03-05,7,0
2023-03-12,12,0
2023-03-19,6,0
2023-03-26,8,0
2023-04-02,6,6
2023-04-09,0,0
2023-04-16,7,0
2023-04-23,0,0
2023-04-30,6,0
2023-05-07,5,0
2023-05-14,0,0
2023-05-21,6,0
2023-05-28,0,0
2023-06-04,7,0
2023-06-11,7,0
2023-06-18,6,0
2023-06-25,0,0
2023-07-02,0,0
2023-07-09,0,0
2023-07-16,7,0
2023-07-23,0,0
2023-07-30,0,0
2023-08-06,0,0
2023-08-13,0,0
2023-08-20,6,0
2023-08-27,11,0
2023-09-03,0,0
2023-09-10,0,0
2023-09-17,0,0
2023-09-24,0,0
2023-10-01,0,0
2023-10-08,0,0
2023-10-15,0,0
2023-10-22,0,0
2023-10-29,0,0
2023-11-05,0,0
2023-11-12,0,0
2023-11-19,0,0
2023-11-26,0,0
2023-12-03,0,0
2023-12-10,8,0
2023-12-17,0,0
2023-12-24,7,0
2023-12-31,0,0
2024-01-07,14,7
2024-01-14,21,0
2024-01-21,18,0
2024-01-28,39,9
2024-02-04,45,10
2024-02-11,48,15
2024-02-18,100,18
2024-02-25,75,12
2024-03-03,72,14
2024-03-10,75,10
2024-03-17,85,10
2024-03-24,64,15
2024-03-31,79,14
2024-04-07,74,16
2024-04-14,63,18
2024-04-21,91,15
2024-04-28,55,13
2024-05-05,64,11
2024-05-12,43,0
2024-05-19,40,9
2024-05-26,35,11
2024-06-02,25,10
2024-06-09,20,7
2024-06-16,23,0
2024-06-23,22,0
2024-06-30,26,9
2024-07-07,21,0
2024-07-14,20,0
2024-07-21,33,0
2024-07-28,27,0
2024-08-04,22,0
2024-08-11,21,0
2024-08-18,21,0
2024-08-25,18,0
2024-09-01,21,0
2024-09-08,15,0
2024-09-15,9,0
2024-09-22,13,0
2024-09-29,9,0
2024-10-06,0,0
2024-10-13,11,0
2024-10-20,11,0
2024-10-27,11,0
2024-11-03,0,0
2024-11-10,9,0
2024-11-17,11,0
2024-11-24,9,0
2024-12-01,0,0
2024-12-08,0,0
2024-12-15,0,0
2024-12-22,0,0
2024-12-29,0,0
2025-01-05,14,0
2025-01-12,10,0
2025-01-19,13,0
2025-01-26,15,0
2025-02-02,10,0
2025-02-09,23,0
2025-02-16,26,0
2025-02-23,18,0
2025-03-02,18,0
2025-03-09,20,0
2025-03-16,12,0
2025-03-23,13,0
2025-03-30,10,0
2025-04-06,15,0
2025-04-13,16,0
2025-04-20,0,0
2025-04-27,0,0
2025-05-04,5,1
2025-05-11,8,2
2025-05-18,9,2
