Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão)
2019-12-29,0,0
2020-01-05,8,0
2020-01-12,8,0
2020-01-19,10,3
2020-01-26,10,0
2020-02-02,9,3
2020-02-09,11,4
2020-02-16,21,6
2020-02-23,17,6
2020-03-01,20,5
2020-03-08,21,5
2020-03-15,24,7
2020-03-22,21,5
2020-03-29,16,3
2020-04-05,15,4
2020-04-12,20,8
2020-04-19,19,7
2020-04-26,19,7
2020-05-03,15,5
2020-05-10,13,5
2020-05-17,9,4
2020-05-24,9,0
2020-05-31,7,0
2020-06-07,6,0
2020-06-14,9,0
2020-06-21,6,0
2020-06-28,5,0
2020-07-05,6,0
2020-07-12,5,0
2020-07-19,3,0
2020-07-26,5,0
2020-08-02,3,0
2020-08-09,5,0
2020-08-16,4,0
2020-08-23,4,0
2020-08-30,5,0
2020-09-06,4,0
2020-09-13,5,0
2020-09-20,5,0
2020-09-27,5,0
2020-10-04,6,0
2020-10-11,3,0
2020-10-18,6,0
2020-10-25,6,0
2020-11-01,2,0
2020-11-08,5,0
2020-11-15,4,0
2020-11-22,4,0
2020-11-29,4,0
2020-12-06,6,0
2020-12-13,3,0
2020-12-20,3,0
2020-12-27,5,0
2021-01-03,5,0
2021-01-10,5,0
2021-01-17,6,0
2021-01-24,6,0
2021-01-31,6,0
2021-02-07,6,0
2021-02-14,5,0
2021-02-21,6,0
2021-02-28,8,0
2021-03-07,9,2
2021-03-14,9,0
2021-03-21,10,2
2021-03-28,6,0
2021-04-04,9,0
2021-04-11,8,0
2021-04-18,6,0
2021-04-25,8,0
2021-05-02,10,2
2021-05-09,6,0
2021-05-16,8,2
2021-05-23,7,0
2021-05-30,6,0
2021-06-06,8,2
2021-06-13,9,3
2021-06-20,8,0
2021-06-27,5,0
2021-07-04,6,2
2021-07-11,4,0
2021-07-18,4,0
2021-07-25,3,0
2021-08-01,3,0
2021-08-08,3,0
2021-08-15,4,0
2021-08-22,6,2
2021-08-29,6,0
2021-09-05,3,0
2021-09-12,5,0
2021-09-19,5,0
2021-09-26,4,0
2021-10-03,4,0
2021-10-10,3,0
2021-10-17,4,0
2021-10-24,3,0
2021-10-31,5,0
2021-11-07,6,0
2021-11-14,6,0
2021-11-21,5,0
2021-11-28,6,0
2021-12-05,5,0
2021-12-12,6,0
