Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará),tratamento dengue: (Ceará)
2019-03-31,21,5,0
2019-04-07,18,5,0
2019-04-14,15,4,0
2019-04-21,21,3,0
2019-04-28,21,7,0
2019-05-05,24,5,0
2019-05-12,17,4,0
2019-05-19,19,4,0
2019-05-26,17,5,0
2019-06-02,16,4,0
2019-06-09,13,3,0
2019-06-16,13,2,0
2019-06-23,11,2,0
2019-06-30,11,3,0
2019-07-07,7,0,0
2019-07-14,8,2,0
2019-07-21,10,2,0
2019-07-28,9,2,0
2019-08-04,9,2,0
2019-08-11,5,2,0
2019-08-18,8,0,0
2019-08-25,9,2,0
2019-09-01,6,0,0
2019-09-08,7,0,0
2019-09-15,8,2,0
2019-09-22,7,0,0
2019-09-29,6,0,0
2019-10-06,8,0,0
2019-10-13,5,0,0
2019-10-20,5,0,0
2019-10-27,5,0,0
2019-11-03,7,0,0
2019-11-10,6,0,0
2019-11-17,6,0,0
2019-11-24,5,0,0
2019-12-01,5,2,0
2019-12-08,3,0,0
2019-12-15,5,0,0
2019-12-22,2,0,0
2019-12-29,4,0,0
2020-01-05,8,2,0
2020-01-12,8,1,0
2020-01-19,9,0,0
2020-01-26,8,0,0
2020-02-02,15,3,0
2020-02-09,22,4,0
2020-02-16,22,4,0
2020-02-23,26,8,0
2020-03-01,29,7,2
2020-03-08,38,8,0
2020-03-15,36,8,0
2020-03-22,31,7,0
2020-03-29,29,7,1
2020-04-05,27,6,0
2020-04-12,32,9,0
2020-04-19,37,9,0
2020-04-26,40,13,0
2020-05-03,46,18,0
2020-05-10,37,12,1
2020-05-17,33,7,0
2020-05-24,28,7,0
2020-05-31,23,6,0
2020-06-07,17,5,0
2020-06-14,19,5,0
2020-06-21,21,5,0
2020-06-28,20,5,2
2020-07-05,14,4,2
2020-07-12,13,3,0
2020-07-19,14,4,0
2020-07-26,9,2,0
2020-08-02,10,2,0
2020-08-09,12,2,0
2020-08-16,8,2,0
2020-08-23,9,2,0
2020-08-30,6,2,0
2020-09-06,8,0,0
2020-09-13,5,0,0
2020-09-20,9,2,0
2020-09-27,7,1,0
2020-10-04,6,0,0
2020-10-11,6,0,0
2020-10-18,6,0,0
2020-10-25,5,0,0
2020-11-01,5,0,0
2020-11-08,7,0,0
2020-11-15,6,0,0
2020-11-22,5,0,0
2020-11-29,5,0,0
2020-12-06,7,0,0
2020-12-13,9,2,0
2020-12-20,3,0,0
2020-12-27,6,0,0
2021-01-03,6,2,0
2021-01-10,5,2,0
2021-01-17,6,2,0
2021-01-24,5,3,0
2021-01-31,10,0,0
2021-02-07,10,2,0
2021-02-14,10,3,0
2021-02-21,12,2,0
2021-02-28,15,4,0
2021-03-07,20,4,0
2021-03-14,19,4,0
2021-03-21,23,6,0
2021-03-28,21,6,0
2021-04-04,23,6,1
2021-04-11,28,6,0
2021-04-18,28,9,0
2021-04-25,30,9,1
2021-05-02,28,7,0
2021-05-09,35,11,2
2021-05-16,44,11,0
2021-05-23,45,12,0
2021-05-30,43,13,0
2021-06-06,41,12,2
2021-06-13,43,11,0
2021-06-20,38,11,2
2021-06-27,32,6,2
2021-07-04,33,9,0
2021-07-11,25,6,0
2021-07-18,24,6,0
2021-07-25,20,6,0
2021-08-01,20,4,0
2021-08-08,19,5,0
2021-08-15,19,4,0
2021-08-22,16,3,0
2021-08-29,14,4,0
2021-09-05,10,0,0
2021-09-12,11,2,0
2021-09-19,14,3,0
2021-09-26,9,3,0
2021-10-03,12,2,0
2021-10-10,6,2,0
2021-10-17,8,2,0
2021-10-24,6,2,0
2021-10-31,3,0,0
2021-11-07,5,1,0
2021-11-14,6,0,0
2021-11-21,6,0,0
2021-11-28,6,2,0
2021-12-05,7,2,0
2021-12-12,8,0,0
2021-12-19,6,2,0
2021-12-26,7,3,0
2022-01-02,10,2,0
2022-01-09,14,5,0
2022-01-16,14,6,0
2022-01-23,12,3,0
2022-01-30,13,4,0
2022-02-06,15,4,0
2022-02-13,19,4,0
2022-02-20,19,4,1
2022-02-27,20,6,0
2022-03-06,25,5,0
2022-03-13,25,7,1
2022-03-20,32,8,1
2022-03-27,32,9,0
2022-04-03,34,9,1
2022-04-10,32,9,0
2022-04-17,48,15,1
2022-04-24,53,14,0
2022-05-01,55,15,1
2022-05-08,53,14,1
2022-05-15,54,17,0
2022-05-22,53,17,0
2022-05-29,57,16,2
2022-06-05,50,14,2
2022-06-12,52,17,1
2022-06-19,48,16,0
2022-06-26,44,14,0
2022-07-03,40,13,1
2022-07-10,32,9,1
2022-07-17,25,7,0
2022-07-24,26,9,0
2022-07-31,24,6,0
2022-08-07,18,6,0
2022-08-14,15,3,0
2022-08-21,15,3,0
2022-08-28,15,5,0
2022-09-04,11,3,1
2022-09-11,14,3,0
2022-09-18,11,3,2
2022-09-25,10,3,0
2022-10-02,8,2,0
2022-10-09,9,2,1
2022-10-16,8,3,0
2022-10-23,8,2,0
2022-10-30,8,2,0
2022-11-06,7,2,0
2022-11-13,8,2,0
2022-11-20,8,2,0
2022-11-27,6,1,0
2022-12-04,8,2,0
2022-12-11,7,1,0
2022-12-18,5,2,0
2022-12-25,5,2,0
2023-01-01,7,0,0
2023-01-08,5,2,0
2023-01-15,6,0,0
2023-01-22,7,2,0
2023-01-29,9,2,0
2023-02-05,11,3,0
2023-02-12,13,4,0
2023-02-19,17,5,0
2023-02-26,18,5,0
2023-03-05,20,7,0
2023-03-12,24,8,0
2023-03-19,29,8,0
2023-03-26,33,9,0
2023-04-02,24,8,1
2023-04-09,24,7,0
2023-04-16,22,6,0
2023-04-23,18,6,0
2023-04-30,18,5,0
2023-05-07,16,4,0
2023-05-14,18,5,0
2023-05-21,17,3,0
2023-05-28,14,4,0
2023-06-04,13,2,0
2023-06-11,14,4,0
2023-06-18,15,2,0
2023-06-25,12,2,0
2023-07-02,18,2,0
2023-07-09,10,2,0
2023-07-16,9,3,0
2023-07-23,10,2,0
2023-07-30,7,2,0
2023-08-06,6,0,0
2023-08-13,8,2,0
2023-08-20,9,3,0
2023-08-27,8,0,0
2023-09-03,6,0,0
2023-09-10,7,0,0
2023-09-17,7,1,0
2023-09-24,8,1,0
2023-10-01,8,1,0
2023-10-08,5,0,0
2023-10-15,6,1,0
2023-10-22,5,0,0
2023-10-29,5,2,0
2023-11-05,6,1,0
2023-11-12,8,1,0
2023-11-19,8,2,0
2023-11-26,7,2,0
2023-12-03,8,2,0
2023-12-10,7,2,0
2023-12-17,8,0,0
2023-12-24,7,2,0
2023-12-31,7,1,0
2024-01-07,9,2,0
2024-01-14,8,1,0
2024-01-21,12,3,0
2024-01-28,18,5,0
2024-02-04,27,5,0
2024-02-11,50,14,0
2024-02-18,81,18,0
2024-02-25,92,22,2
2024-03-03,100,22,0
2024-03-10,78,19,0
2024-03-17,74,17,1
2024-03-24,60,17,1
2024-03-31,62,17,1
