Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2019-03-31,97,24,0
2019-04-07,100,29,0
2019-04-14,72,20,0
2019-04-21,64,17,0
2019-04-28,65,19,0
2019-05-05,62,16,0
2019-05-12,56,16,0
2019-05-19,49,12,0
2019-05-26,33,9,0
2019-06-02,30,8,0
2019-06-09,28,7,0
2019-06-16,28,8,0
2019-06-23,17,5,0
2019-06-30,18,5,0
2019-07-07,10,0,0
2019-07-14,8,3,0
2019-07-21,11,0,0
2019-07-28,8,0,0
2019-08-04,7,0,0
2019-08-11,9,0,0
2019-08-18,8,0,0
2019-08-25,10,0,0
2019-09-01,5,0,0
2019-09-08,8,0,0
2019-09-15,10,0,0
2019-09-22,9,0,0
2019-09-29,8,6,0
2019-10-06,5,0,0
2019-10-13,7,0,0
2019-10-20,9,0,0
2019-10-27,7,0,0
2019-11-03,8,0,0
2019-11-10,8,3,0
2019-11-17,12,3,0
2019-11-24,8,0,0
2019-12-01,14,3,0
2019-12-08,13,0,0
2019-12-15,14,0,0
2019-12-22,20,5,0
2019-12-29,21,5,0
2020-01-05,27,8,0
2020-01-12,39,10,0
2020-01-19,56,11,0
2020-01-26,52,14,0
2020-02-02,60,11,0
2020-02-09,69,14,4
2020-02-16,69,16,0
2020-02-23,72,20,0
2020-03-01,79,18,0
2020-03-08,86,21,0
2020-03-15,82,20,0
2020-03-22,71,16,0
2020-03-29,59,13,0
2020-04-05,55,13,0
2020-04-12,47,8,0
2020-04-19,38,8,0
2020-04-26,39,9,0
2020-05-03,27,4,0
2020-05-10,21,4,0
2020-05-17,26,5,0
2020-05-24,19,3,0
2020-05-31,15,3,0
2020-06-07,17,2,0
2020-06-14,16,4,0
2020-06-21,20,4,0
2020-06-28,12,5,0
2020-07-05,15,4,0
2020-07-12,13,3,0
2020-07-19,14,3,0
2020-07-26,16,4,0
2020-08-02,10,2,0
2020-08-09,7,4,0
2020-08-16,10,4,0
2020-08-23,7,0,0
2020-08-30,9,0,0
2020-09-06,10,4,0
2020-09-13,7,0,0
2020-09-20,11,2,0
2020-09-27,6,0,0
2020-10-04,6,0,0
2020-10-11,5,0,0
2020-10-18,8,0,0
2020-10-25,6,2,0
2020-11-01,8,5,0
2020-11-08,8,0,0
2020-11-15,11,3,0
2020-11-22,11,2,0
2020-11-29,10,3,4
2020-12-06,13,3,0
2020-12-13,11,6,0
2020-12-20,12,4,0
2020-12-27,12,4,0
2021-01-03,13,4,3
2021-01-10,11,4,0
2021-01-17,12,4,0
2021-01-24,15,4,0
2021-01-31,22,6,0
2021-02-07,22,10,0
2021-02-14,27,7,0
2021-02-21,19,7,0
2021-02-28,26,9,0
2021-03-07,22,11,0
2021-03-14,26,7,0
2021-03-21,27,12,0
2021-03-28,25,10,0
2021-04-04,23,7,0
2021-04-11,19,4,0
2021-04-18,22,4,0
2021-04-25,21,5,0
2021-05-02,17,5,0
2021-05-09,16,0,0
2021-05-16,16,6,0
2021-05-23,14,3,0
2021-05-30,18,4,0
2021-06-06,11,4,0
2021-06-13,12,5,0
2021-06-20,12,0,0
2021-06-27,0,0,0
2021-07-04,4,0,0
2021-07-11,5,0,0
2021-07-18,6,2,0
2021-07-25,4,0,0
2021-08-01,3,3,0
2021-08-08,5,0,0
2021-08-15,4,0,0
2021-08-22,6,0,0
2021-08-29,7,0,0
2021-09-05,0,0,0
2021-09-12,4,0,0
2021-09-19,7,0,0
2021-09-26,9,0,0
2021-10-03,6,0,0
2021-10-10,0,0,0
2021-10-17,4,0,0
2021-10-24,4,4,0
2021-10-31,6,0,0
2021-11-07,8,3,0
2021-11-14,5,0,0
2021-11-21,6,0,0
2021-11-28,7,0,0
2021-12-05,7,0,0
2021-12-12,9,4,0
2021-12-19,9,0,0
2021-12-26,5,0,0
2022-01-02,9,4,0
2022-01-09,17,6,0
2022-01-16,17,8,0
