Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2019-03-31,11,3,0
2019-04-07,14,0,0
2019-04-14,11,0,0
2019-04-21,16,4,0
2019-04-28,16,4,0
2019-05-05,9,4,0
2019-05-12,15,4,0
2019-05-19,16,4,0
2019-05-26,12,0,0
2019-06-02,13,4,0
2019-06-09,16,6,0
2019-06-16,8,0,0
2019-06-23,10,4,0
2019-06-30,8,0,0
2019-07-07,8,0,0
2019-07-14,3,0,0
2019-07-21,7,5,0
2019-07-28,3,0,0
2019-08-04,4,0,0
2019-08-11,6,0,0
2019-08-18,4,0,0
2019-08-25,4,0,0
2019-09-01,4,0,0
2019-09-08,4,0,0
2019-09-15,5,0,0
2019-09-22,4,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,4,0,0
2019-10-27,3,0,0
2019-11-03,2,0,0
2019-11-10,4,0,0
2019-11-17,3,0,0
2019-11-24,4,0,0
2019-12-01,3,3,0
2019-12-08,3,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,3,0,0
2020-01-12,3,0,0
2020-01-19,3,0,0
2020-01-26,4,0,0
2020-02-02,4,0,0
2020-02-09,5,0,0
2020-02-16,10,0,0
2020-02-23,7,0,0
2020-03-01,8,0,0
2020-03-08,11,0,0
2020-03-15,15,4,0
2020-03-22,16,4,0
2020-03-29,9,2,0
2020-04-05,8,2,0
2020-04-12,5,3,0
2020-04-19,9,2,0
2020-04-26,9,4,0
2020-05-03,12,3,0
2020-05-10,9,3,0
2020-05-17,9,2,0
2020-05-24,9,2,0
2020-05-31,10,3,0
2020-06-07,7,2,0
2020-06-14,7,3,0
2020-06-21,9,3,0
2020-06-28,6,2,0
2020-07-05,5,0,0
2020-07-12,5,0,0
2020-07-19,4,3,0
2020-07-26,3,0,0
2020-08-02,4,0,0
2020-08-09,2,0,0
2020-08-16,3,0,0
2020-08-23,0,0,0
2020-08-30,4,0,0
2020-09-06,0,0,0
2020-09-13,3,0,0
2020-09-20,0,0,0
2020-09-27,2,0,0
2020-10-04,3,0,0
2020-10-11,2,0,0
2020-10-18,3,0,0
2020-10-25,2,0,0
2020-11-01,3,0,0
2020-11-08,3,0,0
2020-11-15,2,0,0
2020-11-22,3,0,0
2020-11-29,3,0,0
2020-12-06,4,0,0
2020-12-13,2,0,0
2020-12-20,0,0,0
2020-12-27,5,0,0
2021-01-03,2,0,0
2021-01-10,0,0,0
2021-01-17,2,0,0
2021-01-24,2,0,0
2021-01-31,2,0,0
2021-02-07,3,0,0
2021-02-14,4,0,0
2021-02-21,4,0,0
2021-02-28,5,0,0
2021-03-07,7,0,0
2021-03-14,5,0,0
2021-03-21,6,0,0
2021-03-28,6,3,0
2021-04-04,9,3,0
2021-04-11,7,3,0
2021-04-18,8,0,3
2021-04-25,10,0,0
2021-05-02,6,3,2
2021-05-09,7,0,0
2021-05-16,9,2,0
2021-05-23,7,0,0
2021-05-30,8,3,0
2021-06-06,9,3,0
2021-06-13,11,3,0
2021-06-20,9,0,0
2021-06-27,5,0,0
2021-07-04,7,4,0
2021-07-11,5,0,0
2021-07-18,5,4,0
2021-07-25,4,0,0
2021-08-01,4,3,0
2021-08-08,6,0,0
2021-08-15,6,2,0
2021-08-22,6,0,0
2021-08-29,5,0,0
2021-09-05,4,0,0
2021-09-12,4,0,0
2021-09-19,4,0,0
2021-09-26,3,0,0
2021-10-03,4,0,0
2021-10-10,3,0,0
2021-10-17,0,0,0
2021-10-24,4,2,0
2021-10-31,3,0,0
2021-11-07,3,0,0
2021-11-14,4,0,0
2021-11-21,3,0,0
2021-11-28,3,0,0
2021-12-05,4,0,0
2021-12-12,5,0,0
2021-12-19,3,0,0
2021-12-26,6,0,0
2022-01-02,6,0,0
2022-01-09,9,3,0
2022-01-16,9,4,0
2022-01-23,8,2,0
2022-01-30,10,3,0
2022-02-06,13,7,0
2022-02-13,16,6,0
2022-02-20,20,5,0
2022-02-27,27,6,0
2022-03-06,28,8,0
2022-03-13,32,9,0
2022-03-20,42,14,0
2022-03-27,63,16,0
2022-04-03,67,20,0
2022-04-10,75,20,2
2022-04-17,100,29,0
2022-04-24,93,25,3
2022-05-01,86,24,1
2022-05-08,73,20,1
2022-05-15,65,18,0
2022-05-22,49,14,0
2022-05-29,44,13,2
2022-06-05,43,12,2
2022-06-12,35,11,0
2022-06-19,25,9,0
2022-06-26,28,10,0
2022-07-03,23,10,0
2022-07-10,15,6,0
2022-07-17,10,3,0
2022-07-24,7,2,0
2022-07-31,7,4,0
2022-08-07,7,2,0
2022-08-14,6,2,0
2022-08-21,5,0,0
2022-08-28,2,0,0
2022-09-04,4,0,0
2022-09-11,3,0,0
2022-09-18,2,0,0
2022-09-25,4,0,0
2022-10-02,5,0,0
2022-10-09,4,0,0
2022-10-16,4,0,0
2022-10-23,2,0,0
2022-10-30,5,0,0
2022-11-06,5,0,0
2022-11-13,5,0,0
2022-11-20,4,0,0
2022-11-27,5,0,0
2022-12-04,3,0,0
2022-12-11,5,0,0
2022-12-18,4,0,0
2022-12-25,3,3,0
2023-01-01,5,0,0
2023-01-08,5,2,0
2023-01-15,6,0,0
2023-01-22,6,0,0
2023-01-29,7,2,0
2023-02-05,7,0,0
2023-02-12,9,3,3
2023-02-19,8,2,0
2023-02-26,13,5,0
2023-03-05,14,3,0
2023-03-12,15,4,0
2023-03-19,17,7,0
2023-03-26,19,5,0
2023-04-02,19,7,0
2023-04-09,19,7,0
2023-04-16,21,7,0
2023-04-23,18,6,0
2023-04-30,14,3,0
2023-05-07,19,5,0
2023-05-14,14,4,0
2023-05-21,10,2,0
2023-05-28,14,4,0
2023-06-04,7,3,0
2023-06-11,11,2,0
2023-06-18,8,3,0
2023-06-25,8,2,0
2023-07-02,5,0,0
2023-07-09,5,0,0
2023-07-16,5,0,0
2023-07-23,2,0,0
2023-07-30,2,0,2
2023-08-06,3,2,0
2023-08-13,2,0,0
2023-08-20,2,0,0
