Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão),tratamento dengue: (Maranhão)
2019-03-31,18,6,0
2019-04-07,19,3,0
2019-04-14,15,0,0
2019-04-21,22,0,0
2019-04-28,16,4,4
2019-05-05,18,6,0
2019-05-12,15,0,0
2019-05-19,18,5,0
2019-05-26,16,3,0
2019-06-02,12,5,0
2019-06-09,13,5,0
2019-06-16,12,4,0
2019-06-23,14,0,0
2019-06-30,9,0,0
2019-07-07,6,0,0
2019-07-14,6,0,0
2019-07-21,6,0,0
2019-07-28,9,3,0
2019-08-04,8,0,0
2019-08-11,3,0,0
2019-08-18,4,0,0
2019-08-25,7,0,3
2019-09-01,0,0,0
2019-09-08,8,0,0
2019-09-15,9,0,0
2019-09-22,3,0,0
2019-09-29,6,0,0
2019-10-06,5,0,0
2019-10-13,7,0,0
2019-10-20,7,0,0
2019-10-27,4,0,0
2019-11-03,4,0,0
2019-11-10,6,0,0
2019-11-17,7,0,4
2019-11-24,5,0,0
2019-12-01,6,0,0
2019-12-08,5,0,0
2019-12-15,5,0,0
2019-12-22,5,0,0
2019-12-29,4,0,0
2020-01-05,6,0,0
2020-01-12,7,4,0
2020-01-19,9,0,0
2020-01-26,8,0,0
2020-02-02,10,3,0
2020-02-09,11,4,0
2020-02-16,18,5,0
2020-02-23,15,6,0
2020-03-01,20,3,0
2020-03-08,22,6,0
2020-03-15,22,4,0
2020-03-22,17,0,0
2020-03-29,17,5,0
2020-04-05,14,4,0
2020-04-12,17,5,0
2020-04-19,17,5,0
2020-04-26,19,6,0
2020-05-03,15,7,0
2020-05-10,13,4,0
2020-05-17,8,4,0
2020-05-24,8,0,0
2020-05-31,8,0,0
2020-06-07,5,0,0
2020-06-14,6,0,0
2020-06-21,5,0,0
2020-06-28,5,0,0
2020-07-05,6,0,0
2020-07-12,0,0,0
2020-07-19,3,0,0
2020-07-26,4,0,0
2020-08-02,3,0,0
2020-08-09,4,0,0
2020-08-16,4,0,0
2020-08-23,0,0,0
2020-08-30,5,0,0
2020-09-06,0,0,0
2020-09-13,5,0,0
2020-09-20,5,0,0
2020-09-27,5,0,0
2020-10-04,7,0,0
2020-10-11,4,0,0
2020-10-18,5,0,0
2020-10-25,7,0,0
2020-11-01,4,3,0
2020-11-08,5,0,0
2020-11-15,3,0,0
2020-11-22,5,0,0
2020-11-29,3,0,0
2020-12-06,5,0,0
2020-12-13,3,0,0
2020-12-20,3,0,0
