Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas),tratamento dengue: (Amazonas)
2019-03-31,7,0,0
2019-04-07,11,0,0
2019-04-14,0,0,0
2019-04-21,10,0,0
2019-04-28,5,0,0
2019-05-05,13,6,0
2019-05-12,11,5,0
2019-05-19,5,0,0
2019-05-26,14,0,0
2019-06-02,8,0,0
2019-06-09,7,0,0
2019-06-16,10,0,0
2019-06-23,7,0,0
2019-06-30,6,0,0
2019-07-07,8,0,0
2019-07-14,7,0,0
2019-07-21,8,0,0
2019-07-28,0,0,0
2019-08-04,9,0,0
2019-08-11,6,0,0
2019-08-18,9,0,0
2019-08-25,8,0,0
2019-09-01,7,0,0
2019-09-08,0,0,0
2019-09-15,5,0,0
2019-09-22,8,0,0
2019-09-29,7,0,0
2019-10-06,11,0,0
2019-10-13,7,0,0
2019-10-20,6,0,0
2019-10-27,17,0,0
2019-11-03,12,0,0
2019-11-10,9,0,0
2019-11-17,10,0,0
2019-11-24,13,0,0
2019-12-01,11,0,0
2019-12-08,9,0,0
2019-12-15,8,0,5
2019-12-22,5,0,0
2019-12-29,17,0,0
2020-01-05,13,7,0
2020-01-12,12,0,0
2020-01-19,4,0,0
2020-01-26,15,0,0
2020-02-02,11,0,0
2020-02-09,15,5,0
2020-02-16,16,0,4
2020-02-23,12,0,0
2020-03-01,15,4,0
2020-03-08,17,0,0
2020-03-15,25,7,0
2020-03-22,19,0,0
2020-03-29,20,8,0
2020-04-05,27,10,0
2020-04-12,30,9,0
2020-04-19,20,8,0
2020-04-26,22,6,0
2020-05-03,8,0,0
2020-05-10,9,3,0
2020-05-17,10,0,0
2020-05-24,10,0,4
2020-05-31,15,0,0
2020-06-07,9,0,0
2020-06-14,10,0,0
2020-06-21,10,7,0
2020-06-28,5,0,0
2020-07-05,11,0,0
2020-07-12,10,0,0
2020-07-19,12,4,0
2020-07-26,4,0,0
2020-08-02,7,0,0
2020-08-09,6,0,0
2020-08-16,5,0,0
2020-08-23,4,0,0
2020-08-30,9,0,0
2020-09-06,8,6,0
2020-09-13,7,0,0
2020-09-20,11,0,0
2020-09-27,0,0,0
2020-10-04,10,4,0
2020-10-11,9,0,0
2020-10-18,11,0,0
2020-10-25,9,0,0
2020-11-01,5,4,0
2020-11-08,6,0,0
2020-11-15,9,0,0
2020-11-22,15,0,0
2020-11-29,9,0,0
2020-12-06,10,0,0
2020-12-13,15,4,0
2020-12-20,9,0,0
2020-12-27,18,8,0
2021-01-03,25,12,0
2021-01-10,19,8,0
2021-01-17,18,8,0
2021-01-24,22,5,0
2021-01-31,18,6,0
2021-02-07,14,0,0
2021-02-14,17,7,0
2021-02-21,20,5,5
2021-02-28,25,10,0
2021-03-07,16,8,0
2021-03-14,16,4,0
2021-03-21,26,7,0
2021-03-28,18,6,0
2021-04-04,18,6,0
2021-04-11,17,0,0
2021-04-18,23,6,0
2021-04-25,16,6,0
2021-05-02,19,0,0
2021-05-09,19,0,0
2021-05-16,21,5,0
2021-05-23,18,5,0
2021-05-30,12,0,0
2021-06-06,12,5,0
2021-06-13,16,4,0
2021-06-20,13,5,0
2021-06-27,9,0,0
2021-07-04,14,0,0
2021-07-11,11,0,0
2021-07-18,9,0,0
2021-07-25,9,0,0
2021-08-01,10,0,0
2021-08-08,9,0,0
2021-08-15,13,0,0
2021-08-22,9,0,0
2021-08-29,9,0,0
2021-09-05,9,0,0
2021-09-12,9,0,0
2021-09-19,9,0,0
2021-09-26,10,0,0
2021-10-03,6,0,0
2021-10-10,0,0,0
2021-10-17,0,0,0
2021-10-24,6,0,0
2021-10-31,7,0,0
2021-11-07,4,0,0
2021-11-14,8,0,0
2021-11-21,8,0,0
2021-11-28,5,4,0
2021-12-05,8,0,0
2021-12-12,10,6,0
2021-12-19,0,5,0
2021-12-26,5,5,0
2022-01-02,11,0,0
2022-01-09,10,0,0
2022-01-16,10,0,0
2022-01-23,10,0,0
2022-01-30,9,0,0
2022-02-06,7,0,0
2022-02-13,11,4,0
2022-02-20,11,4,0
2022-02-27,12,4,0
2022-03-06,13,3,0
2022-03-13,12,0,0
2022-03-20,18,4,0
2022-03-27,15,4,0
2022-04-03,16,0,0
2022-04-10,13,6,0
2022-04-17,16,5,0
2022-04-24,15,2,0
2022-05-01,17,5,0
2022-05-08,16,0,0
2022-05-15,19,4,0
2022-05-22,20,5,0
2022-05-29,16,6,0
2022-06-05,16,4,0
2022-06-12,16,4,0
2022-06-19,13,3,0
2022-06-26,9,3,0
2022-07-03,7,0,4
2022-07-10,6,0,0
2022-07-17,10,0,0
2022-07-24,11,0,0
2022-07-31,11,0,0
2022-08-07,9,0,0
2022-08-14,11,0,0
2022-08-21,10,0,0
2022-08-28,7,0,0
2022-09-04,5,0,3
2022-09-11,5,0,0
2022-09-18,11,0,0
2022-09-25,8,0,0
2022-10-02,5,0,0
2022-10-09,6,0,0
2022-10-16,10,0,0
2022-10-23,9,0,0
2022-10-30,6,0,0
2022-11-06,13,5,0
2022-11-13,8,0,0
2022-11-20,11,3,0
2022-11-27,13,0,0
2022-12-04,11,0,0
2022-12-11,8,0,0
2022-12-18,9,4,0
2022-12-25,7,4,0
2023-01-01,8,0,3
2023-01-08,6,0,0
2023-01-15,8,5,0
2023-01-22,6,0,0
