Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2019-03-31,19,4,0
2019-04-07,22,4,0
2019-04-14,21,4,0
2019-04-21,18,0,0
2019-04-28,24,9,0
2019-05-05,27,10,0
2019-05-12,26,7,0
2019-05-19,24,6,0
2019-05-26,21,3,0
2019-06-02,18,4,0
2019-06-09,20,4,0
2019-06-16,15,6,0
2019-06-23,19,7,0
2019-06-30,12,0,0
2019-07-07,11,0,0
2019-07-14,12,4,0
2019-07-21,5,0,0
2019-07-28,9,4,0
2019-08-04,5,0,0
2019-08-11,9,0,0
2019-08-18,8,4,0
2019-08-25,7,0,0
2019-09-01,9,0,0
2019-09-08,0,0,0
2019-09-15,6,0,0
2019-09-22,6,0,0
2019-09-29,6,0,0
2019-10-06,7,0,6
2019-10-13,9,0,0
2019-10-20,9,0,0
2019-10-27,8,0,0
2019-11-03,15,3,0
2019-11-10,13,0,0
2019-11-17,9,0,0
2019-11-24,14,0,0
2019-12-01,12,4,0
2019-12-08,14,6,0
2019-12-15,16,5,0
2019-12-22,16,0,0
2019-12-29,20,5,0
2020-01-05,28,7,0
2020-01-12,41,13,0
2020-01-19,40,6,0
2020-01-26,32,6,0
2020-02-02,46,7,0
2020-02-09,44,9,0
2020-02-16,45,11,0
2020-02-23,40,12,6
2020-03-01,41,10,0
2020-03-08,63,11,0
2020-03-15,78,23,0
2020-03-22,56,15,0
2020-03-29,42,11,0
2020-04-05,39,9,0
2020-04-12,36,9,0
2020-04-19,34,7,0
2020-04-26,34,8,0
2020-05-03,33,7,0
2020-05-10,27,9,0
2020-05-17,24,4,0
2020-05-24,29,8,0
2020-05-31,30,8,3
2020-06-07,29,12,0
2020-06-14,32,10,0
2020-06-21,30,11,3
2020-06-28,26,7,0
2020-07-05,21,10,0
2020-07-12,18,4,0
2020-07-19,19,7,0
2020-07-26,17,6,0
2020-08-02,13,4,6
2020-08-09,15,4,0
2020-08-16,13,3,0
2020-08-23,11,0,0
2020-08-30,7,0,0
2020-09-06,7,3,0
2020-09-13,6,0,0
2020-09-20,12,0,0
2020-09-27,10,0,0
2020-10-04,7,0,0
2020-10-11,6,0,0
2020-10-18,6,3,0
2020-10-25,6,3,0
2020-11-01,9,0,0
2020-11-08,7,0,0
2020-11-15,5,0,0
2020-11-22,9,3,0
2020-11-29,9,0,0
2020-12-06,9,0,0
2020-12-13,12,6,0
2020-12-20,11,4,0
2020-12-27,17,8,0
2021-01-03,15,7,0
2021-01-10,18,6,0
2021-01-17,20,6,0
2021-01-24,19,7,0
2021-01-31,19,4,0
2021-02-07,20,6,0
2021-02-14,17,9,4
2021-02-21,20,9,0
2021-02-28,24,7,0
2021-03-07,26,7,0
2021-03-14,28,6,0
2021-03-21,27,10,0
2021-03-28,24,6,0
2021-04-04,28,8,0
2021-04-11,25,9,0
2021-04-18,21,6,4
2021-04-25,18,4,0
2021-05-02,18,6,0
2021-05-09,25,5,0
2021-05-16,22,4,0
2021-05-23,18,6,0
2021-05-30,20,3,0
2021-06-06,16,0,0
2021-06-13,16,4,0
2021-06-20,15,5,0
2021-06-27,3,0,0
2021-07-04,12,3,0
2021-07-11,14,4,0
2021-07-18,6,0,0
2021-07-25,9,3,0
2021-08-01,10,0,0
2021-08-08,11,3,0
2021-08-15,8,3,0
2021-08-22,9,0,0
2021-08-29,10,0,0
2021-09-05,7,0,0
2021-09-12,7,0,0
2021-09-19,9,0,0
2021-09-26,6,0,0
2021-10-03,3,0,0
2021-10-10,9,0,0
2021-10-17,10,0,0
2021-10-24,10,0,0
2021-10-31,8,4,0
2021-11-07,9,0,0
2021-11-14,12,5,0
2021-11-21,17,0,0
2021-11-28,19,5,0
2021-12-05,21,5,0
2021-12-12,33,10,0
2021-12-19,37,9,0
2021-12-26,41,13,0
2022-01-02,43,12,0
2022-01-09,36,10,0
2022-01-16,46,14,0
2022-01-23,54,14,0
2022-01-30,37,12,0
2022-02-06,33,9,0
2022-02-13,32,6,0
2022-02-20,30,7,3
2022-02-27,31,6,0
2022-03-06,30,5,0
2022-03-13,32,8,0
2022-03-20,34,8,0
2022-03-27,37,9,0
2022-04-03,41,10,0
2022-04-10,39,10,0
2022-04-17,44,11,2
2022-04-24,42,10,0
2022-05-01,38,8,0
2022-05-08,35,9,0
