Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2019-03-17,12,0,3
2019-03-24,15,5,0
2019-03-31,12,0,0
2019-04-07,15,0,0
2019-04-14,13,0,0
2019-04-21,18,4,0
2019-04-28,18,3,0
2019-05-05,9,4,0
2019-05-12,17,6,0
2019-05-19,15,4,0
2019-05-26,14,3,0
2019-06-02,14,5,0
2019-06-09,19,6,0
2019-06-16,10,0,0
2019-06-23,9,0,0
2019-06-30,9,0,0
2019-07-07,6,0,0
2019-07-14,4,0,0
2019-07-21,8,0,0
2019-07-28,5,0,0
2019-08-04,4,0,0
2019-08-11,5,0,5
2019-08-18,6,0,0
2019-08-25,6,0,0
2019-09-01,4,3,0
2019-09-08,0,0,0
2019-09-15,4,0,0
2019-09-22,8,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,5,0,0
2019-10-27,3,0,3
2019-11-03,3,3,0
2019-11-10,7,0,0
2019-11-17,3,0,0
2019-11-24,5,0,0
2019-12-01,0,0,0
2019-12-08,4,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,5,0,0
2020-01-12,6,0,0
2020-01-19,0,0,3
2020-01-26,9,0,0
2020-02-02,5,0,0
2020-02-09,7,0,0
2020-02-16,10,3,2
2020-02-23,7,5,0
2020-03-01,6,0,0
2020-03-08,12,2,0
2020-03-15,14,3,0
2020-03-22,14,3,0
2020-03-29,10,3,0
2020-04-05,10,0,0
2020-04-12,6,0,0
2020-04-19,10,0,0
2020-04-26,8,0,0
2020-05-03,10,3,0
2020-05-10,9,0,0
2020-05-17,10,4,0
2020-05-24,9,4,0
2020-05-31,11,3,0
2020-06-07,9,4,0
2020-06-14,8,3,0
2020-06-21,10,4,0
2020-06-28,7,3,0
2020-07-05,6,0,0
2020-07-12,5,0,0
2020-07-19,4,3,0
2020-07-26,3,0,0
2020-08-02,0,0,0
2020-08-09,0,0,0
2020-08-16,4,0,0
2020-08-23,3,0,0
2020-08-30,4,0,0
2020-09-06,0,0,0
2020-09-13,0,0,0
2020-09-20,0,0,0
2020-09-27,0,0,0
2020-10-04,3,0,0
2020-10-11,4,0,0
2020-10-18,3,0,0
2020-10-25,0,0,0
2020-11-01,0,3,0
2020-11-08,4,0,0
2020-11-15,0,2,0
2020-11-22,4,0,0
2020-11-29,3,0,0
2020-12-06,4,0,0
2020-12-13,2,0,0
2020-12-20,0,0,0
2020-12-27,3,0,0
2021-01-03,0,0,0
2021-01-10,3,0,0
2021-01-17,3,0,0
2021-01-24,0,0,0
2021-01-31,4,0,0
2021-02-07,3,0,0
2021-02-14,4,4,0
2021-02-21,4,0,0
2021-02-28,3,0,0
2021-03-07,7,2,0
