Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2019-03-17,21,5,7
2019-03-24,19,8,0
2019-03-31,25,8,0
2019-04-07,28,4,0
2019-04-14,19,5,0
2019-04-21,23,4,0
2019-04-28,30,12,0
2019-05-05,25,5,0
2019-05-12,38,10,0
2019-05-19,30,7,0
2019-05-26,34,7,0
2019-06-02,30,9,0
2019-06-09,31,10,0
2019-06-16,35,9,0
2019-06-23,28,6,0
2019-06-30,29,7,0
2019-07-07,30,8,0
2019-07-14,28,11,0
2019-07-21,28,8,0
2019-07-28,16,0,0
2019-08-04,21,0,0
2019-08-11,18,6,0
2019-08-18,19,5,0
2019-08-25,11,0,0
2019-09-01,8,0,0
2019-09-08,9,0,0
2019-09-15,15,0,0
2019-09-22,11,0,0
2019-09-29,7,0,0
2019-10-06,7,0,0
2019-10-13,8,0,0
2019-10-20,8,0,0
2019-10-27,6,5,0
2019-11-03,9,0,0
2019-11-10,8,0,0
2019-11-17,3,0,0
2019-11-24,6,0,0
2019-12-01,6,0,0
2019-12-08,5,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,4,0,0
2020-01-05,6,0,0
2020-01-12,7,0,0
2020-01-19,8,0,0
2020-01-26,6,0,0
2020-02-02,9,0,0
2020-02-09,7,0,0
2020-02-16,9,0,0
2020-02-23,16,5,0
2020-03-01,14,3,0
2020-03-08,22,7,0
2020-03-15,24,0,0
2020-03-22,25,4,0
2020-03-29,13,3,0
2020-04-05,18,4,0
2020-04-12,18,4,0
2020-04-19,14,0,0
2020-04-26,19,5,0
2020-05-03,13,4,0
2020-05-10,21,8,0
2020-05-17,20,8,0
2020-05-24,20,7,0
2020-05-31,17,6,0
2020-06-07,21,7,0
2020-06-14,19,8,0
2020-06-21,18,5,0
2020-06-28,15,4,0
2020-07-05,15,4,0
2020-07-12,14,3,0
2020-07-19,11,4,0
2020-07-26,11,0,0
2020-08-02,12,0,3
2020-08-09,7,7,0
2020-08-16,6,0,0
2020-08-23,5,0,0
2020-08-30,3,0,0
2020-09-06,7,0,0
2020-09-13,5,0,0
2020-09-20,3,0,0
2020-09-27,7,0,0
2020-10-04,4,0,0
2020-10-11,5,0,0
2020-10-18,4,0,0
2020-10-25,5,0,0
2020-11-01,0,0,0
2020-11-08,4,0,0
2020-11-15,4,0,0
2020-11-22,4,0,0
2020-11-29,7,4,0
2020-12-06,4,0,0
2020-12-13,6,4,0
2020-12-20,4,0,0
2020-12-27,5,0,0
2021-01-03,4,0,0
2021-01-10,3,0,0
2021-01-17,4,0,0
2021-01-24,10,0,0
2021-01-31,7,0,4
2021-02-07,3,0,0
2021-02-14,5,0,0
2021-02-21,3,0,0
2021-02-28,5,0,0
2021-03-07,9,3,0
2021-03-14,8,3,0
2021-03-21,5,0,0
2021-03-28,11,3,0
2021-04-04,8,0,0
2021-04-11,5,0,0
2021-04-18,10,0,0
2021-04-25,12,3,0
2021-05-02,7,0,0
2021-05-09,7,0,0
2021-05-16,8,0,0
2021-05-23,13,0,0
2021-05-30,9,4,3
2021-06-06,10,0,0
2021-06-13,11,0,0
2021-06-20,5,0,0
2021-06-27,7,0,0
2021-07-04,7,0,0
