Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia),tratamento dengue: (Rondônia)
2019-03-17,13,0,0
2019-03-24,13,0,0
2019-03-31,22,0,0
2019-04-07,12,0,0
2019-04-14,10,0,0
2019-04-21,8,9,0
2019-04-28,10,0,0
2019-05-05,0,0,9
2019-05-12,11,0,0
2019-05-19,0,0,0
2019-05-26,0,0,0
2019-06-02,0,0,0
2019-06-09,8,0,0
2019-06-16,9,0,0
2019-06-23,12,0,0
2019-06-30,0,0,0
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,0,0,0
2019-08-04,0,0,0
2019-08-11,0,0,0
2019-08-18,0,0,0
2019-08-25,0,0,0
2019-09-01,0,0,0
2019-09-08,0,0,0
2019-09-15,0,0,0
2019-09-22,0,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,0,0,0
2019-10-27,15,0,0
2019-11-03,10,0,0
2019-11-10,12,0,7
2019-11-17,0,0,0
2019-11-24,13,0,0
2019-12-01,10,8,0
2019-12-08,12,0,0
2019-12-15,17,0,0
2019-12-22,0,0,0
2019-12-29,10,9,0
2020-01-05,17,8,0
2020-01-12,15,12,0
2020-01-19,16,0,0
2020-01-26,13,8,0
2020-02-02,9,0,0
2020-02-09,23,6,0
2020-02-16,22,8,0
2020-02-23,23,6,0
2020-03-01,28,11,0
2020-03-08,38,6,0
2020-03-15,43,8,0
2020-03-22,41,13,0
2020-03-29,22,7,0
2020-04-05,23,5,0
2020-04-12,21,6,0
2020-04-19,17,8,0
2020-04-26,17,0,0
2020-05-03,24,6,0
2020-05-10,20,0,0
2020-05-17,26,8,0
2020-05-24,26,8,5
2020-05-31,17,7,0
2020-06-07,22,0,0
2020-06-14,18,6,0
2020-06-21,15,0,6
2020-06-28,15,0,0
2020-07-05,16,7,0
2020-07-12,0,0,0
2020-07-19,12,0,0
2020-07-26,13,0,0
2020-08-02,16,0,0
2020-08-09,7,0,0
2020-08-16,0,0,0
2020-08-23,10,0,0
2020-08-30,7,0,0
2020-09-06,10,0,0
2020-09-13,12,5,0
2020-09-20,8,0,0
2020-09-27,8,0,0
2020-10-04,13,0,0
2020-10-11,7,0,0
2020-10-18,0,0,0
2020-10-25,9,5,0
2020-11-01,11,0,0
2020-11-08,7,0,0
2020-11-15,9,0,0
2020-11-22,8,0,0
2020-11-29,8,0,0
2020-12-06,12,0,0
2020-12-13,10,0,0
2020-12-20,9,6,0
2020-12-27,16,7,0
2021-01-03,16,8,0
2021-01-10,16,13,0
2021-01-17,20,12,0
2021-01-24,21,8,0
2021-01-31,12,0,0
2021-02-07,18,0,0
2021-02-14,18,7,0
2021-02-21,25,11,0
2021-02-28,21,9,0
2021-03-07,33,8,0
2021-03-14,22,9,0
2021-03-21,28,0,0
2021-03-28,20,0,0
2021-04-04,21,0,0
2021-04-11,17,0,0
2021-04-18,16,6,0
2021-04-25,15,0,0
2021-05-02,13,0,0
2021-05-09,14,0,0
2021-05-16,17,0,0
2021-05-23,18,0,0
2021-05-30,7,0,0
2021-06-06,12,0,0
2021-06-13,7,0,0
2021-06-20,11,0,0
2021-06-27,0,0,0
2021-07-04,7,0,0
2021-07-11,7,0,0
2021-07-18,0,0,0
2021-07-25,0,0,0
2021-08-01,11,0,0
2021-08-08,0,0,0
2021-08-15,0,0,0
2021-08-22,0,0,0
2021-08-29,0,0,0
2021-09-05,0,0,0
2021-09-12,0,0,0
2021-09-19,0,0,0
2021-09-26,12,0,0
2021-10-03,0,0,0
2021-10-10,8,0,0
2021-10-17,7,0,0
2021-10-24,8,0,0
2021-10-31,0,0,0
2021-11-07,10,7,0
2021-11-14,0,0,0
2021-11-21,8,0,0
2021-11-28,16,0,0
2021-12-05,8,0,0
2021-12-12,11,0,0
2021-12-19,13,0,0
2021-12-26,15,0,0
2022-01-02,25,6,0
2022-01-09,22,7,0
2022-01-16,33,12,0
2022-01-23,26,8,0
2022-01-30,28,10,0
2022-02-06,30,0,5
2022-02-13,24,8,0
2022-02-20,27,6,0
2022-02-27,29,10,0
2022-03-06,30,5,0
2022-03-13,30,0,0
2022-03-20,38,6,0
2022-03-27,42,8,0
2022-04-03,34,8,0
2022-04-10,39,11,0
2022-04-17,30,7,0
2022-04-24,40,8,0
2022-05-01,30,7,0
2022-05-08,36,7,0
2022-05-15,34,11,0
2022-05-22,27,8,0
2022-05-29,27,5,0
2022-06-05,31,5,0
2022-06-12,30,8,0
2022-06-19,24,7,0
2022-06-26,24,10,0
2022-07-03,17,5,0
2022-07-10,19,6,0
2022-07-17,15,8,0
2022-07-24,17,6,0
2022-07-31,13,0,0
2022-08-07,11,7,0
2022-08-14,10,0,0
2022-08-21,13,0,0
2022-08-28,11,5,0
2022-09-04,6,0,0
2022-09-11,11,0,0
2022-09-18,10,0,0
2022-09-25,6,0,0
2022-10-02,8,4,0
2022-10-09,9,5,0
2022-10-16,12,0,0
2022-10-23,11,0,0
2022-10-30,19,0,0
2022-11-06,12,0,0
2022-11-13,25,7,0
2022-11-20,21,6,0
2022-11-27,31,10,0
2022-12-04,24,8,0
2022-12-11,34,11,0
2022-12-18,38,12,0
2022-12-25,42,14,0
2023-01-01,48,20,0
2023-01-08,53,16,0
2023-01-15,51,11,0
2023-01-22,46,15,0
2023-01-29,44,14,0
2023-02-05,44,14,0
2023-02-12,58,13,0
2023-02-19,46,10,0
2023-02-26,53,19,0
2023-03-05,52,15,0
2023-03-12,55,14,0
2023-03-19,46,11,0
2023-03-26,40,10,0
2023-04-02,40,13,0
2023-04-09,25,8,0
2023-04-16,28,8,0
2023-04-23,21,5,0
2023-04-30,24,6,0
2023-05-07,16,7,0
2023-05-14,19,4,0
2023-05-21,10,5,0
2023-05-28,19,4,0
2023-06-04,13,0,0
2023-06-11,12,0,0
2023-06-18,12,5,0
2023-06-25,13,0,0
2023-07-02,11,0,0
2023-07-09,9,0,0
2023-07-16,0,0,0
2023-07-23,6,0,0
2023-07-30,5,0,0
2023-08-06,6,0,0
2023-08-13,8,0,0
2023-08-20,5,0,0
2023-08-27,9,0,0
2023-09-03,0,0,0
2023-09-10,10,0,0
2023-09-17,0,0,0
2023-09-24,8,0,0
2023-10-01,5,0,0
2023-10-08,11,0,0
2023-10-15,6,0,0
2023-10-22,13,0,0
2023-10-29,6,0,0
2023-11-05,9,0,0
2023-11-12,5,0,0
2023-11-19,6,0,0
2023-11-26,16,0,0
2023-12-03,7,0,0
2023-12-10,11,0,0
2023-12-17,16,0,0
2023-12-24,14,0,0
2023-12-31,20,0,0
2024-01-07,28,0,0
2024-01-14,30,5,0
2024-01-21,34,8,0
2024-01-28,45,11,0
2024-02-04,75,18,0
2024-02-11,87,20,0
2024-02-18,100,13,0
2024-02-25,99,26,0
2024-03-03,78,19,1
2024-03-10,82,16,1
2024-03-17,66,14,1
