Categoria: Todas as categorias

Semana,dengue: (Santa Catarina),sintomas dengue: (Santa Catarina)
2022-02-27,6,2
2022-03-06,10,3
2022-03-13,16,5
2022-03-20,21,7
2022-03-27,25,8
2022-04-03,30,10
2022-04-10,34,13
2022-04-17,40,14
2022-04-24,46,14
2022-05-01,33,11
2022-05-08,37,13
2022-05-15,32,11
2022-05-22,30,11
2022-05-29,19,7
2022-06-05,15,6
2022-06-12,12,5
2022-06-19,11,5
2022-06-26,9,4
2022-07-03,8,3
2022-07-10,6,3
2022-07-17,5,2
2022-07-24,5,2
2022-07-31,4,1
2022-08-07,2,1
2022-08-14,3,1
2022-08-21,4,1
2022-08-28,3,1
2022-09-04,2,1
2022-09-11,3,1
2022-09-18,3,1
2022-09-25,2,1
2022-10-02,3,1
2022-10-09,2,1
2022-10-16,2,1
2022-10-23,4,1
2022-10-30,2,0
2022-11-06,4,1
2022-11-13,4,1
2022-11-20,3,1
2022-11-27,3,1
2022-12-04,4,2
2022-12-11,3,1
2022-12-18,3,1
2022-12-25,3,2
2023-01-01,4,2
2023-01-08,3,1
2023-01-15,3,1
2023-01-22,3,1
2023-01-29,4,1
2023-02-05,4,1
2023-02-12,4,1
2023-02-19,5,2
2023-02-26,8,3
2023-03-05,14,5
2023-03-12,26,10
2023-03-19,37,14
2023-03-26,56,18
2023-04-02,63,18
2023-04-09,58,18
2023-04-16,53,15
2023-04-23,66,18
2023-04-30,58,17
2023-05-07,50,16
2023-05-14,45,13
2023-05-21,39,12
2023-05-28,26,8
2023-06-04,22,7
2023-06-11,15,5
2023-06-18,14,4
2023-06-25,11,4
2023-07-02,12,3
2023-07-09,8,2
2023-07-16,6,2
2023-07-23,5,2
2023-07-30,5,1
2023-08-06,4,1
2023-08-13,4,1
2023-08-20,5,2
2023-08-27,4,1
2023-09-03,3,1
2023-09-10,4,1
2023-09-17,5,1
2023-09-24,5,2
2023-10-01,3,1
2023-10-08,3,<1
2023-10-15,3,1
2023-10-22,4,1
2023-10-29,4,1
2023-11-05,5,2
2023-11-12,4,1
2023-11-19,5,1
2023-11-26,5,2
2023-12-03,5,2
2023-12-10,6,2
2023-12-17,6,2
2023-12-24,6,2
2023-12-31,6,2
2024-01-07,8,3
2024-01-14,10,3
2024-01-21,14,4
2024-01-28,19,5
2024-02-04,35,9
2024-02-11,44,12
2024-02-18,85,20
2024-02-25,96,22
2024-03-03,87,21
2024-03-10,93,20
2024-03-17,89,21
2024-03-24,98,20
2024-03-31,100,20
2024-04-07,96,21
2024-04-14,91,16
2024-04-21,87,17
2024-04-28,74,15
2024-05-05,63,14
2024-05-12,53,10
2024-05-19,42,8
