Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte)
2019-05-19,29,5
2019-05-26,35,5
2019-06-02,28,8
2019-06-09,30,10
2019-06-16,35,0
2019-06-23,30,6
2019-06-30,29,8
2019-07-07,29,8
2019-07-14,30,7
2019-07-21,30,7
2019-07-28,18,0
2019-08-04,21,0
2019-08-11,18,0
2019-08-18,21,0
2019-08-25,13,0
2019-09-01,7,0
2019-09-08,10,0
2019-09-15,15,0
2019-09-22,10,0
2019-09-29,8,0
2019-10-06,7,4
2019-10-13,8,0
2019-10-20,8,0
2019-10-27,6,0
2019-11-03,9,0
2019-11-10,7,0
2019-11-17,0,0
2019-11-24,6,0
2019-12-01,0,0
2019-12-08,0,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,6,0
2020-01-05,7,0
2020-01-12,6,5
2020-01-19,8,0
2020-01-26,7,0
2020-02-02,9,0
2020-02-09,9,0
2020-02-16,10,0
2020-02-23,14,0
2020-03-01,16,4
2020-03-08,24,0
2020-03-15,25,4
2020-03-22,24,4
2020-03-29,16,0
2020-04-05,17,4
2020-04-12,16,4
2020-04-19,15,0
2020-04-26,17,5
2020-05-03,15,3
2020-05-10,20,8
2020-05-17,20,8
2020-05-24,21,7
2020-05-31,12,6
2020-06-07,17,6
2020-06-14,15,6
2020-06-21,19,4
2020-06-28,16,4
2020-07-05,15,6
2020-07-12,15,4
2020-07-19,12,0
2020-07-26,11,0
2020-08-02,6,0
2020-08-09,8,0
2020-08-16,7,0
2020-08-23,6,0
2020-08-30,5,0
2020-09-06,9,0
2020-09-13,6,0
2020-09-20,4,0
2020-09-27,0,0
2020-10-04,5,0
2020-10-11,4,0
2020-10-18,0,0
2020-10-25,5,0
2020-11-01,0,0
2020-11-08,5,0
2020-11-15,0,0
2020-11-22,5,0
2020-11-29,6,0
2020-12-06,5,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,5,0
2021-01-03,6,0
2021-01-10,5,0
2021-01-17,5,0
2021-01-24,0,0
2021-01-31,6,0
2021-02-07,5,0
2021-02-14,7,0
2021-02-21,5,0
2021-02-28,5,0
2021-03-07,10,0
2021-03-14,8,0
2021-03-21,7,0
2021-03-28,7,0
2021-04-04,8,0
2021-04-11,10,4
2021-04-18,11,0
2021-04-25,11,0
2021-05-02,9,0
2021-05-09,8,0
2021-05-16,10,0
2021-05-23,13,5
2021-05-30,9,0
2021-06-06,9,4
2021-06-13,12,3
2021-06-20,9,0
2021-06-27,9,0
2021-07-04,6,0
2021-07-11,9,0
2021-07-18,10,0
2021-07-25,7,0
2021-08-01,7,0
2021-08-08,7,0
2021-08-15,4,0
2021-08-22,5,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,5,0
2021-09-19,6,0
2021-09-26,0,0
2021-10-03,7,0
2021-10-10,0,0
2021-10-17,6,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,6,0
2021-11-14,5,0
2021-11-21,8,0
2021-11-28,6,0
2021-12-05,0,0
2021-12-12,5,0
2021-12-19,0,0
2021-12-26,0,0
2022-01-02,10,0
2022-01-09,8,0
2022-01-16,9,5
2022-01-23,5,0
2022-01-30,7,0
2022-02-06,6,0
2022-02-13,4,0
2022-02-20,11,0
2022-02-27,7,0
2022-03-06,12,0
2022-03-13,16,4
2022-03-20,22,7
2022-03-27,28,8
2022-04-03,34,9
2022-04-10,43,13
2022-04-17,64,21
2022-04-24,85,23
2022-05-01,78,21
2022-05-08,83,28
2022-05-15,99,33
2022-05-22,95,28
2022-05-29,97,28
2022-06-05,88,24
2022-06-12,86,31
2022-06-19,72,21
2022-06-26,68,22
2022-07-03,55,19
2022-07-10,50,14
2022-07-17,44,11
2022-07-24,39,10
2022-07-31,36,12
2022-08-07,23,8
2022-08-14,29,9
2022-08-21,22,5
2022-08-28,19,6
2022-09-04,15,4
2022-09-11,10,0
2022-09-18,12,4
2022-09-25,10,0
2022-10-02,7,0
2022-10-09,10,0
2022-10-16,9,0
2022-10-23,5,0
2022-10-30,7,0
2022-11-06,7,0
2022-11-13,5,0
2022-11-20,8,0
2022-11-27,6,0
2022-12-04,8,0
2022-12-11,4,0
2022-12-18,0,0
2022-12-25,6,0
2023-01-01,5,0
2023-01-08,5,0
2023-01-15,7,0
2023-01-22,7,0
2023-01-29,6,0
2023-02-05,5,0
2023-02-12,5,0
2023-02-19,6,0
2023-02-26,12,0
2023-03-05,10,0
2023-03-12,9,0
2023-03-19,13,4
2023-03-26,21,4
2023-04-02,16,6
2023-04-09,17,5
2023-04-16,22,8
2023-04-23,19,5
2023-04-30,16,6
2023-05-07,13,4
2023-05-14,14,3
2023-05-21,12,0
2023-05-28,9,0
2023-06-04,10,4
2023-06-11,7,0
2023-06-18,9,5
2023-06-25,11,0
2023-07-02,13,0
2023-07-09,8,0
2023-07-16,9,0
2023-07-23,8,0
2023-07-30,4,0
2023-08-06,6,0
2023-08-13,6,0
2023-08-20,7,0
2023-08-27,6,0
2023-09-03,6,0
2023-09-10,4,0
2023-09-17,5,0
2023-09-24,7,0
2023-10-01,5,0
2023-10-08,7,0
2023-10-15,6,0
2023-10-22,7,0
2023-10-29,0,0
2023-11-05,8,0
2023-11-12,5,0
2023-11-19,5,0
2023-11-26,5,0
2023-12-03,5,0
2023-12-10,8,0
2023-12-17,8,0
2023-12-24,5,0
2023-12-31,7,0
2024-01-07,7,0
2024-01-14,13,4
2024-01-21,15,0
2024-01-28,16,6
2024-02-04,32,7
2024-02-11,52,12
2024-02-18,80,17
2024-02-25,90,22
2024-03-03,100,21
2024-03-10,86,19
2024-03-17,90,18
2024-03-24,62,15
2024-03-31,70,14
2024-04-07,72,13
2024-04-14,61,15
2024-04-21,61,13
2024-04-28,44,9
2024-05-05,32,4
2024-05-12,27,5
2024-05-19,23,5
