Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará)
2019-05-19,20,4
2019-05-26,18,4
2019-06-02,16,3
2019-06-09,15,2
2019-06-16,14,0
2019-06-23,11,0
2019-06-30,11,0
2019-07-07,6,0
2019-07-14,8,3
2019-07-21,11,2
2019-07-28,9,0
2019-08-04,10,2
2019-08-11,8,0
2019-08-18,10,0
2019-08-25,8,0
2019-09-01,7,0
2019-09-08,10,0
2019-09-15,11,0
2019-09-22,7,2
2019-09-29,5,0
2019-10-06,8,0
2019-10-13,6,0
2019-10-20,7,0
2019-10-27,4,0
2019-11-03,8,0
2019-11-10,6,0
2019-11-17,7,0
2019-11-24,6,0
2019-12-01,5,0
2019-12-08,3,0
2019-12-15,3,0
2019-12-22,0,0
2019-12-29,5,0
2020-01-05,8,0
2020-01-12,9,0
2020-01-19,10,0
2020-01-26,9,0
2020-02-02,17,4
2020-02-09,23,4
2020-02-16,23,5
2020-02-23,27,8
2020-03-01,31,8
2020-03-08,39,8
2020-03-15,39,9
2020-03-22,33,7
2020-03-29,30,7
2020-04-05,28,7
2020-04-12,33,9
2020-04-19,38,10
2020-04-26,42,14
2020-05-03,48,19
2020-05-10,37,13
2020-05-17,33,7
2020-05-24,31,8
2020-05-31,25,6
2020-06-07,19,5
2020-06-14,22,5
2020-06-21,22,6
2020-06-28,21,6
2020-07-05,16,4
2020-07-12,14,3
2020-07-19,16,4
2020-07-26,10,2
2020-08-02,11,2
2020-08-09,12,2
2020-08-16,10,3
2020-08-23,10,2
2020-08-30,7,2
2020-09-06,7,0
2020-09-13,6,0
2020-09-20,8,0
2020-09-27,8,2
2020-10-04,7,0
2020-10-11,6,0
2020-10-18,6,0
2020-10-25,6,0
2020-11-01,5,0
2020-11-08,7,0
2020-11-15,6,0
2020-11-22,5,0
2020-11-29,5,0
2020-12-06,7,0
2020-12-13,8,0
2020-12-20,2,0
2020-12-27,7,0
2021-01-03,6,0
2021-01-10,6,2
2021-01-17,7,2
2021-01-24,5,3
2021-01-31,11,2
2021-02-07,13,3
2021-02-14,10,3
2021-02-21,13,3
2021-02-28,15,3
2021-03-07,20,5
2021-03-14,21,4
2021-03-21,23,5
2021-03-28,22,7
2021-04-04,26,6
2021-04-11,28,7
2021-04-18,29,8
2021-04-25,31,8
2021-05-02,29,8
2021-05-09,37,12
2021-05-16,46,12
2021-05-23,47,12
2021-05-30,44,12
2021-06-06,44,12
2021-06-13,43,11
2021-06-20,39,11
2021-06-27,34,8
2021-07-04,34,8
2021-07-11,27,8
2021-07-18,24,5
2021-07-25,21,5
2021-08-01,20,5
2021-08-08,19,5
2021-08-15,20,4
2021-08-22,15,3
2021-08-29,15,3
2021-09-05,11,0
2021-09-12,11,2
2021-09-19,14,4
2021-09-26,9,0
2021-10-03,12,2
2021-10-10,6,0
2021-10-17,7,2
2021-10-24,6,2
2021-10-31,5,0
2021-11-07,6,0
2021-11-14,8,0
2021-11-21,6,0
2021-11-28,7,0
2021-12-05,7,0
2021-12-12,8,2
2021-12-19,5,0
2021-12-26,8,0
2022-01-02,12,0
2022-01-09,15,5
2022-01-16,15,7
2022-01-23,13,3
2022-01-30,13,5
2022-02-06,16,3
2022-02-13,20,5
2022-02-20,20,3
2022-02-27,21,6
2022-03-06,26,6
2022-03-13,27,7
2022-03-20,32,8
2022-03-27,35,9
2022-04-03,36,10
2022-04-10,33,9
2022-04-17,48,15
2022-04-24,55,15
2022-05-01,57,16
2022-05-08,55,15
2022-05-15,56,17
2022-05-22,54,18
2022-05-29,59,17
2022-06-05,52,15
2022-06-12,55,18
2022-06-19,51,17
2022-06-26,47,15
2022-07-03,40,13
2022-07-10,34,9
2022-07-17,27,7
2022-07-24,25,8
2022-07-31,26,7
2022-08-07,20,6
2022-08-14,17,4
2022-08-21,16,3
2022-08-28,16,5
2022-09-04,13,3
2022-09-11,14,3
2022-09-18,11,2
2022-09-25,11,2
2022-10-02,9,2
2022-10-09,9,2
2022-10-16,9,2
2022-10-23,8,2
2022-10-30,8,2
2022-11-06,9,2
2022-11-13,7,2
2022-11-20,8,3
2022-11-27,7,3
2022-12-04,8,3
2022-12-11,7,2
2022-12-18,5,0
2022-12-25,7,3
2023-01-01,7,2
2023-01-08,5,2
2023-01-15,6,0
2023-01-22,8,3
2023-01-29,9,3
2023-02-05,11,3
2023-02-12,14,5
2023-02-19,17,4
2023-02-26,20,5
2023-03-05,22,8
2023-03-12,25,7
2023-03-19,31,8
2023-03-26,33,9
2023-04-02,26,10
2023-04-09,24,8
2023-04-16,23,8
2023-04-23,20,6
2023-04-30,20,5
2023-05-07,17,6
2023-05-14,19,5
2023-05-21,20,4
2023-05-28,15,5
2023-06-04,13,3
2023-06-11,16,4
2023-06-18,17,4
2023-06-25,13,2
2023-07-02,18,2
2023-07-09,11,2
2023-07-16,9,2
2023-07-23,10,3
2023-07-30,8,2
2023-08-06,6,2
2023-08-13,8,2
2023-08-20,9,2
2023-08-27,7,2
2023-09-03,5,0
2023-09-10,8,0
2023-09-17,7,0
2023-09-24,8,2
2023-10-01,9,2
2023-10-08,6,0
2023-10-15,7,0
2023-10-22,5,0
2023-10-29,6,0
2023-11-05,7,2
2023-11-12,9,0
2023-11-19,8,2
2023-11-26,8,0
2023-12-03,6,2
2023-12-10,8,2
2023-12-17,9,2
2023-12-24,7,0
2023-12-31,7,0
2024-01-07,9,3
2024-01-14,9,0
2024-01-21,14,3
2024-01-28,20,5
2024-02-04,29,6
2024-02-11,52,15
2024-02-18,84,19
2024-02-25,100,21
2024-03-03,100,22
2024-03-10,82,19
2024-03-17,77,19
2024-03-24,57,13
2024-03-31,74,19
2024-04-07,66,17
2024-04-14,60,17
2024-04-21,56,14
2024-04-28,43,9
2024-05-05,35,8
2024-05-12,31,6
2024-05-19,29,6
