Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2019-11-10,12,4
2019-11-17,11,3
2019-11-24,13,0
2019-12-01,13,4
2019-12-08,15,4
2019-12-15,18,4
2019-12-22,15,0
2019-12-29,23,7
2020-01-05,32,8
2020-01-12,42,12
2020-01-19,44,7
2020-01-26,39,11
2020-02-02,44,11
2020-02-09,46,11
2020-02-16,47,9
2020-02-23,43,11
2020-03-01,49,13
2020-03-08,68,16
2020-03-15,83,23
2020-03-22,64,16
2020-03-29,43,11
2020-04-05,41,9
2020-04-12,38,8
2020-04-19,37,6
2020-04-26,35,8
2020-05-03,35,9
2020-05-10,36,9
2020-05-17,26,6
2020-05-24,32,9
2020-05-31,31,8
2020-06-07,30,12
2020-06-14,35,12
2020-06-21,36,13
2020-06-28,30,11
2020-07-05,25,9
2020-07-12,18,5
2020-07-19,19,6
2020-07-26,16,5
2020-08-02,15,2
2020-08-09,13,4
2020-08-16,13,3
2020-08-23,10,0
2020-08-30,7,0
2020-09-06,7,0
2020-09-13,7,0
2020-09-20,11,3
2020-09-27,9,0
2020-10-04,7,2
2020-10-11,7,3
2020-10-18,7,0
2020-10-25,7,0
2020-11-01,10,0
2020-11-08,8,0
2020-11-15,5,0
2020-11-22,11,3
2020-11-29,11,0
2020-12-06,11,4
2020-12-13,13,5
2020-12-20,12,0
2020-12-27,16,6
2021-01-03,19,8
2021-01-10,20,8
2021-01-17,18,6
2021-01-24,18,7
2021-01-31,22,5
2021-02-07,22,7
2021-02-14,20,6
2021-02-21,24,8
2021-02-28,25,6
2021-03-07,29,9
2021-03-14,32,8
2021-03-21,31,10
2021-03-28,25,7
2021-04-04,28,9
2021-04-11,29,8
2021-04-18,26,5
2021-04-25,21,5
2021-05-02,19,5
2021-05-09,23,6
2021-05-16,25,4
2021-05-23,22,7
2021-05-30,24,6
2021-06-06,20,4
2021-06-13,16,5
2021-06-20,16,3
2021-06-27,11,0
2021-07-04,11,3
2021-07-11,12,3
2021-07-18,9,3
2021-07-25,8,2
2021-08-01,7,0
2021-08-08,11,4
2021-08-15,8,0
2021-08-22,9,4
2021-08-29,10,0
2021-09-05,8,0
2021-09-12,10,0
2021-09-19,9,0
2021-09-26,7,0
2021-10-03,8,0
2021-10-10,7,0
2021-10-17,9,0
2021-10-24,11,3
