Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba)
2019-11-10,6,0
2019-11-17,5,0
2019-11-24,6,0
2019-12-01,6,0
2019-12-08,5,0
2019-12-15,5,0
2019-12-22,3,0
2019-12-29,4,0
2020-01-05,3,0
2020-01-12,6,0
2020-01-19,7,0
2020-01-26,6,0
2020-02-02,9,2
2020-02-09,9,2
2020-02-16,7,0
2020-02-23,12,0
2020-03-01,13,4
2020-03-08,14,0
2020-03-15,21,3
2020-03-22,16,2
2020-03-29,13,3
2020-04-05,11,3
2020-04-12,12,2
2020-04-19,13,4
2020-04-26,16,5
2020-05-03,16,6
2020-05-10,22,7
2020-05-17,21,7
2020-05-24,25,8
2020-05-31,25,6
2020-06-07,21,6
2020-06-14,17,5
2020-06-21,21,5
2020-06-28,23,6
2020-07-05,22,5
2020-07-12,22,6
2020-07-19,21,6
2020-07-26,15,5
2020-08-02,13,3
2020-08-09,10,0
2020-08-16,12,3
2020-08-23,10,0
2020-08-30,7,0
2020-09-06,9,2
2020-09-13,8,0
2020-09-20,7,0
2020-09-27,9,2
2020-10-04,7,0
2020-10-11,5,0
2020-10-18,8,0
2020-10-25,8,2
2020-11-01,5,2
2020-11-08,5,0
2020-11-15,7,0
2020-11-22,5,0
2020-11-29,8,0
2020-12-06,6,0
2020-12-13,4,0
2020-12-20,5,0
2020-12-27,5,3
2021-01-03,4,0
2021-01-10,5,0
2021-01-17,3,0
2021-01-24,3,2
2021-01-31,5,0
2021-02-07,4,0
2021-02-14,5,0
2021-02-21,9,2
2021-02-28,5,2
2021-03-07,9,2
2021-03-14,9,2
2021-03-21,10,2
2021-03-28,8,2
2021-04-04,7,2
2021-04-11,9,0
2021-04-18,10,3
2021-04-25,10,3
2021-05-02,12,3
2021-05-09,18,5
2021-05-16,21,6
2021-05-23,19,6
2021-05-30,20,5
2021-06-06,20,4
2021-06-13,17,5
2021-06-20,17,4
2021-06-27,18,6
2021-07-04,18,4
2021-07-11,21,5
2021-07-18,19,4
2021-07-25,15,4
2021-08-01,13,2
2021-08-08,11,2
2021-08-15,15,3
2021-08-22,15,2
2021-08-29,10,3
2021-09-05,9,0
2021-09-12,8,3
2021-09-19,9,3
2021-09-26,8,0
2021-10-03,8,2
2021-10-10,7,0
2021-10-17,7,0
2021-10-24,8,0
2021-10-31,5,0
2021-11-07,7,0
2021-11-14,7,0
2021-11-21,6,0
2021-11-28,8,2
2021-12-05,8,3
2021-12-12,8,0
2021-12-19,5,3
2021-12-26,6,0
2022-01-02,7,3
2022-01-09,9,0
2022-01-16,7,4
2022-01-23,9,3
2022-01-30,11,0
2022-02-06,8,3
2022-02-13,10,3
2022-02-20,12,3
2022-02-27,12,3
2022-03-06,13,3
2022-03-13,15,3
2022-03-20,18,5
2022-03-27,21,6
2022-04-03,31,9
2022-04-10,32,8
2022-04-17,41,10
2022-04-24,52,14
2022-05-01,48,13
2022-05-08,59,16
2022-05-15,76,21
2022-05-22,67,18
2022-05-29,57,15
2022-06-05,66,17
2022-06-12,65,19
2022-06-19,60,20
2022-06-26,51,16
2022-07-03,48,15
2022-07-10,43,13
2022-07-17,36,11
2022-07-24,31,8
2022-07-31,27,7
2022-08-07,23,5
2022-08-14,21,5
2022-08-21,15,5
2022-08-28,13,4
2022-09-04,11,3
2022-09-11,12,3
2022-09-18,10,3
2022-09-25,8,0
2022-10-02,7,0
2022-10-09,7,2
2022-10-16,8,3
2022-10-23,6,2
2022-10-30,6,0
2022-11-06,8,2
2022-11-13,7,2
2022-11-20,7,2
2022-11-27,5,3
2022-12-04,6,2
2022-12-11,4,0
2022-12-18,5,0
2022-12-25,5,0
2023-01-01,4,0
2023-01-08,3,0
2023-01-15,4,0
2023-01-22,6,2
2023-01-29,5,0
2023-02-05,7,2
2023-02-12,7,2
2023-02-19,5,0
2023-02-26,7,0
2023-03-05,9,0
2023-03-12,11,3
2023-03-19,9,3
2023-03-26,17,3
2023-04-02,16,6
2023-04-09,18,5
2023-04-16,15,5
2023-04-23,14,5
2023-04-30,15,4
2023-05-07,14,5
2023-05-14,14,3
2023-05-21,11,2
2023-05-28,8,0
2023-06-04,11,3
