Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2019-06-02,10,0
2019-06-09,8,0
2019-06-16,10,0
2019-06-23,0,0
2019-06-30,0,0
2019-07-07,6,0
2019-07-14,7,0
2019-07-21,6,0
2019-07-28,8,0
2019-08-04,0,0
2019-08-11,0,0
2019-08-18,8,0
2019-08-25,8,0
2019-09-01,0,0
2019-09-08,7,0
2019-09-15,8,0
2019-09-22,0,0
2019-09-29,6,0
2019-10-06,7,0
2019-10-13,9,0
2019-10-20,7,0
2019-10-27,10,0
2019-11-03,13,0
2019-11-10,9,0
2019-11-17,10,0
2019-11-24,12,0
2019-12-01,11,0
2019-12-08,6,0
2019-12-15,8,0
2019-12-22,8,0
2019-12-29,14,0
2020-01-05,14,7
2020-01-12,8,0
2020-01-19,5,0
2020-01-26,13,6
2020-02-02,12,0
2020-02-09,16,0
2020-02-16,13,0
2020-02-23,13,0
2020-03-01,15,0
2020-03-08,16,0
2020-03-15,29,7
2020-03-22,22,0
2020-03-29,19,5
2020-04-05,28,10
2020-04-12,27,10
2020-04-19,19,9
2020-04-26,20,7
2020-05-03,10,0
2020-05-10,12,0
2020-05-17,8,0
2020-05-24,16,0
2020-05-31,14,0
2020-06-07,8,0
2020-06-14,11,0
2020-06-21,11,0
2020-06-28,5,0
2020-07-05,10,0
2020-07-12,9,0
2020-07-19,10,0
2020-07-26,8,0
2020-08-02,9,0
2020-08-09,7,0
2020-08-16,6,0
2020-08-23,6,0
2020-08-30,6,0
2020-09-06,9,0
2020-09-13,7,0
2020-09-20,6,0
2020-09-27,5,0
2020-10-04,7,0
2020-10-11,6,0
2020-10-18,10,0
2020-10-25,0,0
2020-11-01,7,0
2020-11-08,9,0
2020-11-15,9,0
2020-11-22,13,0
2020-11-29,9,0
2020-12-06,9,0
2020-12-13,13,0
2020-12-20,10,0
2020-12-27,19,7
2021-01-03,24,12
2021-01-10,18,8
2021-01-17,18,7
2021-01-24,20,5
2021-01-31,16,4
2021-02-07,15,0
2021-02-14,19,7
2021-02-21,21,5
2021-02-28,26,9
2021-03-07,14,9
2021-03-14,18,0
2021-03-21,24,6
2021-03-28,20,0
2021-04-04,18,0
2021-04-11,18,0
2021-04-18,26,6
2021-04-25,23,6
2021-05-02,20,0
2021-05-09,16,4
2021-05-16,20,0
2021-05-23,18,5
2021-05-30,11,0
2021-06-06,12,4
2021-06-13,16,4
2021-06-20,10,0
2021-06-27,11,0
2021-07-04,12,0
2021-07-11,16,0
2021-07-18,10,6
2021-07-25,7,0
2021-08-01,12,0
2021-08-08,9,0
2021-08-15,14,0
2021-08-22,10,0
2021-08-29,10,0
2021-09-05,10,0
2021-09-12,10,0
2021-09-19,9,0
2021-09-26,10,0
2021-10-03,7,0
2021-10-10,7,0
2021-10-17,7,0
2021-10-24,8,0
2021-10-31,0,0
2021-11-07,0,0
2021-11-14,7,0
2021-11-21,7,0
2021-11-28,6,0
2021-12-05,6,0
2021-12-12,10,0
2021-12-19,6,0
2021-12-26,0,0
2022-01-02,6,0
2022-01-09,8,0
2022-01-16,9,0
2022-01-23,9,0
2022-01-30,8,0
2022-02-06,6,0
2022-02-13,10,0
2022-02-20,14,3
2022-02-27,10,0
2022-03-06,11,0
2022-03-13,13,0
2022-03-20,15,4
2022-03-27,14,0
2022-04-03,15,0
2022-04-10,14,4
2022-04-17,16,0
2022-04-24,15,0
2022-05-01,18,4
2022-05-08,15,0
2022-05-15,17,5
2022-05-22,19,4
2022-05-29,17,5
2022-06-05,14,0
2022-06-12,17,0
2022-06-19,12,0
2022-06-26,9,0
2022-07-03,10,0
2022-07-10,7,0
2022-07-17,12,0
2022-07-24,12,0
2022-07-31,9,0
2022-08-07,9,0
2022-08-14,10,0
2022-08-21,9,0
2022-08-28,6,0
2022-09-04,5,0
2022-09-11,6,0
2022-09-18,8,5
2022-09-25,5,0
2022-10-02,6,0
2022-10-09,10,0
2022-10-16,11,0
2022-10-23,9,0
2022-10-30,6,0
2022-11-06,13,0
2022-11-13,7,0
2022-11-20,11,4
2022-11-27,11,0
2022-12-04,8,0
2022-12-11,7,0
2022-12-18,10,0
2022-12-25,9,0
2023-01-01,9,0
2023-01-08,8,0
2023-01-15,11,0
2023-01-22,8,0
2023-01-29,12,5
2023-02-05,13,4
2023-02-12,15,5
2023-02-19,17,0
2023-02-26,18,0
2023-03-05,17,3
2023-03-12,15,5
2023-03-19,17,5
2023-03-26,18,4
2023-04-02,12,5
2023-04-09,17,4
2023-04-16,16,3
2023-04-23,14,4
2023-04-30,14,5
2023-05-07,19,6
2023-05-14,19,5
2023-05-21,14,0
2023-05-28,12,5
2023-06-04,8,0
2023-06-11,9,0
2023-06-18,11,0
2023-06-25,11,0
2023-07-02,14,0
2023-07-09,11,0
2023-07-16,12,4
2023-07-23,9,0
2023-07-30,11,0
2023-08-06,7,0
2023-08-13,10,0
2023-08-20,7,0
2023-08-27,8,0
2023-09-03,0,0
2023-09-10,7,0
2023-09-17,9,0
2023-09-24,7,0
2023-10-01,6,0
2023-10-08,5,0
2023-10-15,6,0
2023-10-22,5,0
2023-10-29,7,0
2023-11-05,9,0
2023-11-12,10,0
2023-11-19,10,0
2023-11-26,9,0
2023-12-03,13,0
2023-12-10,18,0
2023-12-17,27,10
2023-12-24,54,16
2023-12-31,85,29
2024-01-07,82,23
2024-01-14,89,25
2024-01-21,88,24
2024-01-28,64,17
2024-02-04,73,23
2024-02-11,74,22
2024-02-18,100,22
2024-02-25,91,18
2024-03-03,80,17
2024-03-10,67,15
2024-03-17,61,14
2024-03-24,47,9
2024-03-31,47,10
2024-04-07,35,10
2024-04-14,49,7
2024-04-21,38,8
2024-04-28,28,4
2024-05-05,20,6
2024-05-12,19,0
2024-05-19,16,3
2024-05-26,16,3
2024-06-02,16,4
