Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2019-06-02,44,11
2019-06-09,31,7
2019-06-16,26,11
2019-06-23,35,13
2019-06-30,27,8
2019-07-07,31,8
2019-07-14,35,9
2019-07-21,34,6
2019-07-28,28,0
2019-08-04,27,7
2019-08-11,28,0
2019-08-18,25,5
2019-08-25,24,0
2019-09-01,25,9
2019-09-08,22,7
2019-09-15,17,5
2019-09-22,11,0
2019-09-29,10,0
2019-10-06,8,0
2019-10-13,12,0
2019-10-20,11,0
2019-10-27,10,0
2019-11-03,10,0
2019-11-10,8,0
2019-11-17,0,0
2019-11-24,8,0
2019-12-01,6,0
2019-12-08,6,0
2019-12-15,0,0
2019-12-22,7,0
2019-12-29,6,0
2020-01-05,6,5
2020-01-12,6,0
2020-01-19,5,6
2020-01-26,6,0
2020-02-02,6,5
2020-02-09,8,0
2020-02-16,14,0
2020-02-23,7,0
2020-03-01,7,0
2020-03-08,13,0
2020-03-15,17,0
2020-03-22,13,0
2020-03-29,14,0
2020-04-05,17,0
2020-04-12,16,6
2020-04-19,14,0
2020-04-26,22,7
2020-05-03,22,7
2020-05-10,25,10
2020-05-17,24,5
2020-05-24,25,9
2020-05-31,28,8
2020-06-07,20,0
2020-06-14,17,4
2020-06-21,14,0
2020-06-28,12,0
2020-07-05,15,0
2020-07-12,12,0
2020-07-19,12,0
2020-07-26,9,0
2020-08-02,12,0
2020-08-09,8,0
2020-08-16,9,0
2020-08-23,10,0
2020-08-30,7,0
2020-09-06,7,0
2020-09-13,6,0
2020-09-20,5,0
2020-09-27,5,0
2020-10-04,5,0
2020-10-11,7,0
2020-10-18,5,0
2020-10-25,5,0
2020-11-01,6,0
2020-11-08,0,0
2020-11-15,4,0
2020-11-22,7,0
2020-11-29,5,0
2020-12-06,6,0
2020-12-13,5,0
2020-12-20,0,0
2020-12-27,5,0
2021-01-03,5,0
2021-01-10,4,0
2021-01-17,7,0
2021-01-24,0,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,0,0
2021-02-21,0,0
2021-02-28,6,0
2021-03-07,7,0
2021-03-14,4,0
2021-03-21,5,0
2021-03-28,4,0
2021-04-04,5,0
2021-04-11,8,0
2021-04-18,6,0
2021-04-25,9,0
2021-05-02,9,0
2021-05-09,14,0
2021-05-16,13,0
2021-05-23,21,0
2021-05-30,23,0
2021-06-06,17,0
2021-06-13,20,7
2021-06-20,11,0
2021-06-27,16,0
2021-07-04,20,5
2021-07-11,21,4
2021-07-18,25,5
2021-07-25,19,6
2021-08-01,24,6
2021-08-08,19,5
2021-08-15,22,6
2021-08-22,16,0
2021-08-29,22,0
2021-09-05,10,0
2021-09-12,13,0
2021-09-19,15,0
2021-09-26,13,0
2021-10-03,11,0
2021-10-10,8,0
2021-10-17,12,0
2021-10-24,16,0
2021-10-31,9,0
2021-11-07,10,0
2021-11-14,12,0
2021-11-21,12,0
2021-11-28,6,0
2021-12-05,10,0
2021-12-12,9,0
2021-12-19,0,0
2021-12-26,10,0
2022-01-02,15,0
2022-01-09,7,0
2022-01-16,9,0
2022-01-23,7,0
2022-01-30,7,0
2022-02-06,7,0
2022-02-13,8,0
2022-02-20,9,0
2022-02-27,6,0
2022-03-06,7,0
2022-03-13,10,0
2022-03-20,13,3
2022-03-27,15,5
2022-04-03,21,5
2022-04-10,20,7
2022-04-17,28,8
2022-04-24,45,13
2022-05-01,48,14
2022-05-08,89,25
2022-05-15,95,30
2022-05-22,93,28
2022-05-29,97,24
2022-06-05,86,28
2022-06-12,83,27
2022-06-19,100,39
2022-06-26,86,35
2022-07-03,71,29
2022-07-10,64,19
2022-07-17,61,19
2022-07-24,44,15
2022-07-31,35,11
2022-08-07,31,9
2022-08-14,28,10
2022-08-21,23,5
2022-08-28,19,7
2022-09-04,13,0
2022-09-11,18,0
2022-09-18,14,4
2022-09-25,13,0
2022-10-02,7,0
2022-10-09,9,0
2022-10-16,12,4
2022-10-23,10,0
2022-10-30,8,0
2022-11-06,7,0
2022-11-13,8,0
2022-11-20,8,0
2022-11-27,9,6
2022-12-04,6,0
2022-12-11,8,0
2022-12-18,10,0
2022-12-25,9,0
2023-01-01,8,0
2023-01-08,7,0
2023-01-15,7,0
2023-01-22,4,0
2023-01-29,8,0
2023-02-05,0,0
2023-02-12,6,0
2023-02-19,7,0
2023-02-26,9,0
2023-03-05,8,0
2023-03-12,7,0
2023-03-19,14,0
2023-03-26,13,4
2023-04-02,15,0
2023-04-09,16,5
2023-04-16,9,0
2023-04-23,13,0
2023-04-30,14,5
2023-05-07,13,5
2023-05-14,15,0
2023-05-21,13,4
2023-05-28,17,4
2023-06-04,9,0
2023-06-11,14,0
2023-06-18,11,5
2023-06-25,9,0
2023-07-02,16,4
2023-07-09,10,0
2023-07-16,12,0
2023-07-23,9,0
2023-07-30,9,0
2023-08-06,9,0
2023-08-13,9,0
2023-08-20,0,0
2023-08-27,9,0
2023-09-03,7,0
2023-09-10,9,0
2023-09-17,9,0
2023-09-24,6,0
2023-10-01,8,0
2023-10-08,8,0
2023-10-15,7,0
2023-10-22,6,0
2023-10-29,7,0
2023-11-05,7,0
2023-11-12,6,0
2023-11-19,9,0
2023-11-26,7,0
2023-12-03,8,0
2023-12-10,9,0
2023-12-17,7,0
2023-12-24,0,0
2023-12-31,8,0
2024-01-07,7,0
2024-01-14,8,0
2024-01-21,12,0
2024-01-28,21,5
2024-02-04,23,5
2024-02-11,38,12
2024-02-18,92,21
2024-02-25,83,17
2024-03-03,86,21
2024-03-10,96,21
2024-03-17,90,16
2024-03-24,54,17
2024-03-31,61,12
2024-04-07,72,17
2024-04-14,67,14
2024-04-21,67,14
2024-04-28,54,16
2024-05-05,51,6
2024-05-12,53,14
2024-05-19,55,10
2024-05-26,44,10
2024-06-02,39,8
