Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins)
2019-06-02,12,0
2019-06-09,0,0
2019-06-16,8,0
2019-06-23,9,0
2019-06-30,0,0
2019-07-07,0,0
2019-07-14,0,0
2019-07-21,0,0
2019-07-28,0,0
2019-08-04,0,0
2019-08-11,0,0
2019-08-18,8,0
2019-08-25,0,0
2019-09-01,0,0
2019-09-08,8,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,0,0
2019-10-27,9,0
2019-11-03,9,0
2019-11-10,13,0
2019-11-17,8,0
2019-11-24,8,0
2019-12-01,0,0
2019-12-08,9,8
2019-12-15,9,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,0,0
2020-01-12,11,0
2020-01-19,0,0
2020-01-26,10,0
2020-02-02,7,0
2020-02-09,0,0
2020-02-16,13,0
2020-02-23,12,0
2020-03-01,10,0
2020-03-08,18,0
2020-03-15,19,0
2020-03-22,17,0
2020-03-29,8,0
2020-04-05,8,0
2020-04-12,10,0
2020-04-19,8,0
2020-04-26,15,0
2020-05-03,9,0
2020-05-10,6,0
2020-05-17,0,0
2020-05-24,8,0
2020-05-31,6,0
2020-06-07,6,0
2020-06-14,8,0
2020-06-21,6,0
2020-06-28,0,0
2020-07-05,7,0
2020-07-12,8,0
2020-07-19,0,0
2020-07-26,0,0
2020-08-02,7,0
2020-08-09,8,0
2020-08-16,0,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,8,0
2020-11-29,9,0
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,12,0
2020-12-27,0,10
2021-01-03,16,0
2021-01-10,7,7
2021-01-17,0,0
2021-01-24,0,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,8,0
2021-02-21,9,0
2021-02-28,11,0
2021-03-07,13,0
2021-03-14,7,0
2021-03-21,14,0
2021-03-28,8,0
2021-04-04,0,0
2021-04-11,0,0
2021-04-18,10,0
2021-04-25,8,0
2021-05-02,9,0
2021-05-09,21,0
2021-05-16,25,0
2021-05-23,29,0
2021-05-30,20,0
2021-06-06,24,7
2021-06-13,19,0
2021-06-20,11,0
2021-06-27,9,0
2021-07-04,9,0
2021-07-11,7,7
2021-07-18,10,0
2021-07-25,0,0
2021-08-01,13,0
2021-08-08,10,0
2021-08-15,8,0
2021-08-22,17,0
2021-08-29,7,0
2021-09-05,0,0
2021-09-12,8,0
2021-09-19,0,0
2021-09-26,11,0
2021-10-03,0,0
2021-10-10,11,0
2021-10-17,13,0
2021-10-24,7,0
2021-10-31,0,0
2021-11-07,9,0
2021-11-14,12,0
2021-11-21,23,0
2021-11-28,30,0
2021-12-05,27,0
2021-12-12,46,11
2021-12-19,50,13
2021-12-26,71,25
2022-01-02,100,28
2022-01-09,73,25
2022-01-16,69,24
2022-01-23,68,20
2022-01-30,53,11
2022-02-06,48,17
2022-02-13,40,9
2022-02-20,28,5
2022-02-27,28,5
2022-03-06,28,6
2022-03-13,42,8
2022-03-20,52,8
2022-03-27,45,8
2022-04-03,43,8
2022-04-10,32,9
2022-04-17,33,9
2022-04-24,32,7
2022-05-01,40,8
2022-05-08,41,7
2022-05-15,39,7
2022-05-22,31,7
2022-05-29,27,0
2022-06-05,29,8
2022-06-12,20,7
2022-06-19,19,5
2022-06-26,12,0
2022-07-03,9,0
2022-07-10,14,0
2022-07-17,9,0
2022-07-24,10,0
2022-07-31,0,0
2022-08-07,8,0
2022-08-14,7,0
2022-08-21,8,0
2022-08-28,7,0
2022-09-04,0,0
2022-09-11,9,0
2022-09-18,12,0
2022-09-25,7,0
2022-10-02,0,0
2022-10-09,5,0
2022-10-16,0,0
2022-10-23,6,0
2022-10-30,7,0
2022-11-06,10,0
2022-11-13,6,0
2022-11-20,11,0
2022-11-27,9,0
2022-12-04,10,0
2022-12-11,9,0
2022-12-18,9,6
