Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia)
2019-06-02,12,0
2019-06-09,0,15
2019-06-16,9,0
2019-06-23,10,0
2019-06-30,0,0
2019-07-07,0,0
2019-07-14,0,0
2019-07-21,0,0
2019-07-28,0,0
2019-08-04,0,0
2019-08-11,0,0
2019-08-18,0,0
2019-08-25,0,0
2019-09-01,0,0
2019-09-08,0,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,0,0
2019-10-27,9,0
2019-11-03,12,0
2019-11-10,12,0
2019-11-17,10,0
2019-11-24,12,0
2019-12-01,10,0
2019-12-08,0,0
2019-12-15,15,0
2019-12-22,14,0
2019-12-29,0,0
2020-01-05,14,0
2020-01-12,13,10
2020-01-19,12,0
2020-01-26,27,8
2020-02-02,14,0
2020-02-09,23,0
2020-02-16,18,0
2020-02-23,24,7
2020-03-01,27,0
2020-03-08,34,8
2020-03-15,37,12
2020-03-22,41,13
2020-03-29,22,0
2020-04-05,16,0
2020-04-12,15,0
2020-04-19,21,0
2020-04-26,19,6
2020-05-03,24,6
2020-05-10,16,0
2020-05-17,25,8
2020-05-24,23,0
2020-05-31,20,8
2020-06-07,20,0
2020-06-14,21,7
2020-06-21,12,0
2020-06-28,13,0
2020-07-05,16,0
2020-07-12,7,0
2020-07-19,11,0
2020-07-26,9,0
2020-08-02,12,0
2020-08-09,7,0
2020-08-16,17,0
2020-08-23,9,0
2020-08-30,6,0
2020-09-06,9,0
2020-09-13,6,0
2020-09-20,0,0
2020-09-27,11,0
2020-10-04,7,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,14,0
2020-11-01,0,0
2020-11-08,7,0
2020-11-15,9,0
2020-11-22,9,0
2020-11-29,0,0
2020-12-06,15,0
2020-12-13,10,0
2020-12-20,11,10
2020-12-27,14,0
2021-01-03,14,0
2021-01-10,15,0
2021-01-17,16,7
2021-01-24,21,9
2021-01-31,11,0
2021-02-07,17,0
2021-02-14,12,0
2021-02-21,23,7
2021-02-28,20,10
2021-03-07,26,6
2021-03-14,22,7
2021-03-21,21,0
2021-03-28,19,0
2021-04-04,17,0
2021-04-11,17,0
2021-04-18,16,0
2021-04-25,10,0
2021-05-02,17,0
2021-05-09,11,0
2021-05-16,14,0
2021-05-23,18,0
2021-05-30,9,0
2021-06-06,8,0
2021-06-13,14,0
2021-06-20,14,0
2021-06-27,0,0
2021-07-04,8,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,8,0
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,8,0
2021-09-26,12,0
2021-10-03,9,0
2021-10-10,0,0
2021-10-17,8,0
2021-10-24,9,0
2021-10-31,8,0
