Categoria: Todas as categorias

Semana,dengue: (Pernambuco),sintomas dengue: (Pernambuco)
2020-04-26,20,7
2020-05-03,21,7
2020-05-10,22,8
2020-05-17,22,7
2020-05-24,22,7
2020-05-31,20,5
2020-06-07,20,5
2020-06-14,19,5
2020-06-21,21,6
2020-06-28,15,3
2020-07-05,17,4
2020-07-12,16,5
2020-07-19,14,4
2020-07-26,12,3
2020-08-02,10,3
2020-08-09,10,3
2020-08-16,10,3
2020-08-23,7,2
2020-08-30,8,2
2020-09-06,7,0
2020-09-13,7,2
2020-09-20,7,2
2020-09-27,7,1
2020-10-04,7,1
2020-10-11,6,2
2020-10-18,6,2
2020-10-25,6,1
2020-11-01,6,1
2020-11-08,6,1
2020-11-15,4,0
2020-11-22,6,2
2020-11-29,7,2
2020-12-06,7,2
2020-12-13,7,2
2020-12-20,6,2
2020-12-27,5,2
2021-01-03,7,2
2021-01-10,6,2
2021-01-17,6,1
2021-01-24,6,1
2021-01-31,5,2
2021-02-07,7,2
2021-02-14,8,2
2021-02-21,7,2
2021-02-28,8,2
2021-03-07,10,3
2021-03-14,10,3
2021-03-21,16,4
2021-03-28,15,4
2021-04-04,14,5
2021-04-11,18,5
2021-04-18,21,6
2021-04-25,26,7
2021-05-02,27,9
2021-05-09,36,11
2021-05-16,44,15
2021-05-23,55,16
2021-05-30,54,16
2021-06-06,52,13
2021-06-13,44,12
2021-06-20,37,10
2021-06-27,36,10
2021-07-04,31,8
2021-07-11,26,7
2021-07-18,23,6
2021-07-25,21,6
2021-08-01,18,5
2021-08-08,15,4
2021-08-15,14,3
2021-08-22,13,3
2021-08-29,12,3
2021-09-05,9,3
2021-09-12,10,3
2021-09-19,10,2
2021-09-26,7,1
2021-10-03,7,2
2021-10-10,6,2
2021-10-17,8,2
2021-10-24,6,1
2021-10-31,7,2
2021-11-07,6,1
2021-11-14,5,0
2021-11-21,5,0
2021-11-28,6,0
2021-12-05,6,1
2021-12-12,5,1
2021-12-19,6,1
2021-12-26,5,2
2022-01-02,6,1
2022-01-09,6,2
2022-01-16,8,3
2022-01-23,9,2
2022-01-30,9,3
2022-02-06,10,2
2022-02-13,12,3
2022-02-20,13,3
2022-02-27,12,4
2022-03-06,13,3
2022-03-13,16,4
2022-03-20,15,4
2022-03-27,17,5
2022-04-03,17,4
2022-04-10,19,6
2022-04-17,26,7
2022-04-24,26,7
2022-05-01,24,7
2022-05-08,30,8
2022-05-15,26,7
2022-05-22,21,5
2022-05-29,21,6
2022-06-05,20,6
2022-06-12,22,7
