Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2020-04-26,19,8
2020-05-03,12,5
2020-05-10,12,4
2020-05-17,10,0
2020-05-24,15,0
2020-05-31,14,5
2020-06-07,11,3
2020-06-14,11,3
2020-06-21,9,0
2020-06-28,7,0
2020-07-05,10,0
2020-07-12,10,0
2020-07-19,8,0
2020-07-26,8,0
2020-08-02,9,0
2020-08-09,6,0
2020-08-16,6,0
2020-08-23,7,0
2020-08-30,6,0
2020-09-06,7,0
2020-09-13,7,0
2020-09-20,8,0
2020-09-27,6,0
2020-10-04,7,3
2020-10-11,7,0
2020-10-18,10,0
2020-10-25,8,0
2020-11-01,7,0
2020-11-08,11,0
2020-11-15,10,4
2020-11-22,13,0
2020-11-29,11,0
2020-12-06,11,0
2020-12-13,13,4
2020-12-20,13,5
2020-12-27,17,6
2021-01-03,24,11
2021-01-10,18,8
2021-01-17,22,7
2021-01-24,22,6
2021-01-31,15,4
2021-02-07,19,4
2021-02-14,23,7
2021-02-21,25,8
2021-02-28,25,8
2021-03-07,16,4
2021-03-14,19,6
2021-03-21,22,7
2021-03-28,21,6
2021-04-04,20,4
2021-04-11,20,4
2021-04-18,24,6
2021-04-25,21,7
2021-05-02,21,4
2021-05-09,19,6
2021-05-16,21,6
2021-05-23,21,5
2021-05-30,14,4
2021-06-06,14,4
2021-06-13,15,0
2021-06-20,13,5
2021-06-27,12,3
2021-07-04,12,3
2021-07-11,14,0
2021-07-18,11,3
2021-07-25,11,3
2021-08-01,12,0
2021-08-08,12,0
2021-08-15,14,0
2021-08-22,9,0
2021-08-29,8,0
2021-09-05,7,0
2021-09-12,10,0
2021-09-19,9,0
2021-09-26,11,0
2021-10-03,6,0
2021-10-10,6,0
2021-10-17,10,0
2021-10-24,6,0
2021-10-31,7,4
2021-11-07,6,0
2021-11-14,7,0
2021-11-21,9,0
2021-11-28,7,0
2021-12-05,7,0
2021-12-12,10,0
2021-12-19,7,0
2021-12-26,5,0
2022-01-02,8,0
