Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins)
2020-04-26,12,0
2020-05-03,5,0
2020-05-10,7,0
2020-05-17,8,0
2020-05-24,7,0
2020-05-31,6,0
2020-06-07,5,0
2020-06-14,7,0
2020-06-21,7,0
2020-06-28,5,0
2020-07-05,5,0
2020-07-12,6,0
2020-07-19,5,0
2020-07-26,5,0
2020-08-02,7,0
2020-08-09,7,0
2020-08-16,4,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,6,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,4,0
2020-10-18,5,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,6,0
2020-11-15,4,0
2020-11-22,0,0
2020-11-29,6,0
2020-12-06,0,0
2020-12-13,5,0
2020-12-20,7,0
2020-12-27,0,0
2021-01-03,8,0
2021-01-10,5,5
2021-01-17,0,0
2021-01-24,6,0
2021-01-31,6,0
2021-02-07,7,0
2021-02-14,5,0
2021-02-21,9,0
2021-02-28,11,0
2021-03-07,13,4
2021-03-14,8,0
2021-03-21,10,0
2021-03-28,10,4
2021-04-04,6,0
2021-04-11,7,0
2021-04-18,8,0
2021-04-25,10,5
2021-05-02,11,0
2021-05-09,20,0
2021-05-16,25,5
2021-05-23,30,6
2021-05-30,25,7
2021-06-06,21,4
2021-06-13,16,0
2021-06-20,9,0
2021-06-27,9,0
2021-07-04,9,0
2021-07-11,7,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,8,4
2021-08-08,12,0
2021-08-15,10,0
2021-08-22,14,0
2021-08-29,9,0
2021-09-05,11,0
2021-09-12,7,0
2021-09-19,5,0
2021-09-26,10,0
2021-10-03,7,0
2021-10-10,9,0
2021-10-17,11,0
2021-10-24,7,0
2021-10-31,8,0
2021-11-07,10,5
2021-11-14,15,0
2021-11-21,28,4
2021-11-28,31,8
2021-12-05,39,10
2021-12-12,45,13
2021-12-19,56,14
2021-12-26,69,24
2022-01-02,100,31
2022-01-09,80,24
2022-01-16,76,23
2022-01-23,65,18
2022-01-30,51,14
2022-02-06,50,15
2022-02-13,41,11
