Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia)
2020-05-03,22,6
2020-05-10,19,0
2020-05-17,24,7
2020-05-24,24,8
2020-05-31,18,7
2020-06-07,19,0
2020-06-14,18,7
2020-06-21,14,0
2020-06-28,15,0
2020-07-05,16,5
2020-07-12,14,0
2020-07-19,11,0
2020-07-26,10,0
2020-08-02,11,0
2020-08-09,8,0
2020-08-16,7,0
2020-08-23,8,0
2020-08-30,6,0
2020-09-06,9,0
2020-09-13,8,0
2020-09-20,8,0
2020-09-27,8,0
2020-10-04,9,0
2020-10-11,9,0
2020-10-18,6,0
2020-10-25,7,0
2020-11-01,8,0
2020-11-08,7,0
2020-11-15,10,0
2020-11-22,11,0
2020-11-29,12,0
2020-12-06,6,0
2020-12-13,8,0
2020-12-20,12,6
2020-12-27,12,9
2021-01-03,15,5
2021-01-10,16,0
2021-01-17,16,7
2021-01-24,19,7
2021-01-31,13,5
2021-02-07,19,6
2021-02-14,15,0
2021-02-21,25,13
2021-02-28,20,9
2021-03-07,24,7
2021-03-14,24,7
2021-03-21,25,7
2021-03-28,18,0
2021-04-04,21,5
2021-04-11,15,0
2021-04-18,14,0
2021-04-25,11,0
2021-05-02,14,0
2021-05-09,10,5
2021-05-16,13,0
2021-05-23,15,0
2021-05-30,11,0
2021-06-06,10,0
2021-06-13,13,0
2021-06-20,11,0
2021-06-27,6,0
2021-07-04,0,0
2021-07-11,5,0
2021-07-18,0,0
2021-07-25,4,0
2021-08-01,8,0
2021-08-08,6,0
2021-08-15,4,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,6,0
2021-09-12,0,0
2021-09-19,5,0
2021-09-26,5,0
2021-10-03,6,0
2021-10-10,8,0
2021-10-17,7,0
2021-10-24,10,0
2021-10-31,7,0
2021-11-07,9,0
2021-11-14,8,0
2021-11-21,13,0
2021-11-28,10,0
2021-12-05,10,0
2021-12-12,12,0
2021-12-19,11,0
2021-12-26,13,0
2022-01-02,26,10
2022-01-09,27,11
2022-01-16,32,9
2022-01-23,27,9
2022-01-30,30,9
2022-02-06,30,9
2022-02-13,23,10
2022-02-20,28,6
2022-02-27,27,9
2022-03-06,28,7
2022-03-13,32,4
2022-03-20,38,7
2022-03-27,44,8
2022-04-03,37,9
2022-04-10,41,9
2022-04-17,33,8
2022-04-24,39,9
2022-05-01,33,8
2022-05-08,38,10
2022-05-15,33,12
2022-05-22,32,7
2022-05-29,28,6
2022-06-05,29,7
2022-06-12,28,7
2022-06-19,26,7
2022-06-26,26,8
2022-07-03,19,6
2022-07-10,18,6
2022-07-17,16,8
2022-07-24,15,7
2022-07-31,10,4
2022-08-07,13,4
2022-08-14,15,0
2022-08-21,10,4
2022-08-28,12,0
2022-09-04,8,0
2022-09-11,10,4
2022-09-18,8,0
2022-09-25,9,0
2022-10-02,8,0
2022-10-09,11,0
2022-10-16,13,4
2022-10-23,12,0
2022-10-30,15,0
2022-11-06,14,0
2022-11-13,21,7
2022-11-20,22,6
2022-11-27,25,7
2022-12-04,24,8
2022-12-11,36,11
2022-12-18,38,13
2022-12-25,43,13
2023-01-01,45,13
2023-01-08,48,12
2023-01-15,52,15
2023-01-22,46,16
2023-01-29,43,13
2023-02-05,42,11
2023-02-12,55,14
2023-02-19,45,13
2023-02-26,51,16
2023-03-05,51,14
2023-03-12,52,13
2023-03-19,46,12
2023-03-26,45,11
2023-04-02,38,11
2023-04-09,30,10
2023-04-16,32,7
2023-04-23,23,5
2023-04-30,22,5
2023-05-07,21,6
2023-05-14,22,6
2023-05-21,17,6
2023-05-28,18,6
2023-06-04,12,0
2023-06-11,14,3
2023-06-18,11,0
2023-06-25,9,0
2023-07-02,12,0
2023-07-09,6,0
2023-07-16,7,0
2023-07-23,6,0
2023-07-30,4,0
2023-08-06,7,0
2023-08-13,7,0
2023-08-20,7,0
2023-08-27,9,0
2023-09-03,0,0
2023-09-10,7,0
2023-09-17,7,0
2023-09-24,9,0
2023-10-01,6,0
2023-10-08,7,0
2023-10-15,8,0
2023-10-22,14,4
2023-10-29,7,0
2023-11-05,8,0
2023-11-12,7,0
2023-11-19,8,0
2023-11-26,10,0
2023-12-03,11,0
2023-12-10,11,0
2023-12-17,17,0
2023-12-24,19,0
2023-12-31,21,6
2024-01-07,24,4
2024-01-14,26,10
2024-01-21,31,8
2024-01-28,46,10
2024-02-04,69,18
2024-02-11,89,19
2024-02-18,95,17
2024-02-25,100,22
2024-03-03,82,14
2024-03-10,86,17
2024-03-17,72,11
2024-03-24,51,7
2024-03-31,56,11
2024-04-07,47,12
2024-04-14,44,10
2024-04-21,42,7
2024-04-28,38,7
2024-05-05,26,0
2024-05-12,15,0
2024-05-19,16,5
2024-05-26,15,0
2024-06-02,20,0
2024-06-09,5,0
2024-06-16,13,5
2024-06-23,11,5
2024-06-30,13,0
2024-07-07,11,0
2024-07-14,6,0
2024-07-21,0,0
2024-07-28,9,0
2024-08-04,6,0
2024-08-11,8,0
2024-08-18,8,0
2024-08-25,10,0
2024-09-01,5,0
2024-09-08,9,0
2024-09-15,6,0
2024-09-22,10,0
