Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte)
2020-05-03,13,4
2020-05-10,20,7
2020-05-17,20,7
2020-05-24,21,7
2020-05-31,21,5
2020-06-07,20,7
2020-06-14,17,6
2020-06-21,18,5
2020-06-28,16,5
2020-07-05,16,4
2020-07-12,15,3
2020-07-19,12,3
2020-07-26,11,0
2020-08-02,11,3
2020-08-09,8,3
2020-08-16,5,0
2020-08-23,6,2
2020-08-30,7,0
2020-09-06,6,0
2020-09-13,5,0
2020-09-20,3,0
2020-09-27,4,0
2020-10-04,4,0
2020-10-11,4,0
2020-10-18,6,0
2020-10-25,3,0
2020-11-01,4,0
2020-11-08,5,0
2020-11-15,5,0
2020-11-22,5,0
2020-11-29,6,3
2020-12-06,6,0
2020-12-13,6,0
2020-12-20,5,0
2020-12-27,4,0
2021-01-03,3,0
2021-01-10,4,0
2021-01-17,4,0
2021-01-24,3,0
2021-01-31,7,0
2021-02-07,5,0
2021-02-14,6,0
2021-02-21,7,0
2021-02-28,6,0
2021-03-07,6,2
2021-03-14,8,0
2021-03-21,10,0
2021-03-28,8,3
2021-04-04,7,0
2021-04-11,8,2
2021-04-18,12,3
2021-04-25,10,3
2021-05-02,9,3
2021-05-09,10,0
2021-05-16,11,3
2021-05-23,13,4
2021-05-30,11,4
2021-06-06,10,2
2021-06-13,10,0
2021-06-20,7,0
2021-06-27,8,0
2021-07-04,7,0
2021-07-11,7,0
2021-07-18,7,0
2021-07-25,6,0
2021-08-01,7,0
2021-08-08,7,0
2021-08-15,4,0
2021-08-22,7,0
2021-08-29,4,0
2021-09-05,4,0
2021-09-12,5,0
2021-09-19,4,0
2021-09-26,5,0
2021-10-03,5,0
2021-10-10,3,3
2021-10-17,5,0
2021-10-24,5,0
2021-10-31,3,0
2021-11-07,6,0
2021-11-14,5,0
2021-11-21,0,0
2021-11-28,4,0
2021-12-05,5,0
2021-12-12,4,0
2021-12-19,4,3
2021-12-26,4,0
2022-01-02,8,3
2022-01-09,7,3
2022-01-16,8,4
2022-01-23,6,2
2022-01-30,6,0
2022-02-06,6,0
2022-02-13,5,2
2022-02-20,9,2
2022-02-27,7,2
2022-03-06,13,0
2022-03-13,16,4
2022-03-20,22,6
2022-03-27,27,9
2022-04-03,32,9
2022-04-10,40,12
2022-04-17,63,23
2022-04-24,85,25
2022-05-01,77,22
2022-05-08,80,27
2022-05-15,100,31
2022-05-22,98,28
2022-05-29,93,30
2022-06-05,86,27
2022-06-12,86,30
2022-06-19,73,24
2022-06-26,63,21
2022-07-03,58,20
2022-07-10,48,15
2022-07-17,41,12
2022-07-24,40,12
2022-07-31,33,10
2022-08-07,28,8
2022-08-14,28,6
2022-08-21,20,7
2022-08-28,17,4
2022-09-04,14,4
2022-09-11,11,2
2022-09-18,14,4
2022-09-25,8,3
2022-10-02,8,0
2022-10-09,7,0
2022-10-16,7,0
2022-10-23,4,0
2022-10-30,7,2
2022-11-06,8,2
2022-11-13,7,0
2022-11-20,7,2
2022-11-27,7,0
2022-12-04,7,0
2022-12-11,5,0
2022-12-18,3,0
2022-12-25,5,0
2023-01-01,5,0
2023-01-08,5,2
2023-01-15,6,0
2023-01-22,6,0
2023-01-29,6,0
2023-02-05,5,0
2023-02-12,6,0
2023-02-19,6,0
2023-02-26,9,0
2023-03-05,11,3
2023-03-12,10,2
2023-03-19,13,4
2023-03-26,20,4
2023-04-02,19,6
2023-04-09,16,5
2023-04-16,21,7
2023-04-23,20,6
2023-04-30,15,4
2023-05-07,13,4
2023-05-14,12,3
2023-05-21,12,4
2023-05-28,10,2
2023-06-04,9,0
2023-06-11,9,2
2023-06-18,11,3
2023-06-25,10,3
2023-07-02,11,0
2023-07-09,10,2
2023-07-16,10,0
2023-07-23,6,2
2023-07-30,6,0
2023-08-06,8,0
2023-08-13,6,0
2023-08-20,6,0
2023-08-27,6,0
2023-09-03,8,0
2023-09-10,5,0
2023-09-17,5,0
2023-09-24,6,0
2023-10-01,6,2
2023-10-08,6,0
2023-10-15,7,2
2023-10-22,5,0
2023-10-29,3,0
2023-11-05,8,2
2023-11-12,6,0
2023-11-19,5,0
2023-11-26,7,0
2023-12-03,4,0
2023-12-10,6,2
2023-12-17,9,0
2023-12-24,6,0
2023-12-31,8,0
2024-01-07,9,2
2024-01-14,12,4
2024-01-21,15,2
2024-01-28,20,5
2024-02-04,32,9
2024-02-11,53,15
2024-02-18,86,21
2024-02-25,89,20
2024-03-03,98,22
2024-03-10,87,18
2024-03-17,91,18
2024-03-24,61,15
2024-03-31,72,15
2024-04-07,68,12
2024-04-14,66,14
2024-04-21,63,15
2024-04-28,44,10
2024-05-05,31,7
2024-05-12,28,6
2024-05-19,26,5
2024-05-26,20,4
2024-06-02,18,0
2024-06-09,20,3
2024-06-16,16,4
2024-06-23,13,3
2024-06-30,13,0
2024-07-07,12,0
2024-07-14,14,0
2024-07-21,13,4
2024-07-28,10,4
2024-08-04,8,0
2024-08-11,9,3
2024-08-18,9,0
2024-08-25,7,3
2024-09-01,8,0
2024-09-08,8,0
2024-09-15,6,0
2024-09-22,7,0
2024-09-29,6,0
2024-10-06,5,0
2024-10-13,8,0
2024-10-20,7,0
2024-10-27,5,0
2024-11-03,6,0
2024-11-10,5,0
2024-11-17,7,0
2024-11-24,7,0
2024-12-01,3,0
2024-12-08,6,0
2024-12-15,7,0
2024-12-22,6,0
2024-12-29,6,0
2025-01-05,8,0
2025-01-12,5,0
2025-01-19,9,0
2025-01-26,12,0
2025-02-02,10,0
2025-02-09,10,0
2025-02-16,13,0
2025-02-23,8,0
2025-03-02,10,0
2025-03-09,15,3
