Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2020-02-02,12,4
2020-02-09,17,4
2020-02-16,17,0
2020-02-23,15,4
2020-03-01,18,3
2020-03-08,18,4
2020-03-15,28,7
2020-03-22,26,5
2020-03-29,22,6
2020-04-05,28,11
2020-04-12,29,12
2020-04-19,26,10
2020-04-26,20,8
2020-05-03,12,4
2020-05-10,12,6
2020-05-17,9,0
2020-05-24,15,0
2020-05-31,14,3
2020-06-07,11,0
2020-06-14,9,0
2020-06-21,10,0
2020-06-28,7,0
2020-07-05,10,0
2020-07-12,11,0
2020-07-19,10,0
2020-07-26,11,0
2020-08-02,8,0
2020-08-09,7,0
2020-08-16,4,0
2020-08-23,7,0
2020-08-30,4,0
2020-09-06,7,0
2020-09-13,6,0
2020-09-20,6,0
2020-09-27,8,0
2020-10-04,8,0
2020-10-11,8,0
2020-10-18,10,3
2020-10-25,9,0
2020-11-01,6,0
2020-11-08,9,0
2020-11-15,9,0
2020-11-22,12,0
2020-11-29,10,0
2020-12-06,12,0
2020-12-13,10,4
2020-12-20,14,4
2020-12-27,17,10
2021-01-03,24,10
2021-01-10,18,7
2021-01-17,22,7
2021-01-24,23,6
2021-01-31,17,6
2021-02-07,18,4
2021-02-14,22,7
2021-02-21,24,7
2021-02-28,24,9
2021-03-07,18,7
2021-03-14,19,4
2021-03-21,27,8
2021-03-28,22,6
2021-04-04,20,5
2021-04-11,18,4
2021-04-18,24,7
2021-04-25,21,5
2021-05-02,21,5
2021-05-09,18,5
2021-05-16,22,7
2021-05-23,19,6
2021-05-30,14,0
2021-06-06,15,4
2021-06-13,15,0
2021-06-20,14,6
2021-06-27,11,3
2021-07-04,13,3
2021-07-11,13,0
2021-07-18,12,0
2021-07-25,12,0
2021-08-01,12,3
2021-08-08,12,3
2021-08-15,13,0
2021-08-22,10,0
2021-08-29,9,0
2021-09-05,8,0
2021-09-12,10,0
2021-09-19,9,0
2021-09-26,12,0
2021-10-03,5,0
2021-10-10,6,0
2021-10-17,10,0
2021-10-24,5,0
2021-10-31,5,0
2021-11-07,7,0
2021-11-14,9,0
2021-11-21,8,0
2021-11-28,6,0
2021-12-05,5,0
2021-12-12,8,0
2021-12-19,9,0
2021-12-26,5,4
2022-01-02,7,0
2022-01-09,10,0
2022-01-16,11,5
2022-01-23,11,0
2022-01-30,8,0
2022-02-06,7,0
2022-02-13,11,0
2022-02-20,13,2
2022-02-27,11,4
2022-03-06,11,0
2022-03-13,15,0
2022-03-20,18,5
2022-03-27,17,3
2022-04-03,17,2
2022-04-10,16,3
2022-04-17,15,4
2022-04-24,15,2
2022-05-01,18,3
2022-05-08,15,5
2022-05-15,20,4
2022-05-22,17,3
2022-05-29,19,6
2022-06-05,18,7
2022-06-12,17,3
2022-06-19,13,3
2022-06-26,8,0
2022-07-03,10,0
2022-07-10,7,0
2022-07-17,12,3
2022-07-24,13,3
2022-07-31,10,0
2022-08-07,10,3
2022-08-14,10,0
2022-08-21,8,0
2022-08-28,7,0
2022-09-04,8,0
2022-09-11,11,0
2022-09-18,9,3
2022-09-25,8,0
2022-10-02,6,0
2022-10-09,7,0
2022-10-16,12,3
2022-10-23,10,0
2022-10-30,7,0
2022-11-06,13,2
2022-11-13,11,0
2022-11-20,11,0
2022-11-27,13,0
2022-12-04,9,0
2022-12-11,12,0
2022-12-18,10,0
2022-12-25,13,5
2023-01-01,9,4
2023-01-08,10,0
2023-01-15,10,0
2023-01-22,10,0
2023-01-29,13,5
2023-02-05,12,0
2023-02-12,17,5
2023-02-19,17,4
2023-02-26,19,5
2023-03-05,17,3
2023-03-12,18,5
2023-03-19,19,5
2023-03-26,19,5
2023-04-02,13,4
2023-04-09,17,4
2023-04-16,15,3
2023-04-23,16,5
2023-04-30,11,4
2023-05-07,17,5
2023-05-14,18,5
2023-05-21,15,4
2023-05-28,13,3
2023-06-04,10,0
2023-06-11,11,3
2023-06-18,12,0
2023-06-25,12,4
2023-07-02,14,0
2023-07-09,12,0
2023-07-16,9,3
2023-07-23,9,0
2023-07-30,8,0
2023-08-06,8,4
2023-08-13,11,3
2023-08-20,8,0
2023-08-27,8,0
2023-09-03,6,0
2023-09-10,9,0
2023-09-17,11,4
2023-09-24,9,0
2023-10-01,7,0
2023-10-08,5,0
2023-10-15,7,0
2023-10-22,5,0
2023-10-29,5,0
2023-11-05,10,0
2023-11-12,11,0
2023-11-19,9,0
2023-11-26,11,0
2023-12-03,13,0
2023-12-10,20,7
2023-12-17,29,9
2023-12-24,54,16
2023-12-31,91,32
2024-01-07,86,25
2024-01-14,88,28
2024-01-21,91,24
2024-01-28,70,17
2024-02-04,80,23
2024-02-11,82,23
2024-02-18,100,23
2024-02-25,97,21
2024-03-03,83,16
2024-03-10,71,14
2024-03-17,62,16
2024-03-24,46,9
2024-03-31,48,13
2024-04-07,42,11
2024-04-14,49,10
2024-04-21,41,9
2024-04-28,28,7
2024-05-05,22,5
2024-05-12,17,3
2024-05-19,20,4
2024-05-26,18,0
2024-06-02,19,3
2024-06-09,21,4
2024-06-16,17,5
2024-06-23,14,4
2024-06-30,11,0
2024-07-07,11,0
2024-07-14,12,0
2024-07-21,11,0
2024-07-28,11,0
2024-08-04,9,0
2024-08-11,9,0
2024-08-18,8,0
2024-08-25,8,0
2024-09-01,7,0
2024-09-08,12,3
2024-09-15,9,0
2024-09-22,8,0
2024-09-29,8,4
2024-10-06,7,0
2024-10-13,7,0
2024-10-20,7,0
2024-10-27,9,0
2024-11-03,11,0
2024-11-10,12,0
2024-11-17,13,0
2024-11-24,12,0
2024-12-01,10,0
2024-12-08,8,0
2024-12-15,7,0
