Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2020-01-05,4,0
2020-01-12,5,3
2020-01-19,5,0
2020-01-26,6,0
2020-02-02,8,0
2020-02-09,7,0
2020-02-16,13,3
2020-02-23,8,0
2020-03-01,6,0
2020-03-08,14,4
2020-03-15,19,0
2020-03-22,16,4
2020-03-29,16,0
2020-04-05,16,3
2020-04-12,16,4
2020-04-19,13,5
2020-04-26,23,8
2020-05-03,25,8
2020-05-10,26,9
2020-05-17,24,7
2020-05-24,28,9
2020-05-31,28,7
2020-06-07,21,4
2020-06-14,15,5
2020-06-21,15,3
2020-06-28,13,3
2020-07-05,16,3
2020-07-12,14,4
2020-07-19,13,0
2020-07-26,9,0
2020-08-02,13,0
2020-08-09,11,0
2020-08-16,10,0
2020-08-23,11,0
2020-08-30,7,0
2020-09-06,7,0
2020-09-13,6,0
2020-09-20,7,0
2020-09-27,5,0
2020-10-04,5,0
2020-10-11,5,0
2020-10-18,5,0
2020-10-25,5,0
2020-11-01,6,0
2020-11-08,7,0
2020-11-15,5,0
2020-11-22,8,0
2020-11-29,5,0
2020-12-06,5,0
2020-12-13,5,0
2020-12-20,4,0
2020-12-27,5,0
2021-01-03,6,0
2021-01-10,3,0
2021-01-17,5,0
2021-01-24,4,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,3,4
2021-02-21,4,0
2021-02-28,4,4
2021-03-07,6,0
2021-03-14,6,0
2021-03-21,6,0
2021-03-28,7,0
2021-04-04,9,0
2021-04-11,8,3
2021-04-18,7,0
2021-04-25,9,0
2021-05-02,9,0
2021-05-09,14,3
2021-05-16,15,4
2021-05-23,19,3
2021-05-30,20,3
2021-06-06,16,3
2021-06-13,18,5
2021-06-20,14,3
2021-06-27,14,0
2021-07-04,22,5
2021-07-11,22,6
2021-07-18,21,3
2021-07-25,22,7
2021-08-01,24,6
2021-08-08,19,5
2021-08-15,23,7
2021-08-22,21,5
2021-08-29,22,5
2021-09-05,16,5
2021-09-12,13,0
2021-09-19,14,4
2021-09-26,13,4
2021-10-03,12,4
2021-10-10,9,0
2021-10-17,15,4
2021-10-24,12,5
2021-10-31,10,0
2021-11-07,12,0
2021-11-14,10,0
2021-11-21,11,0
2021-11-28,7,0
2021-12-05,11,0
2021-12-12,8,4
2021-12-19,7,0
2021-12-26,7,0
2022-01-02,11,0
2022-01-09,9,4
2022-01-16,11,4
2022-01-23,7,0
2022-01-30,8,0
2022-02-06,6,0
2022-02-13,8,2
2022-02-20,8,2
2022-02-27,6,0
2022-03-06,7,0
2022-03-13,10,0
2022-03-20,13,3
2022-03-27,19,5
2022-04-03,21,4
2022-04-10,20,6
2022-04-17,28,9
2022-04-24,50,15
2022-05-01,56,17
2022-05-08,80,24
2022-05-15,96,32
2022-05-22,98,29
2022-05-29,98,29
2022-06-05,89,27
2022-06-12,84,30
2022-06-19,98,37
2022-06-26,91,37
2022-07-03,74,28
2022-07-10,66,19
2022-07-17,60,20
2022-07-24,47,15
2022-07-31,34,10
2022-08-07,34,10
2022-08-14,31,10
2022-08-21,22,5
2022-08-28,18,6
2022-09-04,12,3
2022-09-11,16,4
2022-09-18,16,4
2022-09-25,12,3
2022-10-02,9,0
2022-10-09,8,0
2022-10-16,11,3
2022-10-23,10,3
2022-10-30,8,0
2022-11-06,8,2
2022-11-13,10,0
2022-11-20,8,3
2022-11-27,9,4
2022-12-04,3,0
2022-12-11,7,0
2022-12-18,8,0
2022-12-25,8,3
2023-01-01,8,0
2023-01-08,4,0
2023-01-15,7,0
2023-01-22,5,0
2023-01-29,4,0
2023-02-05,6,0
2023-02-12,9,4
2023-02-19,8,0
2023-02-26,10,3
2023-03-05,10,0
2023-03-12,8,0
2023-03-19,13,4
2023-03-26,17,5
2023-04-02,13,4
2023-04-09,14,4
2023-04-16,11,3
2023-04-23,13,5
2023-04-30,13,3
2023-05-07,12,4
2023-05-14,15,2
2023-05-21,16,3
2023-05-28,18,5
2023-06-04,11,4
2023-06-11,13,5
2023-06-18,9,4
2023-06-25,9,0
2023-07-02,17,4
2023-07-09,15,0
2023-07-16,13,4
2023-07-23,9,3
2023-07-30,8,5
2023-08-06,8,0
2023-08-13,8,0
2023-08-20,7,0
2023-08-27,9,0
2023-09-03,11,0
2023-09-10,10,3
2023-09-17,8,0
2023-09-24,8,0
2023-10-01,9,3
2023-10-08,7,0
2023-10-15,8,3
2023-10-22,6,0
2023-10-29,7,0
2023-11-05,6,0
2023-11-12,7,0
2023-11-19,7,0
2023-11-26,8,0
2023-12-03,8,3
2023-12-10,7,0
2023-12-17,7,0
2023-12-24,5,0
2023-12-31,8,0
2024-01-07,7,3
2024-01-14,6,0
2024-01-21,11,0
2024-01-28,22,4
2024-02-04,27,6
2024-02-11,42,13
2024-02-18,85,21
2024-02-25,95,19
2024-03-03,90,23
2024-03-10,98,24
2024-03-17,100,20
2024-03-24,59,20
2024-03-31,70,15
2024-04-07,73,18
2024-04-14,65,15
2024-04-21,69,16
2024-04-28,59,15
2024-05-05,54,14
2024-05-12,56,14
2024-05-19,51,13
2024-05-26,39,10
2024-06-02,44,9
2024-06-09,65,17
2024-06-16,51,14
2024-06-23,55,13
2024-06-30,43,11
2024-07-07,37,6
2024-07-14,35,7
2024-07-21,38,10
2024-07-28,26,5
2024-08-04,27,0
2024-08-11,22,9
2024-08-18,21,7
2024-08-25,15,0
2024-09-01,18,5
2024-09-08,17,0
2024-09-15,12,0
2024-09-22,13,4
2024-09-29,8,0
2024-10-06,11,4
2024-10-13,12,0
2024-10-20,13,0
2024-10-27,11,0
2024-11-03,12,0
