Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins),tratamento dengue: (Tocantins)
2019-04-28,25,0,0
2019-05-05,27,0,0
2019-05-12,24,0,0
2019-05-19,24,0,0
2019-05-26,11,0,0
2019-06-02,11,0,0
2019-06-09,8,0,0
2019-06-16,0,0,0
2019-06-23,10,0,0
2019-06-30,10,0,0
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,0,0,0
2019-08-04,0,0,0
2019-08-11,0,0,0
2019-08-18,0,0,0
2019-08-25,0,0,0
2019-09-01,0,0,0
2019-09-08,8,0,0
2019-09-15,0,0,0
2019-09-22,0,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,7,0,0
2019-10-27,9,0,0
2019-11-03,0,0,0
2019-11-10,13,0,0
2019-11-17,9,0,0
2019-11-24,8,0,0
2019-12-01,8,0,0
2019-12-08,10,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,9,0,0
2020-01-19,0,0,0
2020-01-26,0,0,0
2020-02-02,7,0,0
2020-02-09,0,0,0
2020-02-16,11,0,0
2020-02-23,14,0,0
2020-03-01,7,0,0
2020-03-08,14,0,0
2020-03-15,21,0,0
2020-03-22,15,11,0
2020-03-29,10,0,0
2020-04-05,9,0,0
2020-04-12,7,0,0
2020-04-19,6,0,0
2020-04-26,11,7,0
2020-05-03,8,0,0
2020-05-10,10,0,0
2020-05-17,0,0,0
2020-05-24,8,0,0
2020-05-31,7,0,0
2020-06-07,0,0,0
2020-06-14,0,0,0
2020-06-21,0,0,0
2020-06-28,0,0,0
2020-07-05,9,0,0
2020-07-12,10,0,0
2020-07-19,0,0,0
2020-07-26,0,0,0
2020-08-02,0,0,0
2020-08-09,0,0,0
2020-08-16,0,0,0
2020-08-23,0,0,0
2020-08-30,6,0,0
2020-09-06,0,0,0
2020-09-13,6,0,0
2020-09-20,0,0,0
2020-09-27,0,0,0
2020-10-04,0,0,0
2020-10-11,0,0,0
2020-10-18,0,0,0
2020-10-25,0,0,0
2020-11-01,0,0,0
2020-11-08,0,0,0
2020-11-15,0,0,0
2020-11-22,0,0,0
2020-11-29,6,0,0
2020-12-06,0,0,0
2020-12-13,7,0,0
2020-12-20,0,0,0
2020-12-27,8,0,0
2021-01-03,7,0,0
2021-01-10,0,0,0
2021-01-17,0,8,0
2021-01-24,9,0,0
2021-01-31,0,0,0
2021-02-07,0,0,0
2021-02-14,6,0,0
2021-02-21,8,0,0
2021-02-28,10,0,0
2021-03-07,13,0,0
2021-03-14,6,0,0
2021-03-21,10,0,0
2021-03-28,9,0,0
2021-04-04,0,0,0
2021-04-11,6,0,0
2021-04-18,7,0,0
2021-04-25,7,0,0
2021-05-02,10,0,0
2021-05-09,18,0,0
2021-05-16,23,0,0
2021-05-23,27,7,0
2021-05-30,22,6,0
2021-06-06,23,0,0
2021-06-13,16,0,0
2021-06-20,7,0,0
2021-06-27,0,0,0
2021-07-04,0,0,0
2021-07-11,6,0,0
2021-07-18,0,0,0
2021-07-25,7,0,0
2021-08-01,6,0,0
2021-08-08,11,0,0
2021-08-15,7,0,0
2021-08-22,14,0,0
2021-08-29,9,0,0
2021-09-05,8,0,0
2021-09-12,8,0,0
2021-09-19,9,0,0
2021-09-26,10,0,0
2021-10-03,7,0,0
2021-10-10,11,0,0
2021-10-17,11,0,0
2021-10-24,11,0,0
2021-10-31,0,0,0
2021-11-07,11,0,0
2021-11-14,11,0,0
2021-11-21,23,0,0
2021-11-28,30,9,0
2021-12-05,31,0,0
2021-12-12,46,11,0
2021-12-19,49,14,0
2021-12-26,70,21,0
2022-01-02,100,35,0
2022-01-09,73,23,0
2022-01-16,70,23,0
2022-01-23,60,20,0
2022-01-30,50,12,0
2022-02-06,44,5,0
2022-02-13,37,8,0
2022-02-20,27,5,0
2022-02-27,26,6,0
2022-03-06,29,7,0
2022-03-13,40,7,0
2022-03-20,50,9,0
2022-03-27,43,0,0
2022-04-03,40,9,0
2022-04-10,29,8,0
2022-04-17,30,8,0
2022-04-24,33,7,0
2022-05-01,39,8,0
2022-05-08,40,8,0
2022-05-15,34,8,0
2022-05-22,30,7,0
2022-05-29,27,6,0
2022-06-05,25,8,0
2022-06-12,19,0,0
2022-06-19,21,0,0
2022-06-26,10,7,0
2022-07-03,8,5,0
2022-07-10,12,0,0
2022-07-17,9,0,0
2022-07-24,7,0,0
2022-07-31,6,0,0
2022-08-07,9,0,0
2022-08-14,5,0,0
2022-08-21,11,0,0
2022-08-28,5,0,0
2022-09-04,0,0,0
2022-09-11,7,0,0
2022-09-18,8,0,0
2022-09-25,7,0,0
2022-10-02,0,0,0
2022-10-09,0,0,0
2022-10-16,5,0,0
2022-10-23,9,0,0
2022-10-30,8,0,0
2022-11-06,8,0,0
2022-11-13,0,0,0
2022-11-20,11,0,0
2022-11-27,9,0,0
2022-12-04,9,0,0
2022-12-11,9,0,0
2022-12-18,10,0,0
2022-12-25,8,0,0
2023-01-01,15,0,0
2023-01-08,9,0,0
2023-01-15,12,0,0
2023-01-22,16,6,0
2023-01-29,10,0,0
2023-02-05,10,0,0
2023-02-12,12,0,0
2023-02-19,18,0,0
2023-02-26,14,0,0
2023-03-05,17,5,0
2023-03-12,19,4,0
2023-03-19,27,5,0
2023-03-26,23,6,0
2023-04-02,21,0,0
2023-04-09,26,6,0
2023-04-16,17,4,0
2023-04-23,23,7,0
2023-04-30,23,5,0
2023-05-07,20,4,0
2023-05-14,22,0,0
2023-05-21,19,5,0
2023-05-28,16,0,0
2023-06-04,12,0,0
2023-06-11,11,0,0
2023-06-18,10,0,0
2023-06-25,9,0,0
2023-07-02,10,0,0
2023-07-09,0,0,0
2023-07-16,10,0,0
2023-07-23,0,0,0
2023-07-30,0,0,0
2023-08-06,0,0,0
2023-08-13,7,0,0
2023-08-20,5,0,0
2023-08-27,5,0,0
2023-09-03,7,0,0
2023-09-10,5,0,0
2023-09-17,0,0,0
2023-09-24,0,0,0
2023-10-01,6,0,0
2023-10-08,6,0,0
2023-10-15,0,0,0
2023-10-22,0,0,0
2023-10-29,5,0,0
2023-11-05,5,0,0
2023-11-12,8,0,0
2023-11-19,6,0,0
2023-11-26,0,0,0
2023-12-03,7,0,0
2023-12-10,8,0,0
2023-12-17,0,0,0
2023-12-24,0,0,0
2023-12-31,12,0,0
2024-01-07,11,0,0
2024-01-14,6,0,0
2024-01-21,14,0,0
2024-01-28,21,0,0
2024-02-04,33,7,0
2024-02-11,44,9,0
2024-02-18,54,12,0
2024-02-25,57,8,0
2024-03-03,53,10,0
2024-03-10,41,7,0
2024-03-17,45,0,0
2024-03-24,31,6,0
2024-03-31,41,9,0
2024-04-07,43,9,0
2024-04-14,43,6,<1
2024-04-21,36,7,<1
2024-04-28,38,6,0
