Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará),tratamento dengue: (Pará)
2019-04-28,18,7,0
2019-05-05,16,4,0
2019-05-12,15,4,0
2019-05-19,11,0,0
2019-05-26,14,0,0
2019-06-02,12,0,0
2019-06-09,10,0,0
2019-06-16,8,0,0
2019-06-23,8,0,0
2019-06-30,8,0,0
2019-07-07,9,0,0
2019-07-14,6,0,0
2019-07-21,5,0,0
2019-07-28,7,0,0
2019-08-04,7,0,0
2019-08-11,8,0,0
2019-08-18,9,0,0
2019-08-25,7,0,0
2019-09-01,6,0,0
2019-09-08,7,0,0
2019-09-15,10,0,0
2019-09-22,7,0,0
2019-09-29,7,0,0
2019-10-06,6,0,0
2019-10-13,5,0,0
2019-10-20,8,0,0
2019-10-27,5,0,0
2019-11-03,12,0,0
2019-11-10,7,0,0
2019-11-17,8,0,0
2019-11-24,7,3,0
2019-12-01,9,0,0
2019-12-08,9,0,0
2019-12-15,7,0,0
2019-12-22,6,0,0
2019-12-29,4,0,0
2020-01-05,9,6,0
2020-01-12,11,3,0
2020-01-19,13,0,0
2020-01-26,13,0,0
2020-02-02,18,6,0
2020-02-09,17,5,0
2020-02-16,21,7,0
2020-02-23,18,8,0
2020-03-01,20,6,0
2020-03-08,28,6,0
2020-03-15,30,9,0
2020-03-22,29,6,0
2020-03-29,17,5,0
2020-04-05,19,5,0
2020-04-12,22,8,0
2020-04-19,23,9,0
2020-04-26,20,6,0
2020-05-03,13,3,0
2020-05-10,18,6,0
2020-05-17,11,3,0
2020-05-24,15,4,0
2020-05-31,13,4,0
2020-06-07,10,4,0
2020-06-14,8,0,0
2020-06-21,8,0,0
2020-06-28,6,0,0
2020-07-05,6,0,0
2020-07-12,7,0,0
2020-07-19,3,0,0
2020-07-26,5,0,0
2020-08-02,4,0,0
2020-08-09,0,0,0
2020-08-16,4,0,0
2020-08-23,0,0,0
2020-08-30,6,0,0
2020-09-06,5,0,0
2020-09-13,4,0,0
2020-09-20,6,0,0
2020-09-27,5,0,0
2020-10-04,3,0,0
2020-10-11,4,0,0
2020-10-18,6,0,0
2020-10-25,6,0,0
2020-11-01,4,0,0
2020-11-08,6,0,0
2020-11-15,5,0,0
2020-11-22,7,0,0
2020-11-29,5,0,0
2020-12-06,7,0,0
2020-12-13,5,0,0
2020-12-20,3,0,0
2020-12-27,5,0,0
2021-01-03,6,0,0
2021-01-10,6,3,0
2021-01-17,10,3,0
2021-01-24,9,3,0
2021-01-31,10,3,0
2021-02-07,13,4,0
2021-02-14,11,0,0
2021-02-21,9,3,0
2021-02-28,13,4,0
2021-03-07,12,4,0
2021-03-14,16,6,0
2021-03-21,10,4,0
2021-03-28,9,0,0
2021-04-04,10,0,0
2021-04-11,10,3,3
2021-04-18,10,0,0
2021-04-25,9,0,0
2021-05-02,6,0,0
2021-05-09,6,3,0
2021-05-16,11,3,0
2021-05-23,10,0,0
2021-05-30,13,0,0
2021-06-06,7,0,0
2021-06-13,5,0,0
2021-06-20,7,0,0
2021-06-27,5,0,0
2021-07-04,5,0,0
2021-07-11,4,0,0
2021-07-18,5,0,0
2021-07-25,3,0,0
2021-08-01,4,0,0
2021-08-08,6,0,0
2021-08-15,7,0,0
2021-08-22,9,0,0
2021-08-29,5,3,0
2021-09-05,6,0,0
2021-09-12,3,0,0
2021-09-19,4,0,0
2021-09-26,6,3,0
2021-10-03,5,0,0
2021-10-10,3,0,0
2021-10-17,5,0,0
2021-10-24,5,0,0
2021-10-31,4,0,0
2021-11-07,7,0,0
2021-11-14,8,0,0
2021-11-21,7,0,0
2021-11-28,10,0,0
2021-12-05,11,3,0
2021-12-12,10,0,0
2021-12-19,10,4,0
2021-12-26,11,0,0
2022-01-02,15,0,0
2022-01-09,14,7,0
2022-01-16,16,7,0
2022-01-23,18,5,0
2022-01-30,13,4,0
2022-02-06,10,3,0
2022-02-13,10,0,0
2022-02-20,12,4,0
2022-02-27,10,3,0
2022-03-06,12,2,0
2022-03-13,17,2,0
2022-03-20,11,3,0
2022-03-27,14,3,0
2022-04-03,13,0,0
2022-04-10,12,2,0
2022-04-17,14,4,0
2022-04-24,17,6,0
2022-05-01,18,5,0
2022-05-08,17,3,0
2022-05-15,14,3,0
2022-05-22,14,2,0
2022-05-29,12,2,0
2022-06-05,9,0,0
2022-06-12,8,2,0
2022-06-19,8,2,0
2022-06-26,9,2,0
2022-07-03,7,3,0
2022-07-10,6,3,0
2022-07-17,7,3,0
2022-07-24,5,0,0
2022-07-31,4,0,0
2022-08-07,5,2,0
2022-08-14,9,0,0
2022-08-21,6,0,0
2022-08-28,7,0,0
2022-09-04,5,2,0
2022-09-11,5,0,0
2022-09-18,7,2,0
2022-09-25,6,0,0
2022-10-02,7,2,0
2022-10-09,5,0,0
2022-10-16,9,0,0
2022-10-23,7,0,0
2022-10-30,6,3,0
2022-11-06,9,0,0
2022-11-13,8,0,0
2022-11-20,8,0,0
2022-11-27,7,0,0
2022-12-04,9,2,0
2022-12-11,11,3,0
2022-12-18,7,0,0
2022-12-25,9,4,0
2023-01-01,8,3,0
2023-01-08,8,2,0
2023-01-15,7,2,0
2023-01-22,10,0,0
2023-01-29,11,2,0
2023-02-05,13,4,0
2023-02-12,12,4,0
2023-02-19,12,4,0
2023-02-26,15,4,0
2023-03-05,16,5,0
2023-03-12,24,6,0
2023-03-19,21,6,0
2023-03-26,26,6,0
2023-04-02,19,7,0
2023-04-09,17,6,0
2023-04-16,19,6,0
2023-04-23,16,4,0
2023-04-30,15,5,0
2023-05-07,12,3,0
2023-05-14,16,5,0
2023-05-21,16,4,0
2023-05-28,13,4,0
2023-06-04,12,3,0
2023-06-11,13,3,0
2023-06-18,10,2,0
2023-06-25,12,3,0
2023-07-02,10,2,0
2023-07-09,10,0,0
2023-07-16,5,0,0
2023-07-23,4,0,0
2023-07-30,6,0,0
2023-08-06,5,0,0
2023-08-13,6,0,0
2023-08-20,6,0,0
2023-08-27,7,0,0
2023-09-03,10,0,0
2023-09-10,10,2,0
2023-09-17,11,0,0
2023-09-24,6,0,0
2023-10-01,7,2,0
2023-10-08,6,0,0
2023-10-15,8,2,0
2023-10-22,7,0,0
2023-10-29,6,3,0
2023-11-05,7,0,0
2023-11-12,8,0,0
2023-11-19,7,0,0
2023-11-26,6,2,0
2023-12-03,6,3,0
2023-12-10,6,2,0
2023-12-17,8,3,0
2023-12-24,9,3,0
2023-12-31,12,5,0
2024-01-07,15,5,0
2024-01-14,19,5,0
2024-01-21,24,8,0
2024-01-28,29,9,0
