Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2019-04-28,30,6,0
2019-05-05,23,5,0
2019-05-12,39,10,0
2019-05-19,30,8,0
2019-05-26,35,7,0
2019-06-02,29,7,0
2019-06-09,30,10,0
2019-06-16,34,9,0
2019-06-23,31,0,0
2019-06-30,30,7,0
2019-07-07,29,7,0
2019-07-14,31,5,0
2019-07-21,28,7,0
2019-07-28,20,7,0
2019-08-04,21,0,0
2019-08-11,16,5,0
2019-08-18,19,0,0
2019-08-25,13,5,0
2019-09-01,12,0,0
2019-09-08,9,0,0
2019-09-15,11,0,0
2019-09-22,11,0,0
2019-09-29,8,0,0
2019-10-06,7,0,0
2019-10-13,9,0,0
2019-10-20,7,0,0
2019-10-27,6,0,0
2019-11-03,8,0,0
2019-11-10,6,0,0
2019-11-17,0,0,0
2019-11-24,7,0,0
2019-12-01,6,0,0
2019-12-08,0,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,4,0,0
2020-01-19,6,0,0
2020-01-26,8,0,0
2020-02-02,9,0,0
2020-02-09,9,0,0
2020-02-16,11,0,0
2020-02-23,18,4,0
2020-03-01,15,0,0
2020-03-08,24,0,0
2020-03-15,26,0,0
2020-03-22,23,4,0
2020-03-29,16,0,0
2020-04-05,18,0,0
2020-04-12,15,5,0
2020-04-19,14,3,0
2020-04-26,19,0,0
2020-05-03,15,3,0
2020-05-10,21,8,0
2020-05-17,20,7,0
2020-05-24,22,7,0
2020-05-31,19,5,0
2020-06-07,20,7,0
2020-06-14,19,5,0
2020-06-21,18,4,0
2020-06-28,15,4,0
2020-07-05,15,6,0
2020-07-12,15,4,0
2020-07-19,12,0,0
2020-07-26,13,0,0
2020-08-02,10,0,0
2020-08-09,9,0,0
2020-08-16,6,0,0
2020-08-23,7,0,0
2020-08-30,5,0,0
2020-09-06,6,0,0
2020-09-13,4,0,0
2020-09-20,6,0,0
2020-09-27,4,0,0
2020-10-04,5,0,0
2020-10-11,5,0,0
2020-10-18,0,0,0
2020-10-25,4,0,0
2020-11-01,0,0,0
2020-11-08,7,0,0
2020-11-15,6,0,0
2020-11-22,4,0,0
2020-11-29,9,5,0
2020-12-06,4,0,0
2020-12-13,7,0,0
2020-12-20,0,0,0
2020-12-27,6,0,0
2021-01-03,5,0,0
2021-01-10,0,0,0
2021-01-17,0,0,0
2021-01-24,0,0,0
2021-01-31,6,0,0
2021-02-07,0,0,0
2021-02-14,6,0,0
2021-02-21,4,0,0
2021-02-28,4,0,0
2021-03-07,9,0,4
2021-03-14,9,0,0
2021-03-21,9,0,0
2021-03-28,7,0,0
2021-04-04,6,0,0
2021-04-11,9,0,0
2021-04-18,11,0,0
2021-04-25,12,5,0
2021-05-02,8,0,0
2021-05-09,9,0,0
2021-05-16,8,0,0
2021-05-23,13,0,0
2021-05-30,10,4,0
2021-06-06,10,0,0
2021-06-13,11,0,0
2021-06-20,4,4,0
2021-06-27,8,0,0
2021-07-04,6,0,0
2021-07-11,8,0,0
2021-07-18,6,0,0
2021-07-25,7,0,0
2021-08-01,6,0,0
2021-08-08,6,0,0
2021-08-15,5,0,0
2021-08-22,5,0,0
2021-08-29,0,0,0
2021-09-05,5,0,0
2021-09-12,8,0,0
2021-09-19,4,0,0
