Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2019-04-28,17,0,0
2019-05-05,11,0,0
2019-05-12,15,6,0
2019-05-19,17,5,0
2019-05-26,13,0,0
2019-06-02,12,5,0
2019-06-09,17,5,0
2019-06-16,11,0,0
2019-06-23,8,0,0
2019-06-30,10,0,0
2019-07-07,6,0,0
2019-07-14,0,0,0
2019-07-21,8,0,0
2019-07-28,7,0,0
2019-08-04,4,0,0
2019-08-11,5,0,0
2019-08-18,4,0,0
2019-08-25,4,0,0
2019-09-01,5,0,0
2019-09-08,0,0,0
2019-09-15,4,0,0
2019-09-22,4,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,3,0,0
2019-10-27,0,0,0
2019-11-03,0,0,0
2019-11-10,7,0,0
2019-11-17,0,0,0
2019-11-24,6,0,0
2019-12-01,0,0,0
2019-12-08,0,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,4,0,0
2020-01-19,3,0,0
2020-01-26,6,0,0
2020-02-02,4,0,0
2020-02-09,6,0,0
2020-02-16,9,3,0
2020-02-23,9,4,0
2020-03-01,7,0,0
2020-03-08,11,0,0
2020-03-15,14,0,0
2020-03-22,14,4,0
2020-03-29,9,3,0
2020-04-05,10,0,0
2020-04-12,6,0,0
2020-04-19,8,0,0
2020-04-26,9,3,0
2020-05-03,11,3,0
2020-05-10,8,4,0
2020-05-17,8,0,0
2020-05-24,11,3,0
2020-05-31,10,4,0
2020-06-07,9,0,0
2020-06-14,7,5,0
2020-06-21,9,0,0
2020-06-28,6,0,0
2020-07-05,5,0,0
2020-07-12,5,0,0
2020-07-19,4,0,0
2020-07-26,4,0,0
2020-08-02,3,0,0
2020-08-09,0,0,0
2020-08-16,0,0,0
2020-08-23,3,0,0
2020-08-30,3,0,0
2020-09-06,0,0,0
2020-09-13,3,0,0
2020-09-20,0,0,0
2020-09-27,0,0,0
2020-10-04,3,0,0
2020-10-11,0,0,0
2020-10-18,4,0,0
2020-10-25,3,0,0
2020-11-01,0,0,0
2020-11-08,4,0,0
2020-11-15,0,0,0
2020-11-22,4,0,0
2020-11-29,3,0,0
2020-12-06,5,0,0
2020-12-13,0,0,0
2020-12-20,0,0,0
2020-12-27,0,0,0
2021-01-03,0,0,0
2021-01-10,4,0,0
2021-01-17,3,0,0
2021-01-24,3,0,0
2021-01-31,3,0,0
2021-02-07,4,0,0
2021-02-14,4,0,0
2021-02-21,0,0,0
2021-02-28,3,0,0
2021-03-07,7,0,0
2021-03-14,5,0,0
2021-03-21,6,0,0
2021-03-28,6,3,0
2021-04-04,9,3,0
2021-04-11,7,0,0
2021-04-18,7,3,0
2021-04-25,6,0,0
2021-05-02,9,3,0
2021-05-09,10,0,0
2021-05-16,10,0,0
2021-05-23,7,0,0
2021-05-30,9,3,0
2021-06-06,10,3,0
2021-06-13,11,3,0
2021-06-20,9,0,0
2021-06-27,7,0,0
2021-07-04,7,3,0
2021-07-11,5,0,0
2021-07-18,5,0,0
2021-07-25,5,0,0
2021-08-01,0,0,0
2021-08-08,4,0,0
2021-08-15,4,0,0
2021-08-22,6,0,0
2021-08-29,4,0,0
2021-09-05,6,0,0
2021-09-12,5,0,0
2021-09-19,4,0,0
2021-09-26,0,0,0
2021-10-03,3,0,0
2021-10-10,4,0,0
2021-10-17,0,0,0
2021-10-24,4,0,0
2021-10-31,3,0,0
2021-11-07,0,0,0
2021-11-14,4,0,0
2021-11-21,3,0,0
2021-11-28,3,0,0
2021-12-05,4,0,0
2021-12-12,4,0,0
2021-12-19,0,0,0
2021-12-26,5,0,0
2022-01-02,7,0,0
2022-01-09,8,0,0
2022-01-16,10,4,0
2022-01-23,7,0,0
2022-01-30,11,3,0
2022-02-06,15,5,0
2022-02-13,18,6,0
2022-02-20,20,6,0
2022-02-27,26,6,0
2022-03-06,27,7,0
2022-03-13,34,10,0
2022-03-20,43,13,0
2022-03-27,63,16,0
2022-04-03,68,20,0
2022-04-10,75,21,0
2022-04-17,100,29,0
2022-04-24,98,25,3
2022-05-01,85,24,0
2022-05-08,71,19,0
2022-05-15,68,18,0
2022-05-22,49,14,0
2022-05-29,43,12,0
2022-06-05,41,12,0
2022-06-12,36,11,0
2022-06-19,26,9,0
2022-06-26,27,9,0
2022-07-03,23,9,0
2022-07-10,15,6,0
2022-07-17,10,2,0
2022-07-24,7,0,0
2022-07-31,7,3,0
2022-08-07,6,0,0
2022-08-14,9,0,0
2022-08-21,3,0,0
2022-08-28,3,0,0
2022-09-04,4,0,0
2022-09-11,3,0,0
2022-09-18,2,0,0
2022-09-25,4,0,0
2022-10-02,5,0,0
2022-10-09,4,0,0
2022-10-16,4,0,0
2022-10-23,4,3,0
2022-10-30,5,0,0
2022-11-06,5,0,0
2022-11-13,8,0,0
2022-11-20,4,0,0
2022-11-27,4,0,0
2022-12-04,0,0,0
2022-12-11,5,0,0
2022-12-18,5,0,0
2022-12-25,5,0,0
2023-01-01,5,0,0
2023-01-08,5,2,0
2023-01-15,8,0,0
2023-01-22,6,0,0
2023-01-29,7,0,0
2023-02-05,7,0,0
2023-02-12,9,0,0
2023-02-19,11,0,0
2023-02-26,15,5,0
2023-03-05,12,3,0
2023-03-12,13,4,0
2023-03-19,15,6,0
2023-03-26,19,5,0
2023-04-02,18,8,0
2023-04-09,21,7,0
2023-04-16,20,8,0
2023-04-23,19,4,0
2023-04-30,14,5,0
2023-05-07,19,5,0
2023-05-14,14,4,0
2023-05-21,9,2,0
2023-05-28,12,3,0
2023-06-04,8,3,0
2023-06-11,12,3,0
2023-06-18,7,3,0
2023-06-25,7,2,0
2023-07-02,7,0,0
2023-07-09,6,0,0
2023-07-16,0,3,0
2023-07-23,4,0,0
2023-07-30,3,0,0
2023-08-06,4,0,0
2023-08-13,3,0,0
2023-08-20,2,0,0
2023-08-27,4,0,0
2023-09-03,3,0,0
2023-09-10,4,0,0
2023-09-17,4,0,0
2023-09-24,2,0,0
2023-10-01,3,0,0
2023-10-08,3,0,0
2023-10-15,2,0,0
2023-10-22,3,0,0
2023-10-29,2,0,0
2023-11-05,2,0,0
2023-11-12,3,0,0
2023-11-19,2,0,0
2023-11-26,4,0,0
2023-12-03,3,0,0
2023-12-10,2,0,0
2023-12-17,0,0,0
2023-12-24,4,0,0
2023-12-31,4,0,0
2024-01-07,6,0,0
2024-01-14,5,0,3
2024-01-21,10,0,0
2024-01-28,16,0,0
2024-02-04,25,6,0
2024-02-11,29,4,0
2024-02-18,43,9,0
2024-02-25,45,10,0
2024-03-03,42,11,0
2024-03-10,52,13,0
2024-03-17,45,13,0
2024-03-24,36,8,0
2024-03-31,40,9,0
2024-04-07,40,10,0
2024-04-14,31,6,<1
2024-04-21,30,7,<1
2024-04-28,25,6,0
