Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2019-04-28,26,0,0
2019-05-05,28,6,0
2019-05-12,24,6,0
2019-05-19,24,8,0
2019-05-26,24,0,0
2019-06-02,19,8,0
2019-06-09,20,6,0
2019-06-16,17,7,0
2019-06-23,20,6,0
2019-06-30,12,0,0
2019-07-07,10,0,0
2019-07-14,8,0,0
2019-07-21,6,0,0
2019-07-28,10,0,0
2019-08-04,5,5,0
2019-08-11,10,0,0
2019-08-18,8,0,0
2019-08-25,8,0,0
2019-09-01,7,0,0
2019-09-08,4,0,0
2019-09-15,8,0,0
2019-09-22,7,0,0
2019-09-29,8,0,0
2019-10-06,6,0,0
2019-10-13,10,0,0
2019-10-20,10,0,0
2019-10-27,8,0,0
2019-11-03,13,0,0
2019-11-10,12,0,0
2019-11-17,12,0,0
2019-11-24,12,0,0
2019-12-01,13,4,0
2019-12-08,16,5,0
2019-12-15,15,0,0
2019-12-22,17,0,0
2019-12-29,19,8,0
2020-01-05,25,7,0
2020-01-12,42,11,0
2020-01-19,42,8,0
2020-01-26,33,8,0
2020-02-02,43,10,5
2020-02-09,41,10,0
2020-02-16,45,13,0
2020-02-23,41,10,0
2020-03-01,46,12,0
2020-03-08,64,14,0
2020-03-15,81,21,0
2020-03-22,57,15,0
2020-03-29,45,11,0
2020-04-05,38,6,0
2020-04-12,36,8,0
2020-04-19,33,6,0
2020-04-26,33,7,0
2020-05-03,31,6,0
2020-05-10,28,7,0
2020-05-17,24,5,0
2020-05-24,27,7,0
2020-05-31,28,10,0
2020-06-07,30,11,0
2020-06-14,31,9,0
2020-06-21,30,10,0
2020-06-28,25,8,0
2020-07-05,19,9,0
2020-07-12,22,4,0
2020-07-19,19,9,0
2020-07-26,16,5,0
2020-08-02,14,5,0
2020-08-09,14,4,0
2020-08-16,12,3,0
2020-08-23,10,4,0
2020-08-30,7,0,0
2020-09-06,6,0,0
2020-09-13,7,0,0
2020-09-20,8,0,0
2020-09-27,9,0,0
2020-10-04,5,0,0
2020-10-11,7,0,0
2020-10-18,8,0,0
2020-10-25,6,0,0
2020-11-01,8,0,0
2020-11-08,7,0,0
2020-11-15,5,0,0
2020-11-22,9,4,0
2020-11-29,11,4,0
2020-12-06,9,0,0
2020-12-13,13,6,0
2020-12-20,10,6,0
2020-12-27,15,7,0
2021-01-03,15,8,0
2021-01-10,17,5,0
2021-01-17,20,4,0
2021-01-24,15,7,0
2021-01-31,19,6,0
2021-02-07,19,6,0
2021-02-14,18,7,0
2021-02-21,19,7,0
2021-02-28,22,7,0
2021-03-07,27,11,0
2021-03-14,28,8,0
2021-03-21,27,10,0
2021-03-28,24,8,0
2021-04-04,28,9,0
2021-04-11,23,8,0
2021-04-18,20,6,0
2021-04-25,19,6,0
2021-05-02,19,4,0
2021-05-09,22,5,0
2021-05-16,21,5,0
2021-05-23,20,6,0
2021-05-30,21,4,0
2021-06-06,19,4,0
2021-06-13,16,4,0
2021-06-20,15,4,0
2021-06-27,7,0,0
2021-07-04,11,3,0
2021-07-11,12,3,0
2021-07-18,5,0,0
2021-07-25,9,0,0
2021-08-01,7,5,0
2021-08-08,11,0,0
2021-08-15,6,0,0
2021-08-22,10,0,0
2021-08-29,11,0,0
2021-09-05,7,0,0
2021-09-12,7,0,0
2021-09-19,8,0,0
2021-09-26,6,0,0
2021-10-03,6,0,0
2021-10-10,8,0,0
2021-10-17,9,0,0
2021-10-24,11,0,0
2021-10-31,4,0,0
2021-11-07,8,0,0
2021-11-14,11,0,0
2021-11-21,17,0,0
2021-11-28,17,4,0
2021-12-05,21,4,0
2021-12-12,31,9,0
2021-12-19,37,10,0
2021-12-26,36,13,0
2022-01-02,45,14,0
2022-01-09,37,13,0
2022-01-16,47,16,0
2022-01-23,49,14,0
2022-01-30,36,10,0
2022-02-06,30,10,0
2022-02-13,32,8,0
2022-02-20,33,8,0
2022-02-27,31,6,0
2022-03-06,28,6,0
2022-03-13,32,9,0
2022-03-20,36,8,0
2022-03-27,36,9,0
2022-04-03,42,11,0
2022-04-10,40,9,0
2022-04-17,44,11,0
