Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia),tratamento dengue: (Rondônia)
2019-04-28,0,0,0
2019-05-05,0,0,0
2019-05-12,0,0,0
2019-05-19,0,0,0
2019-05-26,0,0,0
2019-06-02,0,0,0
2019-06-09,0,0,0
2019-06-16,0,0,0
2019-06-23,12,0,0
2019-06-30,0,0,0
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,0,0,0
2019-08-04,0,0,0
2019-08-11,0,0,0
2019-08-18,0,0,0
2019-08-25,0,0,0
2019-09-01,10,0,0
2019-09-08,0,0,0
2019-09-15,0,0,0
2019-09-22,0,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,0,0,0
2019-10-27,10,0,0
2019-11-03,13,0,0
2019-11-10,0,0,0
2019-11-17,0,0,0
2019-11-24,12,0,0
2019-12-01,0,0,0
2019-12-08,0,0,0
2019-12-15,15,0,0
2019-12-22,15,0,0
2019-12-29,0,0,0
2020-01-05,14,0,0
2020-01-12,18,0,0
2020-01-19,14,8,0
2020-01-26,13,0,0
2020-02-02,21,0,0
2020-02-09,25,0,0
2020-02-16,17,0,0
2020-02-23,27,0,0
2020-03-01,27,7,0
2020-03-08,35,8,0
2020-03-15,38,10,0
2020-03-22,36,9,0
2020-03-29,20,0,0
2020-04-05,19,0,0
2020-04-12,19,0,0
2020-04-19,17,0,0
2020-04-26,17,0,0
2020-05-03,25,0,0
2020-05-10,15,0,0
2020-05-17,27,9,0
2020-05-24,22,9,0
2020-05-31,18,9,0
2020-06-07,19,0,0
2020-06-14,17,7,0
2020-06-21,13,0,0
2020-06-28,13,0,0
2020-07-05,18,6,0
2020-07-12,8,0,0
2020-07-19,7,0,0
2020-07-26,12,0,0
2020-08-02,9,0,0
2020-08-09,9,0,0
2020-08-16,10,0,0
2020-08-23,10,0,0
2020-08-30,6,0,0
2020-09-06,7,0,0
2020-09-13,7,0,0
2020-09-20,0,0,0
2020-09-27,11,0,0
2020-10-04,9,0,0
2020-10-11,9,0,0
2020-10-18,0,0,0
2020-10-25,8,0,0
2020-11-01,6,0,0
2020-11-08,0,0,0
2020-11-15,10,0,0
2020-11-22,13,0,0
2020-11-29,8,0,0
2020-12-06,11,0,0
2020-12-13,7,0,0
2020-12-20,0,0,0
2020-12-27,19,0,0
2021-01-03,15,0,0
2021-01-10,18,0,0
2021-01-17,18,7,0
