Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará)
2019-06-23,10,0
2019-06-30,13,2
2019-07-07,7,0
2019-07-14,8,0
2019-07-21,10,3
2019-07-28,8,3
2019-08-04,9,0
2019-08-11,7,0
2019-08-18,9,0
2019-08-25,8,2
2019-09-01,7,0
2019-09-08,8,0
2019-09-15,9,0
2019-09-22,8,0
2019-09-29,7,0
2019-10-06,8,0
2019-10-13,6,0
2019-10-20,7,0
2019-10-27,4,0
2019-11-03,7,0
2019-11-10,6,0
2019-11-17,7,2
2019-11-24,5,0
2019-12-01,5,0
2019-12-08,4,0
2019-12-15,4,0
2019-12-22,3,0
2019-12-29,4,0
2020-01-05,7,0
2020-01-12,8,0
2020-01-19,10,0
2020-01-26,9,2
2020-02-02,17,4
2020-02-09,21,4
2020-02-16,23,5
2020-02-23,27,7
2020-03-01,30,8
2020-03-08,38,8
2020-03-15,38,9
2020-03-22,32,7
2020-03-29,29,7
2020-04-05,28,7
2020-04-12,34,9
2020-04-19,38,10
2020-04-26,42,14
2020-05-03,48,18
2020-05-10,34,13
2020-05-17,33,8
2020-05-24,29,7
2020-05-31,24,6
2020-06-07,18,5
2020-06-14,20,6
2020-06-21,20,6
2020-06-28,22,6
2020-07-05,17,4
2020-07-12,14,4
2020-07-19,16,3
2020-07-26,10,3
2020-08-02,11,2
2020-08-09,12,2
2020-08-16,10,2
2020-08-23,10,2
2020-08-30,7,2
2020-09-06,7,2
2020-09-13,6,0
2020-09-20,8,2
2020-09-27,8,2
2020-10-04,6,0
2020-10-11,6,2
2020-10-18,6,0
2020-10-25,6,0
2020-11-01,6,0
2020-11-08,7,0
2020-11-15,6,0
2020-11-22,5,0
2020-11-29,5,0
2020-12-06,7,0
2020-12-13,7,2
2020-12-20,3,0
2020-12-27,6,0
2021-01-03,6,2
2021-01-10,7,2
2021-01-17,6,2
2021-01-24,5,2
2021-01-31,11,2
2021-02-07,12,4
2021-02-14,10,3
2021-02-21,12,3
2021-02-28,15,4
2021-03-07,20,4
2021-03-14,20,4
2021-03-21,23,6
2021-03-28,22,7
2021-04-04,25,6
2021-04-11,28,7
2021-04-18,29,7
2021-04-25,30,7
2021-05-02,29,8
2021-05-09,38,11
2021-05-16,44,12
2021-05-23,45,11
2021-05-30,44,12
2021-06-06,45,13
2021-06-13,42,11
2021-06-20,37,11
2021-06-27,33,8
2021-07-04,34,9
2021-07-11,27,6
2021-07-18,25,6
2021-07-25,20,6
2021-08-01,20,5
2021-08-08,19,5
2021-08-15,20,4
2021-08-22,16,3
2021-08-29,15,3
2021-09-05,12,3
2021-09-12,10,2
2021-09-19,14,4
2021-09-26,10,2
2021-10-03,11,0
2021-10-10,8,0
2021-10-17,7,2
2021-10-24,6,0
2021-10-31,5,0
2021-11-07,6,0
2021-11-14,7,0
2021-11-21,6,0
2021-11-28,6,2
2021-12-05,7,3
2021-12-12,7,3
2021-12-19,5,2
2021-12-26,5,0
2022-01-02,12,3
2022-01-09,15,4
2022-01-16,16,6
2022-01-23,13,3
2022-01-30,14,3
2022-02-06,16,4
2022-02-13,20,4
2022-02-20,19,3
2022-02-27,22,6
2022-03-06,26,5
2022-03-13,27,8
2022-03-20,31,8
2022-03-27,34,9
2022-04-03,35,9
2022-04-10,32,9
2022-04-17,46,15
2022-04-24,58,15
2022-05-01,59,17
2022-05-08,54,14
2022-05-15,57,18
2022-05-22,53,17
2022-05-29,57,18
2022-06-05,54,16
2022-06-12,53,17
2022-06-19,48,17
2022-06-26,47,15
2022-07-03,41,13
2022-07-10,34,10
2022-07-17,27,7
2022-07-24,25,7
2022-07-31,24,7
2022-08-07,19,5
2022-08-14,16,4
2022-08-21,16,4
2022-08-28,14,4
2022-09-04,12,3
2022-09-11,14,4
2022-09-18,11,3
2022-09-25,10,2
2022-10-02,9,2
2022-10-09,9,2
2022-10-16,9,2
2022-10-23,9,2
2022-10-30,8,2
2022-11-06,8,2
2022-11-13,7,2
2022-11-20,9,3
2022-11-27,7,0
2022-12-04,9,2
2022-12-11,6,2
2022-12-18,5,2
2022-12-25,6,2
2023-01-01,7,2
2023-01-08,6,0
2023-01-15,7,0
2023-01-22,8,2
2023-01-29,10,3
2023-02-05,12,2
2023-02-12,13,4
2023-02-19,16,4
2023-02-26,19,6
2023-03-05,21,7
2023-03-12,25,8
