Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2019-06-23,19,5
2019-06-30,14,0
2019-07-07,12,0
2019-07-14,6,6
2019-07-21,5,5
2019-07-28,9,0
2019-08-04,5,0
2019-08-11,10,0
2019-08-18,8,0
2019-08-25,7,0
2019-09-01,8,0
2019-09-08,7,0
2019-09-15,8,0
2019-09-22,7,0
2019-09-29,7,0
2019-10-06,7,0
2019-10-13,9,0
2019-10-20,10,0
2019-10-27,10,0
2019-11-03,13,0
2019-11-10,13,0
2019-11-17,10,0
2019-11-24,13,0
2019-12-01,12,4
2019-12-08,14,4
2019-12-15,15,6
2019-12-22,18,5
2019-12-29,23,6
2020-01-05,28,6
2020-01-12,42,11
2020-01-19,42,10
2020-01-26,34,8
2020-02-02,45,11
2020-02-09,42,11
2020-02-16,45,10
2020-02-23,40,10
2020-03-01,45,12
2020-03-08,63,17
2020-03-15,79,20
2020-03-22,60,16
2020-03-29,45,11
2020-04-05,40,11
2020-04-12,35,9
2020-04-19,33,7
2020-04-26,36,8
2020-05-03,32,8
2020-05-10,29,8
2020-05-17,26,5
2020-05-24,31,11
2020-05-31,28,9
2020-06-07,29,11
2020-06-14,33,11
2020-06-21,31,11
2020-06-28,25,9
2020-07-05,24,9
2020-07-12,20,4
2020-07-19,21,7
2020-07-26,15,6
2020-08-02,14,5
2020-08-09,14,4
2020-08-16,12,0
2020-08-23,9,3
2020-08-30,8,0
2020-09-06,7,0
2020-09-13,7,0
2020-09-20,13,0
2020-09-27,10,0
2020-10-04,6,0
2020-10-11,7,0
2020-10-18,7,0
2020-10-25,6,0
2020-11-01,8,0
2020-11-08,8,0
2020-11-15,5,0
2020-11-22,11,0
2020-11-29,11,0
2020-12-06,9,4
2020-12-13,12,4
2020-12-20,11,6
2020-12-27,16,6
2021-01-03,14,7
2021-01-10,18,5
2021-01-17,20,7
2021-01-24,16,7
2021-01-31,20,6
2021-02-07,20,7
2021-02-14,18,8
2021-02-21,23,8
2021-02-28,24,8
2021-03-07,29,9
2021-03-14,28,7
2021-03-21,29,10
2021-03-28,25,8
2021-04-04,27,9
2021-04-11,27,8
2021-04-18,23,7
2021-04-25,20,5
2021-05-02,18,4
2021-05-09,22,5
2021-05-16,23,7
2021-05-23,22,8
2021-05-30,23,5
2021-06-06,17,5
2021-06-13,18,4
2021-06-20,15,4
2021-06-27,9,0
2021-07-04,11,4
2021-07-11,13,0
2021-07-18,6,0
2021-07-25,9,0
2021-08-01,8,0
2021-08-08,10,0
2021-08-15,8,0
2021-08-22,9,0
2021-08-29,10,0
2021-09-05,7,0
2021-09-12,6,0
2021-09-19,10,0
2021-09-26,8,0
2021-10-03,6,0
2021-10-10,7,0
2021-10-17,9,0
2021-10-24,9,3
2021-10-31,7,0
2021-11-07,9,0
2021-11-14,10,0
2021-11-21,17,0
2021-11-28,18,4
2021-12-05,21,5
2021-12-12,31,11
2021-12-19,37,9
2021-12-26,40,14
2022-01-02,47,15
2022-01-09,36,12
2022-01-16,50,17
2022-01-23,52,14
2022-01-30,36,7
2022-02-06,32,11
2022-02-13,33,7
2022-02-20,34,10
2022-02-27,31,7
2022-03-06,29,6
2022-03-13,33,9
2022-03-20,36,9
2022-03-27,38,9
2022-04-03,44,11
2022-04-10,37,9
2022-04-17,45,10
2022-04-24,46,10
2022-05-01,38,9
2022-05-08,39,11
2022-05-15,34,10
2022-05-22,25,9
2022-05-29,24,9
2022-06-05,25,8
2022-06-12,22,8
2022-06-19,27,7
2022-06-26,27,8
2022-07-03,19,8
2022-07-10,21,6
2022-07-17,17,5
2022-07-24,14,5
2022-07-31,11,3
2022-08-07,8,0
2022-08-14,7,0
2022-08-21,11,4
2022-08-28,10,3
2022-09-04,10,0
2022-09-11,10,0
2022-09-18,10,3
2022-09-25,9,0
2022-10-02,9,2
2022-10-09,9,0
2022-10-16,11,3
2022-10-23,14,4
2022-10-30,9,4
2022-11-06,13,3
2022-11-13,17,6
2022-11-20,13,0
2022-11-27,13,4
2022-12-04,13,5
2022-12-11,20,6
2022-12-18,13,7
2022-12-25,22,6
2023-01-01,19,5
2023-01-08,21,6
2023-01-15,24,5
2023-01-22,21,5
2023-01-29,27,5
2023-02-05,31,7
2023-02-12,33,8
2023-02-19,38,12
2023-02-26,40,12
2023-03-05,32,10
2023-03-12,41,10
2023-03-19,38,12
2023-03-26,64,20
2023-04-02,54,20
2023-04-09,56,19
2023-04-16,51,18
2023-04-23,48,13
2023-04-30,43,14
2023-05-07,35,9
2023-05-14,38,11
2023-05-21,35,10
2023-05-28,29,8
2023-06-04,23,6
2023-06-11,20,3
2023-06-18,18,5
2023-06-25,13,3
2023-07-02,22,5
2023-07-09,15,3
2023-07-16,12,0
2023-07-23,9,0
2023-07-30,14,5
2023-08-06,11,0
2023-08-13,11,4
2023-08-20,13,3
2023-08-27,10,3
2023-09-03,9,0
2023-09-10,10,5
2023-09-17,8,0
2023-09-24,8,0
2023-10-01,13,3
2023-10-08,7,0
2023-10-15,9,0
2023-10-22,10,3
2023-10-29,12,3
2023-11-05,12,0
2023-11-12,13,5
2023-11-19,11,0
2023-11-26,15,0
2023-12-03,13,0
2023-12-10,14,4
2023-12-17,14,4
2023-12-24,19,5
2023-12-31,24,5
2024-01-07,29,9
2024-01-14,33,7
2024-01-21,36,10
2024-01-28,54,12
2024-02-04,64,16
2024-02-11,92,21
2024-02-18,89,22
2024-02-25,100,18
2024-03-03,82,18
2024-03-10,79,16
2024-03-17,75,18
2024-03-24,71,17
2024-03-31,80,22
2024-04-07,84,18
2024-04-14,89,19
2024-04-21,98,24
2024-04-28,96,18
2024-05-05,84,20
2024-05-12,74,15
2024-05-19,60,11
2024-05-26,46,8
2024-06-02,39,7
2024-06-09,37,6
2024-06-16,33,7
2024-06-23,32,5
