Categoria: Todas as categorias

Semana,dengue: (Paraná),sintomas dengue: (Paraná)
2024-02-11,62,14
2024-02-18,77,18
2024-02-25,91,20
2024-03-03,85,20
2024-03-10,90,21
2024-03-17,89,21
2024-03-24,90,19
2024-03-31,100,22
2024-04-07,88,19
2024-04-14,76,16
2024-04-21,83,18
2024-04-28,76,17
2024-05-05,70,14
2024-05-12,55,11
2024-05-19,47,9
2024-05-26,29,6
2024-06-02,23,5
2024-06-09,22,5
2024-06-16,21,4
2024-06-23,16,4
