Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2019-05-12,25,6
2019-05-19,26,6
2019-05-26,21,0
2019-06-02,17,5
2019-06-09,21,5
2019-06-16,17,0
2019-06-23,17,5
2019-06-30,14,0
2019-07-07,10,0
2019-07-14,8,0
2019-07-21,5,0
2019-07-28,9,0
2019-08-04,5,0
2019-08-11,10,0
2019-08-18,8,0
2019-08-25,8,0
2019-09-01,7,0
2019-09-08,9,0
2019-09-15,7,0
2019-09-22,7,0
2019-09-29,7,0
2019-10-06,6,0
2019-10-13,9,0
2019-10-20,8,0
2019-10-27,10,0
2019-11-03,14,0
2019-11-10,15,0
2019-11-17,10,0
2019-11-24,13,0
2019-12-01,11,0
2019-12-08,17,0
2019-12-15,16,0
2019-12-22,17,0
2019-12-29,22,7
2020-01-05,27,6
2020-01-12,42,13
2020-01-19,41,10
2020-01-26,32,9
2020-02-02,43,8
2020-02-09,41,10
2020-02-16,45,12
2020-02-23,40,11
2020-03-01,44,12
2020-03-08,64,13
2020-03-15,79,21
2020-03-22,58,16
2020-03-29,45,11
2020-04-05,40,10
2020-04-12,37,7
2020-04-19,34,0
2020-04-26,33,8
2020-05-03,30,9
2020-05-10,29,7
2020-05-17,24,6
2020-05-24,28,8
2020-05-31,29,11
2020-06-07,30,11
2020-06-14,33,11
2020-06-21,30,11
2020-06-28,25,9
2020-07-05,23,9
2020-07-12,20,5
2020-07-19,21,9
2020-07-26,16,7
2020-08-02,14,5
2020-08-09,16,5
2020-08-16,13,0
2020-08-23,11,0
2020-08-30,8,0
2020-09-06,4,0
2020-09-13,6,0
2020-09-20,11,0
2020-09-27,9,0
2020-10-04,5,0
2020-10-11,6,0
2020-10-18,9,4
2020-10-25,5,0
2020-11-01,9,0
2020-11-08,8,0
2020-11-15,6,0
2020-11-22,12,4
2020-11-29,12,4
2020-12-06,6,0
2020-12-13,13,6
2020-12-20,11,0
2020-12-27,16,6
2021-01-03,17,6
2021-01-10,20,7
2021-01-17,21,7
2021-01-24,14,6
2021-01-31,19,7
2021-02-07,19,5
2021-02-14,18,7
2021-02-21,21,5
2021-02-28,22,7
2021-03-07,28,8
2021-03-14,30,8
2021-03-21,28,11
2021-03-28,24,8
2021-04-04,26,9
2021-04-11,24,6
2021-04-18,22,7
2021-04-25,18,5
2021-05-02,18,5
2021-05-09,22,4
2021-05-16,22,4
2021-05-23,20,6
2021-05-30,20,4
2021-06-06,20,4
2021-06-13,15,5
2021-06-20,14,5
2021-06-27,8,0
2021-07-04,11,3
2021-07-11,12,4
2021-07-18,9,5
2021-07-25,10,0
2021-08-01,8,0
2021-08-08,12,4
2021-08-15,5,0
2021-08-22,11,0
2021-08-29,10,0
2021-09-05,9,0
2021-09-12,7,0
2021-09-19,7,0
2021-09-26,5,0
2021-10-03,6,0
2021-10-10,11,0
2021-10-17,9,0
2021-10-24,10,0
2021-10-31,8,0
2021-11-07,9,0
2021-11-14,12,0
2021-11-21,17,0
2021-11-28,18,4
2021-12-05,21,6
2021-12-12,30,11
2021-12-19,38,11
2021-12-26,39,12
2022-01-02,46,14
2022-01-09,36,12
2022-01-16,47,17
2022-01-23,50,14
2022-01-30,36,9
2022-02-06,31,12
2022-02-13,32,7
2022-02-20,33,8
2022-02-27,30,7
2022-03-06,29,6
2022-03-13,30,8
2022-03-20,35,8
2022-03-27,37,8
2022-04-03,41,11
2022-04-10,40,9
2022-04-17,45,10
2022-04-24,41,8
2022-05-01,38,9
2022-05-08,37,12
2022-05-15,33,9
2022-05-22,29,9
2022-05-29,25,7
2022-06-05,27,8
2022-06-12,22,6
