Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará)
2019-05-12,14,4
2019-05-19,12,0
2019-05-26,13,0
2019-06-02,12,0
2019-06-09,7,0
2019-06-16,9,0
2019-06-23,7,0
2019-06-30,7,0
2019-07-07,8,0
2019-07-14,7,0
2019-07-21,5,0
2019-07-28,8,4
2019-08-04,9,0
2019-08-11,7,0
2019-08-18,10,0
2019-08-25,8,0
2019-09-01,6,0
2019-09-08,8,0
2019-09-15,9,0
2019-09-22,6,0
2019-09-29,9,0
2019-10-06,5,0
2019-10-13,5,0
2019-10-20,6,0
2019-10-27,12,0
2019-11-03,10,0
2019-11-10,8,0
2019-11-17,9,0
2019-11-24,7,4
2019-12-01,8,0
2019-12-08,8,0
2019-12-15,7,0
2019-12-22,0,0
2019-12-29,6,0
2020-01-05,11,4
2020-01-12,13,0
2020-01-19,13,0
2020-01-26,15,0
2020-02-02,16,6
2020-02-09,18,4
2020-02-16,23,8
2020-02-23,19,8
2020-03-01,22,7
2020-03-08,27,6
2020-03-15,29,8
2020-03-22,29,7
2020-03-29,16,4
2020-04-05,19,6
2020-04-12,19,7
2020-04-19,20,8
2020-04-26,20,7
2020-05-03,12,4
2020-05-10,16,6
2020-05-17,12,3
2020-05-24,13,3
2020-05-31,13,4
2020-06-07,10,4
2020-06-14,7,0
2020-06-21,7,0
2020-06-28,6,0
2020-07-05,6,0
2020-07-12,7,0
2020-07-19,3,0
2020-07-26,4,0
2020-08-02,3,0
2020-08-09,3,0
2020-08-16,4,0
2020-08-23,4,0
2020-08-30,6,0
2020-09-06,4,0
2020-09-13,4,0
2020-09-20,5,0
2020-09-27,5,0
2020-10-04,0,0
2020-10-11,3,0
2020-10-18,6,0
2020-10-25,5,0
2020-11-01,4,0
2020-11-08,5,0
2020-11-15,5,0
2020-11-22,6,0
2020-11-29,7,0
2020-12-06,8,0
2020-12-13,5,0
2020-12-20,0,0
2020-12-27,4,0
2021-01-03,6,0
2021-01-10,6,3
2021-01-17,10,3
2021-01-24,10,0
2021-01-31,11,0
2021-02-07,12,0
2021-02-14,13,0
2021-02-21,12,3
2021-02-28,11,3
2021-03-07,12,2
2021-03-14,15,5
2021-03-21,10,0
2021-03-28,7,0
2021-04-04,10,0
2021-04-11,11,3
2021-04-18,12,0
2021-04-25,8,0
2021-05-02,4,0
2021-05-09,7,0
2021-05-16,11,0
2021-05-23,12,3
2021-05-30,9,0
2021-06-06,7,0
2021-06-13,5,0
2021-06-20,7,0
2021-06-27,5,0
2021-07-04,5,0
2021-07-11,5,0
2021-07-18,5,0
2021-07-25,4,0
2021-08-01,4,0
2021-08-08,6,0
2021-08-15,5,0
2021-08-22,8,0
2021-08-29,4,0
2021-09-05,6,0
2021-09-12,4,0
2021-09-19,5,0
2021-09-26,4,0
2021-10-03,4,0
2021-10-10,0,0
2021-10-17,4,0
2021-10-24,6,0
2021-10-31,0,0
2021-11-07,7,0
2021-11-14,8,0
2021-11-21,6,0
2021-11-28,9,0
2021-12-05,9,0
2021-12-12,11,0
2021-12-19,14,5
2021-12-26,10,0
2022-01-02,13,4
2022-01-09,16,5
2022-01-16,15,5
2022-01-23,18,5
2022-01-30,13,4
2022-02-06,10,3
2022-02-13,10,0
2022-02-20,13,4
2022-02-27,9,0
2022-03-06,12,0
2022-03-13,16,2
2022-03-20,11,3
2022-03-27,12,3
2022-04-03,14,2
2022-04-10,13,2
2022-04-17,14,4
2022-04-24,17,5
2022-05-01,17,5
2022-05-08,18,5
2022-05-15,13,3
2022-05-22,13,3
2022-05-29,11,2
2022-06-05,10,2
2022-06-12,9,0
2022-06-19,9,3
2022-06-26,8,4
2022-07-03,7,3
2022-07-10,6,0
2022-07-17,6,0
2022-07-24,5,0
2022-07-31,5,0
2022-08-07,5,0
2022-08-14,9,0
2022-08-21,5,0
2022-08-28,6,0
2022-09-04,5,0
2022-09-11,7,0
2022-09-18,8,0
2022-09-25,6,0
2022-10-02,7,4
2022-10-09,4,0
2022-10-16,9,0
2022-10-23,8,0
2022-10-30,6,0
2022-11-06,9,0
2022-11-13,8,0
2022-11-20,8,0
2022-11-27,7,0
2022-12-04,9,3
2022-12-11,11,2
2022-12-18,5,0
2022-12-25,9,3
2023-01-01,10,0
2023-01-08,8,0
2023-01-15,8,2
2023-01-22,9,3
2023-01-29,12,4
2023-02-05,11,0
2023-02-12,11,3
2023-02-19,12,5
2023-02-26,16,4
2023-03-05,17,5
2023-03-12,24,6
2023-03-19,21,5
2023-03-26,24,6
2023-04-02,19,6
2023-04-09,17,4
2023-04-16,17,5
2023-04-23,15,4
2023-04-30,14,5
2023-05-07,13,3
2023-05-14,15,5
2023-05-21,15,3
2023-05-28,12,4
2023-06-04,11,3
2023-06-11,14,4
2023-06-18,10,2
2023-06-25,12,4
2023-07-02,11,0
2023-07-09,9,0
2023-07-16,6,0
2023-07-23,6,0
2023-07-30,6,0
2023-08-06,6,0
2023-08-13,5,0
2023-08-20,5,0
2023-08-27,8,0
2023-09-03,10,0
2023-09-10,9,2
2023-09-17,10,0
2023-09-24,7,0
2023-10-01,6,0
2023-10-08,5,3
2023-10-15,9,0
2023-10-22,7,0
2023-10-29,7,3
2023-11-05,6,0
2023-11-12,8,0
2023-11-19,7,0
2023-11-26,6,0
2023-12-03,6,0
2023-12-10,6,2
2023-12-17,7,3
2023-12-24,8,0
2023-12-31,13,4
2024-01-07,14,5
2024-01-14,18,5
2024-01-21,22,7
2024-01-28,27,8
2024-02-04,51,16
2024-02-11,72,18
2024-02-18,93,24
2024-02-25,92,23
2024-03-03,100,26
2024-03-10,89,22
2024-03-17,92,24
2024-03-24,72,21
2024-03-31,68,18
2024-04-07,73,20
2024-04-14,63,14
2024-04-21,52,11
2024-04-28,48,11
2024-05-05,38,9
2024-05-12,32,8
