Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba)
2019-05-12,25,7
2019-05-19,26,8
2019-05-26,24,5
2019-06-02,23,7
2019-06-09,19,0
2019-06-16,20,4
2019-06-23,16,6
2019-06-30,21,0
2019-07-07,12,0
2019-07-14,18,5
2019-07-21,15,0
2019-07-28,16,5
2019-08-04,16,0
2019-08-11,11,0
2019-08-18,13,0
2019-08-25,11,0
2019-09-01,11,4
2019-09-08,13,4
2019-09-15,9,0
2019-09-22,9,0
2019-09-29,10,4
2019-10-06,6,0
2019-10-13,8,0
2019-10-20,10,0
2019-10-27,6,0
2019-11-03,7,0
2019-11-10,6,0
2019-11-17,6,0
2019-11-24,5,0
2019-12-01,8,0
2019-12-08,4,0
2019-12-15,0,0
2019-12-22,6,0
2019-12-29,0,0
2020-01-05,4,0
2020-01-12,4,0
2020-01-19,5,0
2020-01-26,8,0
2020-02-02,8,0
2020-02-09,10,4
2020-02-16,8,0
2020-02-23,11,0
2020-03-01,15,5
2020-03-08,14,0
2020-03-15,22,4
2020-03-22,18,6
2020-03-29,12,4
2020-04-05,10,3
2020-04-12,12,3
2020-04-19,16,4
2020-04-26,17,7
2020-05-03,15,5
2020-05-10,24,8
2020-05-17,23,6
2020-05-24,25,9
2020-05-31,24,6
2020-06-07,24,7
2020-06-14,20,7
2020-06-21,21,5
2020-06-28,27,9
2020-07-05,22,5
2020-07-12,23,6
2020-07-19,21,7
2020-07-26,16,3
2020-08-02,14,0
2020-08-09,9,0
2020-08-16,14,4
2020-08-23,10,0
2020-08-30,8,0
2020-09-06,9,0
2020-09-13,7,0
2020-09-20,8,0
2020-09-27,10,0
2020-10-04,8,0
2020-10-11,5,0
2020-10-18,7,0
2020-10-25,9,0
2020-11-01,5,0
2020-11-08,5,0
2020-11-15,8,0
2020-11-22,5,0
2020-11-29,8,0
2020-12-06,7,0
2020-12-13,4,0
2020-12-20,5,0
2020-12-27,5,0
2021-01-03,6,0
2021-01-10,0,0
2021-01-17,4,0
2021-01-24,4,0
2021-01-31,4,0
2021-02-07,6,0
2021-02-14,5,0
2021-02-21,5,0
2021-02-28,8,0
2021-03-07,8,4
2021-03-14,8,0
2021-03-21,9,0
2021-03-28,10,0
2021-04-04,7,0
2021-04-11,13,0
2021-04-18,9,0
2021-04-25,12,0
2021-05-02,13,4
2021-05-09,21,5
2021-05-16,23,5
2021-05-23,20,5
2021-05-30,17,6
2021-06-06,18,4
2021-06-13,17,4
2021-06-20,20,5
2021-06-27,18,5
2021-07-04,17,0
2021-07-11,24,5
2021-07-18,19,4
2021-07-25,15,5
2021-08-01,13,0
2021-08-08,13,4
2021-08-15,15,4
2021-08-22,16,0
2021-08-29,12,0
2021-09-05,11,0
2021-09-12,12,0
2021-09-19,9,4
2021-09-26,10,0
2021-10-03,8,0
2021-10-10,10,4
2021-10-17,10,0
