Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Sul),sintomas dengue: (Rio Grande do Sul)
2019-05-12,8,2
2019-05-19,10,3
2019-05-26,8,3
2019-06-02,6,2
2019-06-09,7,3
2019-06-16,6,2
2019-06-23,6,2
2019-06-30,4,1
2019-07-07,3,1
2019-07-14,3,1
2019-07-21,2,1
2019-07-28,2,1
2019-08-04,2,1
2019-08-11,2,1
2019-08-18,2,0
2019-08-25,2,1
2019-09-01,2,0
2019-09-08,2,0
2019-09-15,2,1
2019-09-22,2,1
2019-09-29,2,0
2019-10-06,2,0
2019-10-13,3,1
2019-10-20,3,0
2019-10-27,2,<1
2019-11-03,2,1
2019-11-10,3,1
2019-11-17,3,1
2019-11-24,2,0
2019-12-01,2,1
2019-12-08,2,1
2019-12-15,2,0
2019-12-22,2,1
2019-12-29,2,1
2020-01-05,3,1
2020-01-12,4,1
2020-01-19,4,1
2020-01-26,4,1
2020-02-02,4,1
2020-02-09,4,1
2020-02-16,6,2
2020-02-23,7,2
2020-03-01,7,3
2020-03-08,11,3
2020-03-15,13,4
2020-03-22,13,3
2020-03-29,13,3
2020-04-05,10,2
2020-04-12,11,2
2020-04-19,10,2
2020-04-26,10,2
2020-05-03,6,2
2020-05-10,8,1
2020-05-17,6,2
2020-05-24,5,1
2020-05-31,6,1
2020-06-07,5,1
2020-06-14,4,1
2020-06-21,4,1
2020-06-28,3,<1
2020-07-05,2,0
2020-07-12,3,<1
2020-07-19,3,0
2020-07-26,2,0
2020-08-02,2,0
2020-08-09,2,0
2020-08-16,2,0
2020-08-23,1,0
2020-08-30,2,0
2020-09-06,2,0
2020-09-13,1,0
2020-09-20,2,0
2020-09-27,2,0
2020-10-04,1,0
2020-10-11,1,0
2020-10-18,2,1
2020-10-25,1,0
2020-11-01,2,0
2020-11-08,2,0
2020-11-15,2,0
2020-11-22,2,1
2020-11-29,2,1
2020-12-06,2,1
2020-12-13,2,0
2020-12-20,2,1
2020-12-27,2,0
2021-01-03,2,1
2021-01-10,1,1
2021-01-17,2,0
2021-01-24,2,1
2021-01-31,2,1
2021-02-07,3,1
2021-02-14,4,1
2021-02-21,3,1
2021-02-28,4,1
2021-03-07,4,1
2021-03-14,4,1
2021-03-21,5,2
2021-03-28,6,2
2021-04-04,10,3
2021-04-11,11,3
2021-04-18,10,3
2021-04-25,9,2
2021-05-02,8,2
2021-05-09,7,2
2021-05-16,5,1
2021-05-23,5,1
2021-05-30,3,1
2021-06-06,4,1
2021-06-13,2,1
2021-06-20,2,1
2021-06-27,2,0
2021-07-04,1,0
2021-07-11,2,<1
2021-07-18,2,0
2021-07-25,0,0
2021-08-01,1,0
2021-08-08,2,0
2021-08-15,1,0
2021-08-22,2,0
2021-08-29,1,0
2021-09-05,1,0
2021-09-12,1,0
2021-09-19,1,0
2021-09-26,2,0
2021-10-03,2,0
2021-10-10,1,0
2021-10-17,2,0
2021-10-24,1,1
2021-10-31,1,1
2021-11-07,2,0
2021-11-14,1,0
2021-11-21,1,0
2021-11-28,2,0
2021-12-05,1,0
2021-12-12,1,0
2021-12-19,1,0
2021-12-26,2,1
2022-01-02,3,1
2022-01-09,2,1
2022-01-16,4,1
2022-01-23,2,0
2022-01-30,2,1
2022-02-06,3,1
2022-02-13,3,1
2022-02-20,4,1
2022-02-27,7,3
2022-03-06,13,5
2022-03-13,24,8
2022-03-20,40,13
2022-03-27,43,14
2022-04-03,47,16
2022-04-10,49,18
2022-04-17,67,27
2022-04-24,62,26
2022-05-01,52,21
2022-05-08,53,21
2022-05-15,36,15
2022-05-22,34,14
2022-05-29,19,8
2022-06-05,17,6
2022-06-12,11,5
2022-06-19,10,4
2022-06-26,8,3
2022-07-03,7,3
2022-07-10,6,3
2022-07-17,5,2
2022-07-24,5,2
2022-07-31,5,1
2022-08-07,3,1
2022-08-14,3,1
2022-08-21,3,1
2022-08-28,3,1
2022-09-04,2,1
2022-09-11,2,1
2022-09-18,2,1
2022-09-25,3,1
2022-10-02,3,1
2022-10-09,2,1
2022-10-16,3,1
2022-10-23,2,1
2022-10-30,2,1
2022-11-06,3,1
2022-11-13,4,1
2022-11-20,3,1
2022-11-27,3,1
2022-12-04,3,1
2022-12-11,3,1
2022-12-18,3,2
2022-12-25,5,3
2023-01-01,4,1
2023-01-08,3,1
2023-01-15,4,1
2023-01-22,4,1
2023-01-29,3,1
2023-02-05,4,2
2023-02-12,5,2
2023-02-19,5,2
2023-02-26,7,3
2023-03-05,10,4
2023-03-12,14,6
2023-03-19,16,7
2023-03-26,22,9
2023-04-02,24,10
2023-04-09,30,12
2023-04-16,29,12
2023-04-23,36,15
2023-04-30,32,14
2023-05-07,30,12
2023-05-14,36,14
2023-05-21,35,14
2023-05-28,23,9
2023-06-04,18,8
2023-06-11,11,4
2023-06-18,9,3
2023-06-25,9,3
2023-07-02,11,4
2023-07-09,6,2
2023-07-16,4,2
2023-07-23,4,2
2023-07-30,5,1
2023-08-06,3,1
2023-08-13,3,1
2023-08-20,4,1
2023-08-27,3,1
2023-09-03,2,1
2023-09-10,3,1
2023-09-17,3,1
2023-09-24,3,1
2023-10-01,3,1
2023-10-08,3,1
2023-10-15,3,1
2023-10-22,3,1
2023-10-29,3,1
2023-11-05,4,1
2023-11-12,4,1
2023-11-19,4,1
2023-11-26,5,1
2023-12-03,4,1
2023-12-10,4,1
2023-12-17,4,2
2023-12-24,5,2
2023-12-31,6,2
2024-01-07,7,2
2024-01-14,8,3
2024-01-21,13,4
2024-01-28,19,5
2024-02-04,53,13
2024-02-11,51,15
2024-02-18,82,23
2024-02-25,95,25
2024-03-03,91,27
2024-03-10,95,28
2024-03-17,100,23
2024-03-24,90,22
2024-03-31,94,24
2024-04-07,92,21
2024-04-14,85,21
2024-04-21,92,22
2024-04-28,65,15
2024-05-05,54,13
2024-05-12,48,12
