Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas)
2019-05-12,13,0
2019-05-19,0,0
2019-05-26,8,0
2019-06-02,9,0
2019-06-09,8,0
2019-06-16,10,0
2019-06-23,0,0
2019-06-30,6,0
2019-07-07,10,0
2019-07-14,0,0
2019-07-21,9,0
2019-07-28,0,0
2019-08-04,10,0
2019-08-11,0,0
2019-08-18,7,0
2019-08-25,6,0
2019-09-01,0,0
2019-09-08,0,0
2019-09-15,6,0
2019-09-22,7,0
2019-09-29,6,0
2019-10-06,9,0
2019-10-13,7,0
2019-10-20,0,0
2019-10-27,10,0
2019-11-03,12,0
2019-11-10,9,0
2019-11-17,9,0
2019-11-24,11,0
2019-12-01,10,0
2019-12-08,8,0
2019-12-15,8,0
2019-12-22,0,0
2019-12-29,14,0
2020-01-05,14,0
2020-01-12,11,0
2020-01-19,6,0
2020-01-26,14,0
2020-02-02,16,0
2020-02-09,18,0
2020-02-16,14,0
2020-02-23,15,0
2020-03-01,17,0
2020-03-08,17,0
2020-03-15,26,6
2020-03-22,21,0
2020-03-29,20,6
2020-04-05,29,9
2020-04-12,27,9
2020-04-19,23,10
2020-04-26,21,9
2020-05-03,10,0
2020-05-10,11,0
2020-05-17,9,0
2020-05-24,12,0
2020-05-31,13,0
2020-06-07,8,0
2020-06-14,9,0
2020-06-21,10,0
2020-06-28,5,0
2020-07-05,11,0
2020-07-12,8,0
2020-07-19,10,0
2020-07-26,6,0
2020-08-02,9,0
2020-08-09,6,0
2020-08-16,5,0
2020-08-23,6,0
2020-08-30,8,0
2020-09-06,10,0
2020-09-13,6,0
2020-09-20,7,0
2020-09-27,0,0
2020-10-04,5,0
2020-10-11,8,5
2020-10-18,7,0
2020-10-25,10,0
2020-11-01,7,0
2020-11-08,10,0
2020-11-15,10,0
2020-11-22,12,0
2020-11-29,10,0
2020-12-06,12,0
2020-12-13,12,0
2020-12-20,11,0
2020-12-27,22,6
2021-01-03,26,10
2021-01-10,16,6
2021-01-17,22,8
2021-01-24,20,0
2021-01-31,16,5
2021-02-07,14,0
2021-02-14,21,6
2021-02-21,21,8
2021-02-28,24,10
2021-03-07,16,6
2021-03-14,19,0
2021-03-21,23,5
2021-03-28,18,0
2021-04-04,18,0
2021-04-11,18,4
2021-04-18,25,6
2021-04-25,21,6
2021-05-02,20,0
2021-05-09,16,0
2021-05-16,22,0
2021-05-23,19,5
2021-05-30,12,0
2021-06-06,13,0
2021-06-13,15,0
2021-06-20,11,0
2021-06-27,13,0
2021-07-04,13,0
2021-07-11,14,0
2021-07-18,11,0
2021-07-25,10,0
2021-08-01,14,0
2021-08-08,9,0
2021-08-15,16,0
2021-08-22,9,0
2021-08-29,10,0
2021-09-05,6,0
2021-09-12,7,0
2021-09-19,10,0
2021-09-26,10,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,8,0
2021-10-24,6,0
2021-10-31,8,0
2021-11-07,0,0
2021-11-14,8,0
2021-11-21,8,0
2021-11-28,7,0
2021-12-05,7,0
2021-12-12,10,7
2021-12-19,0,0
2021-12-26,0,0
2022-01-02,8,0
2022-01-09,7,0
2022-01-16,15,0
2022-01-23,10,0
2022-01-30,7,0
2022-02-06,8,0
2022-02-13,10,4
2022-02-20,13,0
2022-02-27,13,0
2022-03-06,11,0
2022-03-13,13,0
2022-03-20,18,4
2022-03-27,14,0
2022-04-03,15,0
2022-04-10,15,4
2022-04-17,16,4
2022-04-24,15,0
2022-05-01,18,6
2022-05-08,15,0
2022-05-15,16,0
2022-05-22,20,5
2022-05-29,16,6
2022-06-05,15,0
2022-06-12,16,0
2022-06-19,13,4
2022-06-26,8,0
2022-07-03,8,0
2022-07-10,7,0
2022-07-17,11,0
2022-07-24,11,0
2022-07-31,10,0
2022-08-07,9,0
2022-08-14,9,0
2022-08-21,9,0
2022-08-28,5,0
2022-09-04,5,0
2022-09-11,5,0
2022-09-18,7,0
2022-09-25,7,0
2022-10-02,6,0
2022-10-09,9,0
2022-10-16,10,0
2022-10-23,9,0
2022-10-30,7,0
2022-11-06,12,0
2022-11-13,8,0
2022-11-20,10,0
2022-11-27,12,0
2022-12-04,10,0
2022-12-11,10,0
2022-12-18,10,0
2022-12-25,9,0
2023-01-01,8,0
2023-01-08,6,0
2023-01-15,6,0
2023-01-22,9,0
2023-01-29,9,6
2023-02-05,11,0
2023-02-12,16,6
2023-02-19,16,4
2023-02-26,17,3
2023-03-05,16,0
2023-03-12,16,6
2023-03-19,18,4
2023-03-26,20,5
2023-04-02,15,4
2023-04-09,17,5
2023-04-16,13,0
2023-04-23,16,4
2023-04-30,14,0
2023-05-07,18,5
2023-05-14,16,4
2023-05-21,16,5
2023-05-28,13,0
2023-06-04,10,0
2023-06-11,11,0
2023-06-18,10,0
2023-06-25,10,4
2023-07-02,16,0
2023-07-09,11,0
2023-07-16,8,0
2023-07-23,8,0
2023-07-30,8,0
2023-08-06,11,0
2023-08-13,8,0
2023-08-20,6,0
2023-08-27,8,0
2023-09-03,0,0
2023-09-10,6,0
2023-09-17,7,0
2023-09-24,7,0
2023-10-01,7,0
2023-10-08,5,0
2023-10-15,6,0
2023-10-22,6,0
2023-10-29,5,0
2023-11-05,9,0
2023-11-12,9,0
2023-11-19,8,0
2023-11-26,9,0
2023-12-03,13,0
2023-12-10,14,4
2023-12-17,26,14
2023-12-24,53,17
2023-12-31,88,28
2024-01-07,82,21
2024-01-14,93,26
2024-01-21,86,25
2024-01-28,66,16
2024-02-04,75,21
2024-02-11,77,23
2024-02-18,100,24
2024-02-25,94,18
2024-03-03,82,17
2024-03-10,69,15
2024-03-17,61,17
2024-03-24,45,9
2024-03-31,49,13
2024-04-07,36,10
2024-04-14,49,10
2024-04-21,36,6
2024-04-28,27,5
2024-05-05,23,5
2024-05-12,19,5
