Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins)
2019-08-18,6,0
2019-08-25,6,0
2019-09-01,0,0
2019-09-08,7,0
2019-09-15,6,0
2019-09-22,0,0
2019-09-29,6,0
2019-10-06,7,0
2019-10-13,5,0
2019-10-20,6,0
2019-10-27,8,0
2019-11-03,11,0
2019-11-10,10,0
2019-11-17,10,0
2019-11-24,8,0
2019-12-01,8,0
2019-12-08,9,0
2019-12-15,8,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,5,0
2020-01-12,8,0
2020-01-19,8,0
2020-01-26,5,0
2020-02-02,9,0
2020-02-09,8,0
2020-02-16,12,5
2020-02-23,13,0
2020-03-01,10,0
2020-03-08,17,0
2020-03-15,21,4
2020-03-22,18,0
2020-03-29,9,0
2020-04-05,9,0
2020-04-12,9,0
2020-04-19,8,4
2020-04-26,8,4
2020-05-03,9,0
2020-05-10,7,0
2020-05-17,7,0
2020-05-24,8,0
2020-05-31,6,0
2020-06-07,5,0
2020-06-14,7,0
2020-06-21,6,0
2020-06-28,4,0
2020-07-05,6,0
2020-07-12,6,0
2020-07-19,5,0
2020-07-26,6,0
2020-08-02,7,0
2020-08-09,6,0
2020-08-16,4,0
2020-08-23,5,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,7,0
2020-09-27,0,0
2020-10-04,4,0
2020-10-11,0,0
2020-10-18,4,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,6,0
2020-12-06,5,0
2020-12-13,7,0
2020-12-20,5,0
2020-12-27,0,0
2021-01-03,7,0
2021-01-10,0,0
2021-01-17,6,0
2021-01-24,6,0
2021-01-31,0,0
2021-02-07,10,0
2021-02-14,7,0
2021-02-21,9,4
2021-02-28,8,0
2021-03-07,12,0
2021-03-14,7,0
2021-03-21,8,0
2021-03-28,11,5
2021-04-04,4,0
2021-04-11,9,0
2021-04-18,9,4
2021-04-25,9,0
2021-05-02,10,0
2021-05-09,20,0
2021-05-16,25,5
2021-05-23,30,4
2021-05-30,25,5
2021-06-06,19,4
2021-06-13,13,0
2021-06-20,9,0
2021-06-27,10,0
2021-07-04,8,0
2021-07-11,4,0
2021-07-18,5,0
2021-07-25,7,0
2021-08-01,8,0
2021-08-08,11,0
2021-08-15,11,0
2021-08-22,14,0
2021-08-29,10,0
2021-09-05,10,0
2021-09-12,6,0
2021-09-19,7,0
2021-09-26,12,0
2021-10-03,6,0
2021-10-10,9,0
2021-10-17,9,0
2021-10-24,8,0
2021-10-31,11,0
2021-11-07,8,0
2021-11-14,16,0
2021-11-21,25,0
2021-11-28,29,10
2021-12-05,38,10
2021-12-12,43,12
2021-12-19,54,12
2021-12-26,68,22
2022-01-02,100,29
2022-01-09,79,20
2022-01-16,75,22
2022-01-23,65,19
2022-01-30,50,14
2022-02-06,49,14
