Categoria: Todas as categorias

Semana,dengue: (Acre),sintomas dengue: (Acre)
2019-10-27,9,0
2019-11-03,9,0
2019-11-10,15,0
2019-11-17,20,0
2019-11-24,17,0
2019-12-01,22,0
2019-12-08,30,8
2019-12-15,20,0
2019-12-22,23,0
2019-12-29,24,0
2020-01-05,19,16
2020-01-12,16,0
2020-01-19,19,0
2020-01-26,14,0
2020-02-02,14,0
2020-02-09,12,0
2020-02-16,15,0
2020-02-23,9,0
2020-03-01,15,0
2020-03-08,22,0
2020-03-15,18,0
2020-03-22,13,0
2020-03-29,8,0
2020-04-05,6,0
2020-04-12,9,0
2020-04-19,8,0
2020-04-26,10,0
2020-05-03,11,0
2020-05-10,14,0
2020-05-17,11,0
2020-05-24,10,0
2020-05-31,13,5
2020-06-07,14,6
2020-06-14,13,0
2020-06-21,8,0
2020-06-28,0,0
2020-07-05,13,0
2020-07-12,6,0
2020-07-19,8,0
2020-07-26,6,0
2020-08-02,0,0
2020-08-09,0,0
2020-08-16,0,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,8,0
2020-09-13,6,0
2020-09-20,0,0
2020-09-27,7,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,8,0
2020-11-01,8,0
2020-11-08,7,0
2020-11-15,7,0
2020-11-22,16,8
2020-11-29,15,5
2020-12-06,16,0
2020-12-13,15,0
2020-12-20,24,13
2020-12-27,28,8
2021-01-03,46,13
2021-01-10,54,21
2021-01-17,50,17
2021-01-24,56,18
2021-01-31,69,20
2021-02-07,59,16
2021-02-14,70,22
2021-02-21,62,19
2021-02-28,52,19
2021-03-07,45,14
2021-03-14,36,11
2021-03-21,25,10
2021-03-28,24,0
2021-04-04,19,8
2021-04-11,14,0
2021-04-18,13,0
2021-04-25,11,0
2021-05-02,6,0
2021-05-09,6,0
2021-05-16,11,0
2021-05-23,0,0
2021-05-30,6,0
2021-06-06,6,0
2021-06-13,0,0
2021-06-20,5,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,7,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,6,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,0,0
2021-11-14,0,0
2021-11-21,0,0
2021-11-28,8,0
2021-12-05,6,0
2021-12-12,14,0
2021-12-19,9,0
2021-12-26,11,0
2022-01-02,12,0
2022-01-09,14,6
2022-01-16,13,0
2022-01-23,14,0
2022-01-30,11,6
2022-02-06,6,0
2022-02-13,8,0
2022-02-20,7,0
2022-02-27,9,0
2022-03-06,8,0
2022-03-13,10,0
2022-03-20,8,0
