Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba)
2019-10-27,7,2
2019-11-03,8,0
2019-11-10,6,0
2019-11-17,5,0
2019-11-24,5,0
2019-12-01,7,0
2019-12-08,4,0
2019-12-15,4,0
2019-12-22,5,0
2019-12-29,3,0
2020-01-05,3,0
2020-01-12,5,2
2020-01-19,6,0
2020-01-26,8,0
2020-02-02,8,0
2020-02-09,9,2
2020-02-16,8,2
2020-02-23,11,0
2020-03-01,13,4
2020-03-08,13,0
2020-03-15,21,3
2020-03-22,16,2
2020-03-29,13,2
2020-04-05,11,4
2020-04-12,11,3
2020-04-19,14,3
2020-04-26,17,5
2020-05-03,16,6
2020-05-10,22,7
2020-05-17,22,7
2020-05-24,24,8
2020-05-31,24,6
2020-06-07,21,6
2020-06-14,18,6
2020-06-21,22,5
2020-06-28,23,7
2020-07-05,23,4
2020-07-12,22,6
2020-07-19,21,8
2020-07-26,14,4
2020-08-02,12,3
2020-08-09,9,2
2020-08-16,11,5
2020-08-23,9,2
2020-08-30,8,0
2020-09-06,9,2
2020-09-13,8,0
2020-09-20,10,0
2020-09-27,9,0
2020-10-04,7,2
2020-10-11,6,0
2020-10-18,8,0
2020-10-25,7,0
2020-11-01,6,0
2020-11-08,6,0
2020-11-15,7,3
2020-11-22,5,2
2020-11-29,8,3
2020-12-06,6,0
2020-12-13,5,0
2020-12-20,4,0
2020-12-27,6,0
2021-01-03,4,0
2021-01-10,4,0
2021-01-17,4,0
2021-01-24,3,0
2021-01-31,4,0
2021-02-07,5,0
2021-02-14,5,0
2021-02-21,7,2
2021-02-28,5,2
2021-03-07,9,3
2021-03-14,9,2
2021-03-21,10,2
2021-03-28,9,2
2021-04-04,7,0
2021-04-11,8,2
2021-04-18,8,2
2021-04-25,9,3
2021-05-02,13,2
2021-05-09,18,6
2021-05-16,22,5
2021-05-23,20,6
2021-05-30,18,5
2021-06-06,20,5
2021-06-13,18,5
2021-06-20,17,5
2021-06-27,20,5
2021-07-04,19,3
2021-07-11,21,5
2021-07-18,19,5
2021-07-25,16,4
2021-08-01,12,2
2021-08-08,10,3
2021-08-15,15,4
2021-08-22,14,0
2021-08-29,10,3
2021-09-05,9,3
2021-09-12,10,0
2021-09-19,9,3
2021-09-26,8,3
2021-10-03,7,0
2021-10-10,7,0
2021-10-17,8,0
2021-10-24,7,3
2021-10-31,5,0
2021-11-07,7,0
2021-11-14,7,0
2021-11-21,6,0
2021-11-28,8,3
2021-12-05,8,0
2021-12-12,9,3
2021-12-19,5,3
2021-12-26,6,0
2022-01-02,7,3
2022-01-09,8,0
2022-01-16,8,3
2022-01-23,9,3
2022-01-30,10,4
2022-02-06,8,4
2022-02-13,11,4
2022-02-20,11,3
2022-02-27,12,4
2022-03-06,12,1
2022-03-13,16,3
2022-03-20,17,3
2022-03-27,21,5
2022-04-03,31,9
2022-04-10,31,7
2022-04-17,41,11
2022-04-24,53,14
2022-05-01,50,13
2022-05-08,61,17
2022-05-15,77,21
2022-05-22,67,17
2022-05-29,57,15
2022-06-05,67,17
2022-06-12,65,18
2022-06-19,61,20
2022-06-26,51,17
2022-07-03,48,14
2022-07-10,44,14
2022-07-17,36,11
2022-07-24,31,8
2022-07-31,28,8
2022-08-07,21,5
2022-08-14,21,4
2022-08-21,14,4
2022-08-28,14,4
2022-09-04,11,3
2022-09-11,11,3
2022-09-18,10,2
2022-09-25,7,2
2022-10-02,7,2
2022-10-09,7,0
2022-10-16,7,2
2022-10-23,7,2
