Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2019-10-27,7,7
2019-11-03,9,0
2019-11-10,9,0
2019-11-17,8,0
2019-11-24,9,0
2019-12-01,8,0
2019-12-08,6,0
2019-12-15,0,0
2019-12-22,6,0
2019-12-29,6,0
2020-01-05,4,0
2020-01-12,5,0
2020-01-19,5,0
2020-01-26,4,0
2020-02-02,10,0
2020-02-09,6,0
2020-02-16,14,0
2020-02-23,9,0
2020-03-01,8,0
2020-03-08,13,4
2020-03-15,18,0
2020-03-22,14,0
2020-03-29,15,3
2020-04-05,15,5
2020-04-12,16,4
2020-04-19,13,3
2020-04-26,22,7
2020-05-03,26,9
2020-05-10,26,10
2020-05-17,24,7
2020-05-24,29,8
2020-05-31,27,6
2020-06-07,21,5
2020-06-14,14,6
2020-06-21,15,3
2020-06-28,17,3
2020-07-05,16,3
2020-07-12,12,0
2020-07-19,13,0
2020-07-26,10,0
2020-08-02,13,3
2020-08-09,11,0
2020-08-16,9,0
2020-08-23,11,0
2020-08-30,8,0
2020-09-06,6,0
2020-09-13,8,0
2020-09-20,7,0
2020-09-27,7,0
2020-10-04,5,0
2020-10-11,7,0
2020-10-18,4,0
2020-10-25,6,0
2020-11-01,6,0
2020-11-08,6,0
2020-11-15,0,0
2020-11-22,6,0
2020-11-29,5,0
2020-12-06,6,0
2020-12-13,4,0
2020-12-20,4,0
2020-12-27,4,0
2021-01-03,6,0
2021-01-10,4,0
2021-01-17,5,0
2021-01-24,4,0
2021-01-31,0,0
2021-02-07,4,0
2021-02-14,0,0
2021-02-21,4,0
2021-02-28,6,0
2021-03-07,8,0
2021-03-14,6,0
2021-03-21,6,0
2021-03-28,7,0
2021-04-04,7,0
2021-04-11,7,0
2021-04-18,7,0
2021-04-25,11,0
2021-05-02,10,0
2021-05-09,13,0
2021-05-16,14,3
2021-05-23,20,5
2021-05-30,18,4
2021-06-06,17,4
2021-06-13,18,5
2021-06-20,14,4
2021-06-27,13,0
2021-07-04,20,4
2021-07-11,22,4
2021-07-18,20,5
2021-07-25,24,7
2021-08-01,23,6
2021-08-08,18,7
2021-08-15,23,6
2021-08-22,21,6
2021-08-29,21,4
2021-09-05,18,0
2021-09-12,13,0
2021-09-19,15,4
2021-09-26,14,0
2021-10-03,13,0
2021-10-10,9,0
2021-10-17,13,0
2021-10-24,14,4
2021-10-31,12,0
2021-11-07,12,0
2021-11-14,10,0
2021-11-21,12,0
2021-11-28,8,0
2021-12-05,9,0
2021-12-12,6,0
2021-12-19,10,0
2021-12-26,7,0
2022-01-02,12,4
2022-01-09,9,4
2022-01-16,10,0
2022-01-23,6,0
2022-01-30,9,0
2022-02-06,8,0
2022-02-13,8,0
2022-02-20,9,3
2022-02-27,8,0
2022-03-06,8,3
2022-03-13,9,0
2022-03-20,13,3
2022-03-27,19,5
2022-04-03,21,5
2022-04-10,20,6
2022-04-17,28,9
2022-04-24,51,14
2022-05-01,56,18
2022-05-08,82,24
2022-05-15,97,34
2022-05-22,97,30
2022-05-29,99,30
2022-06-05,89,28
2022-06-12,83,29
2022-06-19,97,39
2022-06-26,91,37
2022-07-03,72,26
2022-07-10,66,18
2022-07-17,63,20
2022-07-24,47,16
2022-07-31,34,10
2022-08-07,34,11
2022-08-14,30,10
2022-08-21,21,6
2022-08-28,18,6
2022-09-04,13,3
