Categoria: Todas as categorias

Semana,dengue: (Goiás),sintomas dengue: (Goiás)
2021-10-31,5,1
2021-11-07,6,1
2021-11-14,8,2
2021-11-21,9,2
2021-11-28,11,3
2021-12-05,14,4
2021-12-12,17,4
2021-12-19,23,7
2021-12-26,32,9
2022-01-02,42,14
2022-01-09,41,14
2022-01-16,47,14
2022-01-23,48,12
2022-01-30,46,12
2022-02-06,42,10
2022-02-13,42,9
2022-02-20,41,10
2022-02-27,45,9
2022-03-06,47,9
2022-03-13,47,10
2022-03-20,55,11
2022-03-27,58,12
2022-04-03,54,11
2022-04-10,52,12
2022-04-17,59,13
2022-04-24,52,12
2022-05-01,51,11
2022-05-08,50,12
2022-05-15,36,8
2022-05-22,34,9
2022-05-29,29,8
2022-06-05,26,9
2022-06-12,24,7
2022-06-19,19,6
2022-06-26,14,5
2022-07-03,11,3
2022-07-10,8,3
2022-07-17,8,2
2022-07-24,6,2
2022-07-31,7,2
2022-08-07,6,1
2022-08-14,6,2
2022-08-21,6,1
2022-08-28,6,2
2022-09-04,6,2
2022-09-11,7,2
2022-09-18,6,2
2022-09-25,6,1
2022-10-02,5,1
2022-10-09,6,2
2022-10-16,7,2
2022-10-23,7,2
2022-10-30,5,1
2022-11-06,8,2
2022-11-13,7,2
2022-11-20,7,2
2022-11-27,8,3
2022-12-04,9,3
2022-12-11,10,4
2022-12-18,10,4
2022-12-25,11,4
2023-01-01,12,3
2023-01-08,10,3
2023-01-15,11,4
2023-01-22,11,3
2023-01-29,11,3
2023-02-05,12,3
2023-02-12,14,4
2023-02-19,11,3
2023-02-26,12,3
2023-03-05,12,3
2023-03-12,14,4
2023-03-19,17,5
2023-03-26,19,6
2023-04-02,16,5
2023-04-09,15,5
2023-04-16,16,4
2023-04-23,15,4
2023-04-30,15,4
2023-05-07,13,4
2023-05-14,12,3
2023-05-21,10,3
2023-05-28,9,3
2023-06-04,7,2
2023-06-11,8,2
2023-06-18,7,2
2023-06-25,6,1
2023-07-02,7,1
2023-07-09,5,1
2023-07-16,4,1
2023-07-23,4,1
2023-07-30,4,1
2023-08-06,4,1
2023-08-13,5,1
2023-08-20,5,2
2023-08-27,5,1
2023-09-03,6,1
2023-09-10,6,1
2023-09-17,5,2
2023-09-24,5,1
2023-10-01,6,2
2023-10-08,6,1
2023-10-15,7,2
2023-10-22,6,2
2023-10-29,6,1
2023-11-05,7,1
2023-11-12,6,2
2023-11-19,7,1
2023-11-26,10,2
2023-12-03,11,2
2023-12-10,12,3
2023-12-17,13,3
2023-12-24,17,4
2023-12-31,20,4
2024-01-07,23,5
2024-01-14,29,6
2024-01-21,41,8
2024-01-28,58,12
2024-02-04,91,15
2024-02-11,83,19
2024-02-18,100,16
2024-02-25,96,16
2024-03-03,88,13
2024-03-10,77,12
2024-03-17,72,12
2024-03-24,63,11
2024-03-31,65,10
2024-04-07,68,12
2024-04-14,80,12
2024-04-21,72,12
2024-04-28,66,10
2024-05-05,55,9
2024-05-12,49,8
2024-05-19,42,6
2024-05-26,31,5
2024-06-02,25,3
2024-06-09,19,3
2024-06-16,17,2
2024-06-23,13,2
2024-06-30,11,2
2024-07-07,10,2
2024-07-14,9,1
2024-07-21,9,2
2024-07-28,8,2
