Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia)
2019-09-29,7,0
2019-10-06,6,0
2019-10-13,0,0
2019-10-20,8,5
2019-10-27,8,0
2019-11-03,11,0
2019-11-10,8,0
2019-11-17,9,0
2019-11-24,9,5
2019-12-01,7,0
2019-12-08,7,0
2019-12-15,14,0
2019-12-22,10,0
2019-12-29,9,0
2020-01-05,14,6
2020-01-12,14,0
2020-01-19,17,6
2020-01-26,16,7
2020-02-02,15,0
2020-02-09,24,6
2020-02-16,22,6
2020-02-23,27,8
2020-03-01,28,8
2020-03-08,31,7
2020-03-15,39,10
2020-03-22,35,9
2020-03-29,23,6
2020-04-05,19,4
2020-04-12,23,5
2020-04-19,18,0
2020-04-26,18,5
2020-05-03,21,5
2020-05-10,18,5
2020-05-17,24,5
2020-05-24,25,7
2020-05-31,19,7
2020-06-07,18,0
2020-06-14,21,8
2020-06-21,14,4
2020-06-28,14,0
2020-07-05,17,6
2020-07-12,14,0
2020-07-19,13,5
2020-07-26,9,0
2020-08-02,11,0
2020-08-09,8,0
2020-08-16,8,0
2020-08-23,8,0
2020-08-30,7,0
2020-09-06,10,0
2020-09-13,9,0
2020-09-20,8,0
2020-09-27,7,0
2020-10-04,7,0
2020-10-11,5,0
2020-10-18,8,4
2020-10-25,8,0
2020-11-01,5,0
2020-11-08,10,0
2020-11-15,10,0
2020-11-22,10,0
2020-11-29,9,0
2020-12-06,12,0
2020-12-13,10,0
2020-12-20,9,0
2020-12-27,11,6
2021-01-03,16,0
2021-01-10,17,6
2021-01-17,16,6
2021-01-24,21,7
2021-01-31,13,5
2021-02-07,19,6
2021-02-14,18,0
2021-02-21,24,9
2021-02-28,22,7
2021-03-07,25,7
2021-03-14,23,6
2021-03-21,24,0
2021-03-28,21,5
2021-04-04,20,5
2021-04-11,16,0
2021-04-18,12,0
2021-04-25,14,0
2021-05-02,12,0
2021-05-09,13,0
2021-05-16,15,0
2021-05-23,16,0
2021-05-30,8,0
2021-06-06,9,0
2021-06-13,11,0
2021-06-20,12,0
2021-06-27,6,0
2021-07-04,5,0
2021-07-11,6,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,6,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,6,0
2021-09-12,0,0
2021-09-19,5,0
2021-09-26,7,0
2021-10-03,6,0
2021-10-10,7,0
2021-10-17,8,0
2021-10-24,8,0
2021-10-31,8,0
2021-11-07,11,0
2021-11-14,7,0
2021-11-21,18,5
2021-11-28,10,0
2021-12-05,9,0
2021-12-12,12,0
2021-12-19,13,0
2021-12-26,14,0
2022-01-02,25,9
2022-01-09,28,12
2022-01-16,29,11
2022-01-23,27,8
2022-01-30,29,8
2022-02-06,33,9
2022-02-13,25,8
2022-02-20,31,5
2022-02-27,26,9
2022-03-06,30,6
2022-03-13,32,5
2022-03-20,38,8
2022-03-27,41,8
2022-04-03,35,8
2022-04-10,40,8
2022-04-17,34,10
2022-04-24,39,11
2022-05-01,32,7
2022-05-08,35,10
2022-05-15,33,10
2022-05-22,31,7
2022-05-29,29,7
2022-06-05,28,6
2022-06-12,30,8
2022-06-19,26,9
2022-06-26,27,9
2022-07-03,25,6
