Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2019-03-17,12,0,0
2019-03-24,15,0,0
2019-03-31,12,5,0
2019-04-07,15,5,0
2019-04-14,13,0,0
2019-04-21,19,5,0
2019-04-28,18,4,0
2019-05-05,12,0,0
2019-05-12,18,5,0
2019-05-19,18,6,0
2019-05-26,19,0,0
2019-06-02,12,4,0
2019-06-09,19,7,0
2019-06-16,10,0,0
2019-06-23,9,0,0
2019-06-30,10,0,0
2019-07-07,5,0,0
2019-07-14,4,3,0
2019-07-21,9,0,0
2019-07-28,5,0,0
2019-08-04,4,0,0
2019-08-11,0,0,0
2019-08-18,4,0,0
2019-08-25,4,0,0
2019-09-01,6,0,0
2019-09-08,0,0,0
2019-09-15,5,0,0
2019-09-22,5,0,0
2019-09-29,3,0,0
2019-10-06,0,0,0
2019-10-13,3,0,0
2019-10-20,5,0,0
2019-10-27,0,0,0
2019-11-03,4,0,0
2019-11-10,5,0,0
2019-11-17,5,0,0
2019-11-24,5,0,0
2019-12-01,0,0,0
2019-12-08,4,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,6,0,0
2020-01-12,4,0,0
2020-01-19,3,0,0
2020-01-26,6,0,0
2020-02-02,4,0,0
2020-02-09,7,0,0
2020-02-16,10,3,0
2020-02-23,7,3,0
2020-03-01,10,3,0
2020-03-08,13,3,0
2020-03-15,16,3,0
2020-03-22,14,4,0
2020-03-29,10,2,0
2020-04-05,9,0,0
2020-04-12,6,0,0
2020-04-19,10,0,0
2020-04-26,10,3,0
2020-05-03,12,4,0
2020-05-10,8,2,0
2020-05-17,9,2,0
2020-05-24,9,0,0
2020-05-31,12,3,0
2020-06-07,8,0,0
2020-06-14,7,2,0
2020-06-21,9,4,0
2020-06-28,7,3,0
2020-07-05,7,0,0
2020-07-12,6,0,0
2020-07-19,3,0,0
2020-07-26,3,0,0
2020-08-02,5,0,0
2020-08-09,3,0,0
2020-08-16,4,0,0
2020-08-23,2,0,0
2020-08-30,3,0,0
2020-09-06,0,0,0
2020-09-13,4,0,0
2020-09-20,0,0,0
2020-09-27,2,0,0
2020-10-04,0,0,0
2020-10-11,3,3,0
2020-10-18,4,0,0
2020-10-25,0,0,0
2020-11-01,3,0,0
2020-11-08,3,0,0
2020-11-15,0,3,0
2020-11-22,3,0,0
2020-11-29,4,0,0
2020-12-06,6,0,0
2020-12-13,2,0,0
2020-12-20,0,0,0
2020-12-27,0,0,0
2021-01-03,3,0,0
2021-01-10,0,3,0
2021-01-17,0,3,0
2021-01-24,3,0,0
2021-01-31,3,0,0
2021-02-07,4,0,0
2021-02-14,5,5,0
2021-02-21,4,0,0
2021-02-28,2,0,0
2021-03-07,8,0,0
2021-03-14,6,0,0
2021-03-21,5,0,0
2021-03-28,7,2,0
2021-04-04,10,3,0
2021-04-11,7,2,0
2021-04-18,8,3,0
2021-04-25,10,0,0
2021-05-02,8,3,0
2021-05-09,8,0,0
2021-05-16,11,2,0
2021-05-23,7,0,0
2021-05-30,10,3,0
2021-06-06,11,4,0
2021-06-13,10,2,0
2021-06-20,8,0,0
2021-06-27,5,0,0
2021-07-04,6,3,0
2021-07-11,5,0,0
2021-07-18,6,0,0
2021-07-25,5,4,0
2021-08-01,5,0,0
2021-08-08,5,0,0
2021-08-15,5,3,0
2021-08-22,7,0,0
2021-08-29,5,0,0
2021-09-05,5,0,0
2021-09-12,4,0,0
