Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins),tratamento dengue: (Tocantins)
2019-03-17,31,7,0
2019-03-24,51,0,0
2019-03-31,37,8,0
2019-04-07,38,6,0
2019-04-14,33,0,0
2019-04-21,30,0,0
2019-04-28,24,0,0
2019-05-05,27,0,0
2019-05-12,27,8,0
2019-05-19,27,6,0
2019-05-26,11,0,0
2019-06-02,13,0,0
2019-06-09,8,0,0
2019-06-16,7,0,0
2019-06-23,8,0,0
2019-06-30,9,0,0
2019-07-07,0,0,7
2019-07-14,0,0,0
2019-07-21,0,7,0
2019-07-28,0,0,0
2019-08-04,7,0,0
2019-08-11,0,10,0
2019-08-18,0,0,0
2019-08-25,0,0,0
2019-09-01,0,0,0
2019-09-08,0,0,0
2019-09-15,11,0,0
2019-09-22,0,0,0
2019-09-29,6,0,0
2019-10-06,8,0,0
2019-10-13,0,0,0
2019-10-20,8,0,0
2019-10-27,7,0,0
2019-11-03,12,0,0
2019-11-10,0,0,0
2019-11-17,11,0,0
2019-11-24,10,0,0
2019-12-01,9,0,0
2019-12-08,9,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,12,0,0
2020-01-19,8,0,0
2020-01-26,0,0,0
2020-02-02,9,0,0
2020-02-09,0,0,0
2020-02-16,12,0,0
2020-02-23,16,0,0
2020-03-01,9,0,0
2020-03-08,12,0,0
2020-03-15,14,0,0
2020-03-22,16,0,0
2020-03-29,8,0,0
2020-04-05,8,0,0
2020-04-12,11,0,0
2020-04-19,7,0,0
2020-04-26,11,6,0
2020-05-03,9,0,0
2020-05-10,0,0,0
2020-05-17,0,0,0
2020-05-24,8,0,0
2020-05-31,9,0,0
2020-06-07,0,0,0
2020-06-14,6,10,0
2020-06-21,7,0,0
2020-06-28,5,0,0
2020-07-05,6,0,0
2020-07-12,6,0,0
2020-07-19,0,0,0
2020-07-26,0,0,0
2020-08-02,5,0,0
2020-08-09,7,0,0
2020-08-16,0,0,0
2020-08-23,0,0,5
2020-08-30,5,0,0
2020-09-06,0,0,0
2020-09-13,0,0,0
2020-09-20,6,0,0
2020-09-27,0,0,0
2020-10-04,0,0,0
2020-10-11,7,0,0
2020-10-18,0,0,0
2020-10-25,0,0,0
2020-11-01,0,0,0
2020-11-08,0,0,0
2020-11-15,0,0,0
2020-11-22,0,0,0
2020-11-29,8,0,0
2020-12-06,0,0,0
2020-12-13,0,0,0
2020-12-20,0,0,0
2020-12-27,0,0,0
2021-01-03,8,0,0
2021-01-10,5,0,0
2021-01-17,10,0,0
2021-01-24,8,0,0
2021-01-31,5,0,0
2021-02-07,0,0,0
2021-02-14,5,0,0
2021-02-21,7,0,0
2021-02-28,11,0,0
2021-03-07,13,0,0
2021-03-14,8,0,0
2021-03-21,11,0,0
2021-03-28,10,0,0
2021-04-04,0,0,0
2021-04-11,8,0,0
2021-04-18,7,0,0
2021-04-25,7,0,0
2021-05-02,11,0,0
2021-05-09,17,0,0
2021-05-16,22,0,0
2021-05-23,26,9,7
2021-05-30,21,8,0
2021-06-06,22,5,0
2021-06-13,16,0,0
2021-06-20,13,0,0
2021-06-27,8,0,0
2021-07-04,6,0,8
2021-07-11,5,0,0
2021-07-18,0,0,0
2021-07-25,0,5,0
2021-08-01,7,0,0
2021-08-08,13,0,0
2021-08-15,0,0,0
2021-08-22,17,0,0
2021-08-29,9,0,0
2021-09-05,7,0,0
2021-09-12,6,7,0
2021-09-19,9,0,0
2021-09-26,12,0,0
2021-10-03,0,0,0
2021-10-10,10,0,0
2021-10-17,8,0,0
2021-10-24,8,0,0
2021-10-31,9,0,0
2021-11-07,8,0,0
2021-11-14,11,0,0
2021-11-21,19,0,0
2021-11-28,30,12,0
2021-12-05,28,8,0
2021-12-12,41,11,0
2021-12-19,60,20,0
2021-12-26,72,23,0
2022-01-02,100,32,0
2022-01-09,76,24,0
2022-01-16,69,23,0
2022-01-23,67,20,0
2022-01-30,48,11,0
2022-02-06,46,16,0
2022-02-13,38,10,0
2022-02-20,27,5,0
2022-02-27,28,8,0
2022-03-06,28,8,0
2022-03-13,42,8,0
2022-03-20,54,10,0
2022-03-27,43,6,0
2022-04-03,42,6,0
2022-04-10,31,7,0
2022-04-17,35,7,0
2022-04-24,34,8,0
2022-05-01,40,9,0
2022-05-08,40,7,0
2022-05-15,37,9,0
2022-05-22,31,7,0
2022-05-29,25,8,0
2022-06-05,28,6,0
2022-06-12,19,7,0
2022-06-19,14,5,0
2022-06-26,11,0,0
2022-07-03,8,0,0
2022-07-10,14,4,0
2022-07-17,10,0,0
2022-07-24,9,0,0
2022-07-31,8,0,0
2022-08-07,9,4,0
2022-08-14,5,4,0
2022-08-21,8,0,0
2022-08-28,8,5,0
2022-09-04,5,0,0
2022-09-11,9,0,0
2022-09-18,0,0,0
2022-09-25,7,0,0
2022-10-02,0,0,0
2022-10-09,0,0,0
2022-10-16,5,0,0
2022-10-23,8,0,0
2022-10-30,7,0,0
2022-11-06,12,0,0
2022-11-13,6,0,0
2022-11-20,11,0,0
2022-11-27,11,0,0
2022-12-04,12,0,0
2022-12-11,10,4,0
2022-12-18,7,4,0
2022-12-25,7,0,0
2023-01-01,14,5,0
2023-01-08,10,4,0
2023-01-15,13,0,0
