Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2019-03-17,70,20,0
2019-03-24,100,20,0
2019-03-31,85,20,0
2019-04-07,84,24,0
2019-04-14,65,17,0
2019-04-21,57,14,0
2019-04-28,56,18,0
2019-05-05,52,13,0
2019-05-12,46,9,4
2019-05-19,43,13,0
2019-05-26,29,11,0
2019-06-02,24,5,0
2019-06-09,24,7,0
2019-06-16,23,5,0
2019-06-23,21,5,0
2019-06-30,16,4,0
2019-07-07,7,0,0
2019-07-14,8,3,0
2019-07-21,9,3,0
2019-07-28,8,5,0
2019-08-04,7,0,0
2019-08-11,8,0,0
2019-08-18,8,3,0
2019-08-25,7,5,0
2019-09-01,3,3,0
2019-09-08,4,0,0
2019-09-15,9,0,0
2019-09-22,11,0,0
2019-09-29,7,0,0
2019-10-06,5,0,0
2019-10-13,5,2,0
2019-10-20,7,5,0
2019-10-27,5,0,0
2019-11-03,6,0,0
2019-11-10,7,3,0
2019-11-17,10,0,0
2019-11-24,8,0,0
2019-12-01,11,0,0
2019-12-08,11,3,0
2019-12-15,11,0,0
2019-12-22,18,6,0
2019-12-29,17,4,0
2020-01-05,23,3,0
2020-01-12,31,7,0
2020-01-19,50,10,0
2020-01-26,46,11,0
2020-02-02,50,9,0
2020-02-09,60,13,2
2020-02-16,58,14,0
2020-02-23,62,18,0
2020-03-01,67,16,0
2020-03-08,75,17,0
2020-03-15,70,18,0
2020-03-22,61,14,0
2020-03-29,48,13,0
2020-04-05,46,12,0
2020-04-12,40,6,2
2020-04-19,34,6,0
2020-04-26,36,7,0
2020-05-03,23,3,0
2020-05-10,18,3,0
2020-05-17,20,5,0
2020-05-24,16,4,0
2020-05-31,12,3,0
2020-06-07,14,3,0
2020-06-14,13,3,0
2020-06-21,17,4,0
2020-06-28,10,4,0
2020-07-05,14,3,0
2020-07-12,13,3,0
2020-07-19,11,4,0
2020-07-26,13,4,0
2020-08-02,7,2,0
2020-08-09,10,2,0
2020-08-16,6,3,0
2020-08-23,6,0,0
2020-08-30,8,3,0
2020-09-06,6,2,0
2020-09-13,5,2,0
2020-09-20,8,3,0
2020-09-27,5,0,0
2020-10-04,5,0,0
2020-10-11,5,0,0
2020-10-18,5,0,0
2020-10-25,6,0,0
2020-11-01,8,3,0
2020-11-08,7,0,0
2020-11-15,9,3,0
2020-11-22,11,0,0
2020-11-29,8,4,0
2020-12-06,9,2,2
2020-12-13,8,3,0
2020-12-20,13,4,0
2020-12-27,13,3,0
2021-01-03,15,4,0
2021-01-10,11,3,0
2021-01-17,11,4,0
2021-01-24,12,4,0
2021-01-31,19,5,0
2021-02-07,19,8,0
2021-02-14,21,5,0
2021-02-21,16,5,0
2021-02-28,22,8,0
2021-03-07,18,10,2
2021-03-14,22,7,0
2021-03-21,23,8,0
2021-03-28,22,8,0
2021-04-04,19,7,0
2021-04-11,17,6,0
2021-04-18,18,4,0
2021-04-25,18,4,0
2021-05-02,14,5,0
2021-05-09,14,3,0
2021-05-16,14,4,0
2021-05-23,11,3,0
2021-05-30,14,5,0
2021-06-06,9,2,0
2021-06-13,10,4,0
2021-06-20,10,0,0
2021-06-27,3,0,0
2021-07-04,6,0,0
2021-07-11,3,0,0
2021-07-18,6,0,0
2021-07-25,3,0,0
2021-08-01,0,0,0
2021-08-08,5,0,0
2021-08-15,4,0,0
2021-08-22,5,0,0
2021-08-29,8,3,0
2021-09-05,3,0,0
2021-09-12,4,0,0
2021-09-19,5,0,0
2021-09-26,8,0,0
2021-10-03,3,0,0
2021-10-10,4,0,0
2021-10-17,3,0,0
2021-10-24,4,0,0
2021-10-31,5,0,0
2021-11-07,6,2,0
2021-11-14,4,0,0
2021-11-21,6,0,0
2021-11-28,6,0,0
2021-12-05,0,0,0
2021-12-12,8,0,0
2021-12-19,7,0,0
2021-12-26,4,0,0
2022-01-02,7,0,0
2022-01-09,13,4,0
2022-01-16,14,6,0
2022-01-23,9,5,0
2022-01-30,7,0,0
2022-02-06,11,8,0
2022-02-13,8,0,0
2022-02-20,9,2,3
2022-02-27,12,4,0
2022-03-06,9,2,0
2022-03-13,16,3,0
2022-03-20,15,4,0
2022-03-27,16,5,0
2022-04-03,24,5,0
2022-04-10,23,6,2
2022-04-17,32,10,0
2022-04-24,43,12,0
2022-05-01,39,9,0
2022-05-08,45,9,0
