Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão),tratamento dengue: (Maranhão)
2019-03-17,18,4,0
2019-03-24,22,4,0
2019-03-31,17,0,0
2019-04-07,22,7,0
2019-04-14,14,4,0
2019-04-21,20,0,0
2019-04-28,18,0,0
2019-05-05,22,5,0
2019-05-12,16,0,0
2019-05-19,16,0,0
2019-05-26,14,0,0
2019-06-02,14,5,0
2019-06-09,12,0,0
2019-06-16,12,4,0
2019-06-23,15,0,0
2019-06-30,10,0,0
2019-07-07,9,0,0
2019-07-14,6,0,0
2019-07-21,6,0,0
2019-07-28,0,0,0
2019-08-04,6,9,0
2019-08-11,4,0,0
2019-08-18,4,0,0
2019-08-25,8,0,4
2019-09-01,5,0,0
2019-09-08,7,3,0
2019-09-15,9,0,0
2019-09-22,4,0,0
2019-09-29,7,0,0
2019-10-06,5,0,0
2019-10-13,5,0,0
2019-10-20,6,0,0
2019-10-27,4,0,3
2019-11-03,4,0,0
2019-11-10,3,0,0
2019-11-17,6,0,0
2019-11-24,5,0,0
2019-12-01,5,0,0
2019-12-08,4,0,0
2019-12-15,5,0,0
2019-12-22,5,0,0
2019-12-29,0,0,0
2020-01-05,6,4,0
2020-01-12,10,0,0
2020-01-19,9,0,0
2020-01-26,10,0,0
2020-02-02,10,0,0
2020-02-09,12,5,0
2020-02-16,17,6,0
2020-02-23,15,5,0
2020-03-01,21,3,0
2020-03-08,23,6,3
2020-03-15,24,5,0
2020-03-22,19,4,0
2020-03-29,18,7,0
2020-04-05,13,3,0
2020-04-12,17,5,0
2020-04-19,17,5,0
2020-04-26,18,7,0
2020-05-03,13,6,0
2020-05-10,13,5,0
2020-05-17,8,6,0
2020-05-24,9,3,0
2020-05-31,9,2,0
2020-06-07,6,0,0
2020-06-14,7,2,0
2020-06-21,5,0,0
2020-06-28,4,0,0
2020-07-05,6,3,0
2020-07-12,5,0,0
2020-07-19,4,0,0
2020-07-26,0,0,0
2020-08-02,4,0,0
2020-08-09,6,0,0
2020-08-16,2,0,0
2020-08-23,3,0,0
2020-08-30,6,0,0
2020-09-06,4,0,0
2020-09-13,0,0,0
2020-09-20,5,0,2
2020-09-27,4,0,0
2020-10-04,7,2,0
2020-10-11,5,0,0
2020-10-18,6,0,0
2020-10-25,6,0,0
2020-11-01,0,0,0
2020-11-08,5,0,0
2020-11-15,5,0,0
2020-11-22,4,0,0
2020-11-29,4,0,0
2020-12-06,5,0,0
2020-12-13,5,0,0
2020-12-20,7,0,0
2020-12-27,6,0,0
2021-01-03,7,0,0
2021-01-10,5,0,0
2021-01-17,4,0,0
2021-01-24,6,0,0
2021-01-31,5,0,0
2021-02-07,7,0,0
2021-02-14,6,0,0
2021-02-21,4,0,0
2021-02-28,8,4,0
2021-03-07,10,0,0
2021-03-14,8,2,0
2021-03-21,8,2,0
2021-03-28,5,0,0
2021-04-04,11,0,0
2021-04-11,6,0,0
2021-04-18,6,0,0
2021-04-25,8,2,0
2021-05-02,8,2,0
2021-05-09,8,0,0
2021-05-16,8,0,0
2021-05-23,6,0,0
2021-05-30,6,0,0
2021-06-06,8,0,0
2021-06-13,8,0,0
2021-06-20,8,2,0
2021-06-27,4,0,0
2021-07-04,4,3,0
2021-07-11,0,0,0
2021-07-18,4,0,0
2021-07-25,5,0,0
2021-08-01,3,2,0
2021-08-08,0,0,0
2021-08-15,5,0,0
2021-08-22,7,0,0
2021-08-29,5,3,0
2021-09-05,5,0,0
2021-09-12,5,0,0
2021-09-19,4,0,0
2021-09-26,4,0,0
2021-10-03,4,0,0
2021-10-10,0,0,0
2021-10-17,4,4,0
2021-10-24,3,0,0
2021-10-31,3,0,0
2021-11-07,5,0,0
2021-11-14,6,3,0
2021-11-21,5,0,0
2021-11-28,7,0,0
2021-12-05,4,0,0
2021-12-12,6,3,0
2021-12-19,0,0,0
2021-12-26,6,0,0
2022-01-02,7,0,0
2022-01-09,13,6,0
2022-01-16,11,5,0
2022-01-23,11,3,0
2022-01-30,8,0,0
2022-02-06,10,2,0
2022-02-13,12,3,0
2022-02-20,11,4,0
2022-02-27,14,4,0
2022-03-06,13,2,0
2022-03-13,15,3,0
2022-03-20,15,4,2
2022-03-27,21,5,0
2022-04-03,22,5,0
2022-04-10,18,6,0
2022-04-17,30,9,0
2022-04-24,29,7,0
2022-05-01,30,9,0
2022-05-08,29,8,0
2022-05-15,28,9,2
2022-05-22,26,7,0
2022-05-29,25,7,0
2022-06-05,24,5,0
2022-06-12,17,9,0
2022-06-19,20,7,0
2022-06-26,19,5,0
2022-07-03,21,6,0
2022-07-10,14,5,0
2022-07-17,13,2,0
2022-07-24,10,3,0
2022-07-31,9,3,0
2022-08-07,10,2,0
2022-08-14,5,0,0
2022-08-21,10,3,0
2022-08-28,11,3,0
2022-09-04,6,0,0
2022-09-11,10,3,0
2022-09-18,8,0,0
2022-09-25,8,4,0
2022-10-02,10,3,0
2022-10-09,8,3,0
2022-10-16,9,0,0
2022-10-23,6,0,0
2022-10-30,3,0,0
2022-11-06,7,2,0
2022-11-13,7,2,0
2022-11-20,9,0,0
2022-11-27,6,2,0
2022-12-04,8,2,0
2022-12-11,8,0,0
2022-12-18,5,2,0
2022-12-25,10,5,0
2023-01-01,9,3,0
2023-01-08,10,2,0
2023-01-15,10,2,0
2023-01-22,15,4,0
2023-01-29,13,3,0
2023-02-05,15,4,0
2023-02-12,19,6,0
2023-02-19,20,5,0
2023-02-26,23,7,0
2023-03-05,30,8,0
2023-03-12,30,11,0
2023-03-19,33,11,0
2023-03-26,39,11,2
2023-04-02,26,9,2
2023-04-09,29,8,0
2023-04-16,21,8,0
2023-04-23,23,6,0
2023-04-30,22,7,0
2023-05-07,23,6,0
2023-05-14,23,7,0
2023-05-21,17,5,0
2023-05-28,15,4,0
2023-06-04,13,2,0
2023-06-11,14,4,0
2023-06-18,16,4,0
2023-06-25,15,3,0
2023-07-02,18,4,0
2023-07-09,11,3,0
2023-07-16,6,4,0
2023-07-23,6,0,0
2023-07-30,7,2,0
2023-08-06,9,3,0
2023-08-13,8,0,0
2023-08-20,8,0,0
2023-08-27,6,0,0
2023-09-03,6,5,0
2023-09-10,4,4,0
2023-09-17,6,0,0
2023-09-24,7,0,0
2023-10-01,4,0,0
2023-10-08,4,0,0
2023-10-15,7,2,0
2023-10-22,6,0,0
2023-10-29,6,2,0
2023-11-05,5,0,0
2023-11-12,4,0,0
2023-11-19,6,2,0
2023-11-26,7,0,0
2023-12-03,8,0,0
2023-12-10,6,3,0
2023-12-17,6,0,0
2023-12-24,7,0,0
2023-12-31,4,0,0
2024-01-07,8,3,0
2024-01-14,11,4,0
2024-01-21,13,3,2
2024-01-28,20,7,3
2024-02-04,33,10,0
2024-02-11,59,17,3
2024-02-18,92,21,0
2024-02-25,98,24,0
2024-03-03,100,19,0
